gamePk,date,home,away,home_goals_sim,away_goals_sim
2025020830,2026-01-27,Boston Bruins,Nashville Predators,2,3
2025020831,2026-01-27,Toronto Maple Leafs,Buffalo Sabres,2,4
2025020832,2026-01-27,Montréal Canadiens,Vegas Golden Knights,4,1
2025020833,2026-01-27,Detroit Red Wings,Los Angeles Kings,4,3
2025020834,2026-01-27,Florida Panthers,Utah Mammoth,3,2
2025020835,2026-01-27,New Jersey Devils,Winnipeg Jets,4,5
2025020836,2026-01-27,St. Louis Blues,Dallas Stars,3,4
2025020837,2026-01-27,Minnesota Wild,Chicago Blackhawks,1,2
2025020838,2026-01-27,Vancouver Canucks,San Jose Sharks,1,2
2025020839,2026-01-27,Seattle Kraken,Washington Capitals,0,3
