team,player_id,period,player,game_home,game_away,date,shots,goals,assists,points,blocks,saves,toi_sec
Boston Bruins,8476374,1,Sean Kuraly,Boston Bruins,Nashville Predators,2026-01-27,1.0508,0.0984,0.0658,0.1642,0.0,0.0,600.0
Boston Bruins,8476374,2,Sean Kuraly,Boston Bruins,Nashville Predators,2026-01-27,1.0386,0.1064,0.0602,0.1666,0.0,0.0,600.0
Boston Bruins,8476374,3,Sean Kuraly,Boston Bruins,Nashville Predators,2026-01-27,1.0626,0.1072,0.0718,0.179,0.0,0.0,600.0
Boston Bruins,8476374,4,Sean Kuraly,Boston Bruins,Nashville Predators,2026-01-27,0.0336,0.0034,0.0,0.0034,0.0,0.0,12.855
Boston Bruins,8476854,1,Hampus Lindholm,Boston Bruins,Nashville Predators,2026-01-27,0.5296,0.0532,0.0662,0.11939999999999999,0.429,0.0,300.0
Boston Bruins,8476854,2,Hampus Lindholm,Boston Bruins,Nashville Predators,2026-01-27,0.5232,0.0584,0.0676,0.126,0.4348,0.0,300.0
Boston Bruins,8476854,3,Hampus Lindholm,Boston Bruins,Nashville Predators,2026-01-27,0.5004,0.0542,0.0676,0.12179999999999999,0.4356,0.0,300.0
Boston Bruins,8476854,4,Hampus Lindholm,Boston Bruins,Nashville Predators,2026-01-27,0.0008,0.0002,0.0,0.0002,0.0102,0.0,0.285
Boston Bruins,8476914,1,Joonas Korpisalo,Boston Bruins,Nashville Predators,2026-01-27,0.0,0.0,0.0,0.0,0.0,9.1496,1200.0
Boston Bruins,8476914,2,Joonas Korpisalo,Boston Bruins,Nashville Predators,2026-01-27,0.0,0.0,0.0,0.0,0.0,8.9796,1200.0
Boston Bruins,8476914,3,Joonas Korpisalo,Boston Bruins,Nashville Predators,2026-01-27,0.0,0.0,0.0,0.0,0.0,9.206,1200.0
Boston Bruins,8476914,4,Joonas Korpisalo,Boston Bruins,Nashville Predators,2026-01-27,0.0,0.0,0.0,0.0,0.0,0.4198,56.4
Boston Bruins,8477496,1,Elias Lindholm,Boston Bruins,Nashville Predators,2026-01-27,1.0302,0.1082,0.0582,0.1664,0.0,0.0,600.0
Boston Bruins,8477496,2,Elias Lindholm,Boston Bruins,Nashville Predators,2026-01-27,1.037,0.106,0.0614,0.1674,0.0,0.0,600.0
Boston Bruins,8477496,3,Elias Lindholm,Boston Bruins,Nashville Predators,2026-01-27,1.0632,0.1006,0.0588,0.1594,0.0,0.0,600.0
Boston Bruins,8477496,4,Elias Lindholm,Boston Bruins,Nashville Predators,2026-01-27,0.038,0.0018,0.0,0.0018,0.0,0.0,12.855
Boston Bruins,8477507,1,Nikita Zadorov,Boston Bruins,Nashville Predators,2026-01-27,0.0,0.0,0.0728,0.0728,0.0,0.0,60.0
Boston Bruins,8477507,2,Nikita Zadorov,Boston Bruins,Nashville Predators,2026-01-27,0.0,0.0,0.076,0.076,0.0,0.0,60.0
Boston Bruins,8477507,3,Nikita Zadorov,Boston Bruins,Nashville Predators,2026-01-27,0.0,0.0,0.0714,0.0714,0.0,0.0,60.0
Boston Bruins,8477956,1,David Pastrnak,Boston Bruins,Nashville Predators,2026-01-27,0.0,0.0,0.0704,0.0704,0.0,0.0,60.0
Boston Bruins,8477956,2,David Pastrnak,Boston Bruins,Nashville Predators,2026-01-27,0.0,0.0,0.069,0.069,0.0,0.0,60.0
Boston Bruins,8477956,3,David Pastrnak,Boston Bruins,Nashville Predators,2026-01-27,0.0,0.0,0.068,0.068,0.0,0.0,60.0
Boston Bruins,8477956,4,David Pastrnak,Boston Bruins,Nashville Predators,2026-01-27,0.041,0.0058,0.0,0.0058,0.0,0.0,13.875
