gamePk,date,team,player_id,full_name,position,shots,goals,saves
2025020789,2026-01-21,Anaheim Ducks,8484153,Leo Carlsson,F,6,0,0
2025020789,2026-01-21,Anaheim Ducks,8482118,Sam Colangelo,F,0,0,0
2025020789,2026-01-21,Anaheim Ducks,8483445,Cutter Gauthier,F,0,0,0
2025020789,2026-01-21,Anaheim Ducks,8475798,Mikael Granlund,F,0,0,0
2025020789,2026-01-21,Anaheim Ducks,8478424,Jansen Harkins,F,0,0,0
2025020789,2026-01-21,Anaheim Ducks,8477527,Ross Johnston,F,0,0,0
2025020789,2026-01-21,Anaheim Ducks,8473986,Alex Killorn,F,2,0,0
2025020789,2026-01-21,Anaheim Ducks,8475184,Chris Kreider,F,2,0,0
2025020789,2026-01-21,Anaheim Ducks,8482745,Mason McTavish,F,0,0,0
2025020789,2026-01-21,Anaheim Ducks,8481754,Nikita Nesterenko,F,1,0,0
2025020789,2026-01-21,Anaheim Ducks,8480068,Ryan Poehling,F,1,0,0
2025020789,2026-01-21,Anaheim Ducks,8484762,Beckett Sennecke,F,0,0,0
2025020789,2026-01-21,Anaheim Ducks,8476458,Ryan Strome,F,0,0,0
2025020789,2026-01-21,Anaheim Ducks,8478873,Troy Terry,F,0,0,0
2025020789,2026-01-21,Anaheim Ducks,8478366,Frank Vatrano,F,2,0,0
2025020789,2026-01-21,Anaheim Ducks,8479705,Jeffrey Viel,F,0,0,0
2025020789,2026-01-21,Anaheim Ducks,8485512,Tim Washe,F,0,0,0
2025020789,2026-01-21,Anaheim Ducks,8475462,Radko Gudas,D,2,0,0
2025020789,2026-01-21,Anaheim Ducks,8481563,Drew Helleson,D,4,0,0
2025020789,2026-01-21,Anaheim Ducks,8481605,Jackson LaCombe,D,2,0,0
2025020789,2026-01-21,Anaheim Ducks,8483490,Pavel Mintyukov,D,2,0,0
2025020789,2026-01-21,Anaheim Ducks,8482178,Ian Moore,D,1,0,0
2025020789,2026-01-21,Anaheim Ducks,8476885,Jacob Trouba,D,1,0,0
2025020789,2026-01-21,Anaheim Ducks,8482803,Olen Zellweger,D,0,0,0
2025020789,2026-01-21,Anaheim Ducks,8480843,Lukas Dostal,G,0,0,22
2025020789,2026-01-21,Anaheim Ducks,8478024,Ville Husso,G,0,0,0
2025020789,2026-01-21,Anaheim Ducks,8475852,Petr Mrazek,G,0,0,0
2025020790,2026-01-21,Utah Mammoth,8484388,Daniil But,F,3,0,0
2025020790,2026-01-21,Utah Mammoth,8479619,Michael Carcone,F,1,0,0
2025020790,2026-01-21,Utah Mammoth,8483431,Logan Cooley,F,1,1,0
2025020790,2026-01-21,Utah Mammoth,8478474,Lawson Crouse,F,0,0,0
2025020790,2026-01-21,Utah Mammoth,8482699,Dylan Guenther,F,1,0,0
2025020790,2026-01-21,Utah Mammoth,8480849,Barrett Hayton,F,2,1,0
2025020790,2026-01-21,Utah Mammoth,8479656,Cam Hebig,F,3,0,0
2025020790,2026-01-21,Utah Mammoth,8479343,Clayton Keller,F,0,0,0
2025020790,2026-01-21,Utah Mammoth,8477021,Alexander Kerfoot,F,3,0,0
2025020790,2026-01-21,Utah Mammoth,8480855,Jack McBain,F,2,0,0
2025020790,2026-01-21,Utah Mammoth,8477070,Liam O'Brien,F,3,0,0
2025020790,2026-01-21,Utah Mammoth,8482175,JJ Peterka,F,2,1,0
2025020790,2026-01-21,Utah Mammoth,8477951,Nick Schmaltz,F,1,0,0
2025020790,2026-01-21,Utah Mammoth,8478831,Kevin Stenlund,F,0,0,0
2025020790,2026-01-21,Utah Mammoth,8479293,Brandon Tanev,F,0,0,0
2025020790,2026-01-21,Utah Mammoth,8479977,Kailer Yamamoto,F,0,0,0
2025020790,2026-01-21,Utah Mammoth,8474013,Ian Cole,D,0,2,0
2025020790,2026-01-21,Utah Mammoth,8480084,Nick DeSimone,D,4,0,0
2025020790,2026-01-21,Utah Mammoth,8480434,Sean Durzi,D,2,0,0
2025020790,2026-01-21,Utah Mammoth,8478507,John Marino,D,4,1,0
2025020790,2026-01-21,Utah Mammoth,8476874,Olli Määttä,D,0,0,0
2025020790,2026-01-21,Utah Mammoth,8477220,Nate Schmidt,D,0,0,0
2025020790,2026-01-21,Utah Mammoth,8479410,Mikhail Sergachev,D,0,0,0
2025020790,2026-01-21,Utah Mammoth,8477970,Vitek Vanecek,G,0,0,0
2025020790,2026-01-21,Utah Mammoth,8478872,Karel Vejmelka,G,0,0,24
2025020790,2026-01-21,Philadelphia Flyers,8479022,Rodrigo Abols,F,2,0,0
2025020790,2026-01-21,Philadelphia Flyers,8484142,Denver Barkey,F,2,0,0
2025020790,2026-01-21,Philadelphia Flyers,8481553,Bobby Brink,F,0,0,0
2025020790,2026-01-21,Philadelphia Flyers,8480220,Noah Cates,F,1,1,0
2025020790,2026-01-21,Philadelphia Flyers,8476461,Sean Couturier,F,2,0,0
2025020790,2026-01-21,Philadelphia Flyers,8475235,Nicolas Deslauriers,F,1,0,0
2025020790,2026-01-21,Philadelphia Flyers,8477989,Christian Dvorak,F,4,0,0
2025020790,2026-01-21,Philadelphia Flyers,8482159,Tyson Foerster,F,0,0,0
2025020790,2026-01-21,Philadelphia Flyers,8483733,Nikita Grebenkin,F,1,0,0
2025020790,2026-01-21,Philadelphia Flyers,8479336,Carl Grundstrom,F,2,0,0
2025020790,2026-01-21,Philadelphia Flyers,8477903,Garnet Hathaway,F,0,0,0
2025020790,2026-01-21,Philadelphia Flyers,8478439,Travis Konecny,F,1,0,0
2025020790,2026-01-21,Philadelphia Flyers,8484387,Matvei Michkov,F,0,0,0
2025020790,2026-01-21,Philadelphia Flyers,8478967,Lane Pederson,F,0,0,0
2025020790,2026-01-21,Philadelphia Flyers,8480015,Owen Tippett,F,0,0,0
2025020790,2026-01-21,Philadelphia Flyers,8481533,Trevor Zegras,F,0,0,0
2025020790,2026-01-21,Philadelphia Flyers,8482126,Emil Andrae,D,1,0,0
2025020790,2026-01-21,Philadelphia Flyers,8482142,Jamie Drysdale,D,0,0,0
2025020790,2026-01-21,Philadelphia Flyers,8478454,Noah Juulsen,D,2,0,0
2025020790,2026-01-21,Philadelphia Flyers,8483760,Hunter McDonald,D,3,0,0
2025020790,2026-01-21,Philadelphia Flyers,8477499,Rasmus Ristolainen,D,1,0,0
2025020790,2026-01-21,Philadelphia Flyers,8477948,Travis Sanheim,D,2,0,0
2025020790,2026-01-21,Philadelphia Flyers,8476372,Nick Seeler,D,0,0,0
2025020790,2026-01-21,Philadelphia Flyers,8481546,Cam York,D,0,0,0
2025020790,2026-01-21,Philadelphia Flyers,8481035,Samuel Ersson,G,0,0,26
2025020790,2026-01-21,Philadelphia Flyers,8482783,Aleksei Kolosov,G,0,0,0
2025020790,2026-01-21,Philadelphia Flyers,8478435,Dan Vladar,G,0,0,0
2025020791,2026-01-21,Calgary Flames,8474150,Mikael Backlund,F,2,0,0
2025020791,2026-01-21,Calgary Flames,8481556,John Beecher,F,0,0,0
2025020791,2026-01-21,Calgary Flames,8476399,Blake Coleman,F,1,0,0
2025020791,2026-01-21,Calgary Flames,8482679,Matt Coronato,F,1,0,0
2025020791,2026-01-21,Calgary Flames,8480797,Joel Farabee,F,0,0,0
2025020791,2026-01-21,Calgary Flames,8480028,Morgan Frost,F,0,0,0
2025020791,2026-01-21,Calgary Flames,8484860,Matvei Gridin,F,1,0,0
2025020791,2026-01-21,Calgary Flames,8484180,Samuel Honzek,F,1,0,0
2025020791,2026-01-21,Calgary Flames,8476456,Jonathan Huberdeau,F,1,0,0
2025020791,2026-01-21,Calgary Flames,8475172,Nazem Kadri,F,2,0,0
2025020791,2026-01-21,Calgary Flames,8477993,Justin Kirkland,F,1,0,0
2025020791,2026-01-21,Calgary Flames,8483609,Adam Klapka,F,1,0,0
2025020791,2026-01-21,Calgary Flames,8479066,Ryan Lomberg,F,0,0,0
2025020791,2026-01-21,Calgary Flames,8481028,Martin Pospisil,F,4,0,0
2025020791,2026-01-21,Calgary Flames,8481068,Yegor Sharangovich,F,0,0,0
