gamePk,date,home,away,home_goals_sim,away_goals_sim
2025020825,2026-01-26,Tampa Bay Lightning,Utah Mammoth,4,3
2025020826,2026-01-26,New York Rangers,Boston Bruins,1,8
2025020827,2026-01-26,Philadelphia Flyers,New York Islanders,5,1
2025020829,2026-01-26,Edmonton Oilers,Anaheim Ducks,2,2
