gamePk,date,home,away,home_goals_sim,away_goals_sim
2025020588,2025-12-27,New York Islanders,New York Rangers,5,2
2025020589,2025-12-27,Buffalo Sabres,Boston Bruins,3,3
2025020590,2025-12-27,Toronto Maple Leafs,Ottawa Senators,3,6
2025020591,2025-12-27,Florida Panthers,Tampa Bay Lightning,2,1
2025020592,2025-12-27,New Jersey Devils,Washington Capitals,5,4
2025020593,2025-12-27,Carolina Hurricanes,Detroit Red Wings,1,1
2025020594,2025-12-27,Winnipeg Jets,Minnesota Wild,2,4
2025020595,2025-12-27,St. Louis Blues,Nashville Predators,1,2
2025020596,2025-12-27,Dallas Stars,Chicago Blackhawks,4,4
2025020597,2025-12-27,Los Angeles Kings,Anaheim Ducks,2,2
2025020598,2025-12-27,Calgary Flames,Edmonton Oilers,2,6
2025020599,2025-12-27,Vancouver Canucks,San Jose Sharks,3,2
2025020600,2025-12-27,Vegas Golden Knights,Colorado Avalanche,3,2
