date,player,team,opp,market,line,proj_lambda,p_over,over_price,under_price,book,side,price,ev,prob,edge_score,edge_reasons,chosen_prob
2026-03-02,Vincent Trocheck,NYR,CBJ,GOALS,0.5,0.1035,0.094187,250,-380.0,fanduel,Under,-380.0,0.14418484210526306,0.905813,0.6818076153912086,p 91%; opp allow 2.50; line 0.5,0.905813
2026-03-02,Nikolaj Ehlers,CAR,SEA,GOALS,0.5,0.1154,0.104188,180,-250.0,fanduel,Under,-250.0,0.2541368,0.895812,0.6596640631885129,p 90%; opp allow 2.70; line 0.5,0.895812
2026-03-02,Seth Jarvis,CAR,SEA,GOALS,0.5,0.2666,0.20925,165,-230.0,fanduel,Under,-230.0,0.134554347826087,0.7907500000000001,0.5756144631885127,p 79%; opp allow 2.70; line 0.5,0.7907500000000001
2026-03-02,Trevor Zegras,PHI,TOR,GOALS,0.5,0.1046,0.09525,290,-440.0,fanduel,Under,-440.0,0.11037499999999995,0.9047499999999999,0.549226355231154,p 90%; opp allow 4.20; line 0.5,0.9047499999999999
2026-03-02,Filip Forsberg,NSH,DET,GOALS,0.5,0.3171,0.245938,175,-240.0,fanduel,Under,-240.0,0.06825450000000005,0.754062,0.5462640631885128,p 75%; opp allow 2.70; line 0.5,0.754062
2026-03-02,Lucas Raymond,DET,NSH,GOALS,0.5,0.1691,0.147063,240,-350.0,fanduel,Under,-350.0,0.09663328571428567,0.8529370000000001,0.537020965310992,p 85%; opp allow 3.70; line 0.5,0.8529370000000001
2026-03-02,Adam Fantilli,CBJ,NYR,GOALS,0.5,0.2041,0.170875,220,-310.0,fanduel,Under,-310.0,0.09658467741935478,0.829125,0.5342558667191217,p 83%; opp allow 3.50; line 0.5,0.829125
2026-03-02,Dylan Larkin,DET,NSH,GOALS,0.5,0.1941,0.165937,180,-250.0,fanduel,Under,-250.0,0.1676881999999999,0.834063,0.521921765310992,p 83%; opp allow 3.70; line 0.5,0.834063
2026-03-02,Auston Matthews,TOR,PHI,GOALS,0.5,0.3013,0.236313,130,-175.0,fanduel,Under,-175.0,0.2000795714285714,0.763687,0.5189835452818052,p 76%; opp allow 3.10; line 0.5,0.763687
2026-03-02,Kirill Marchenko,CBJ,NYR,GOALS,0.5,0.2955,0.231813,195,-270.0,fanduel,Under,-270.0,0.052700703703703555,0.768187,0.48550546671912176,p 77%; opp allow 3.50; line 0.5,0.768187
