player,position,team
Brent Burns,F,COL
Alex Ovechkin,F,WSH
Evgeni Malkin,F,PIT
Sidney Crosby,F,PIT
Brad Marchand,F,FLA
Jamie Benn,F,DAL
Erik Karlsson,F,PIT
Brayden Schenn,F,STL
Chris Kreider,F,ANA
Dmitry Orlov,F,SJS
Anders Lee,F,NYI
Tyler Toffoli,F,SJS
Charlie Coyle,F,CBJ
Justin Faulk,F,STL
Brock Nelson,F,COL
Cam Fowler,F,STL
Taylor Hall,F,CAR
Bryan Rust,F,PIT
Brendan Gallagher,F,MTL
John Klingberg,F,SJS
Mark Stone,F,VGK
Vincent Trocheck,F,NYR
Gabriel Landeskog,F,COL
Mika Zibanejad,F,NYR
Sean Couturier,F,PHI
J.T. Miller,F,NYR
Mike Matheson,F,MTL
Tom Wilson,F,WSH
Tomas Hertl,F,VGK
Esa Lindell,F,DAL
Shayne Gostisbehere,F,CAR
Pavel Buchnevich,F,STL
Carter Verhaeghe,F,FLA
Miles Wood,F,CBJ
Andre Burakovsky,F,CHI
Shea Theodore,F,VGK
Artturi Lehkonen,F,COL
Tyler Bertuzzi,F,CHI
Nathan MacKinnon,F,COL
Seth Jones,F,FLA
Sean Monahan,F,CBJ
Bo Horvat,F,NYI
Valeri Nichushkin,F,COL
Alexander Wennberg,F,SJS
Ryan Pulock,F,NYI
Aaron Ekblad,F,FLA
Sam Reinhart,F,FLA
Sam Bennett,F,FLA
Nikolaj Ehlers,F,CAR
Travis Sanheim,F,PHI
Tony DeAngelo,F,NYI
Ivan Barbashev,F,VGK
Ryan Donato,F,CHI
Devon Toews,F,COL
Gustav Forsling,F,FLA
Noah Hanifin,F,VGK
Jack Eichel,F,VGK
Mikko Rantanen,F,DAL
Sebastian Aho,F,CAR
Travis Konecny,F,PHI
Dylan Strome,F,WSH
Mathew Barzal,F,NYI
Roope Hintz,F,DAL
Zach Werenski,F,CBJ
Anthony Beauvillier,F,WSH
Mitch Marner,F,VGK
Ivan Provorov,F,CBJ
Evan Rodrigues,F,FLA
Artemi Panarin,F,NYR
Troy Terry,F,ANA
Jakob Chychrun,F,WSH
Sam Steel,F,DAL
Ross Colton,F,COL
Owen Tippett,F,PHI
Nick Suzuki,F,MTL
Robert Thomas,F,STL
Jason Robertson,F,DAL
Miro Heiskanen,F,DAL
Martin Necas,F,COL
Cale Makar,F,COL
Eetu Luostarinen,F,FLA
Noah Cates,F,PHI
Sean Walker,F,CAR
Andrei Svechnikov,F,CAR
Noah Dobson,F,MTL
Kirill Marchenko,F,CBJ
Trevor Zegras,F,PHI
Cole Caufield,F,MTL
Connor McMichael,F,WSH
Simon Holmstrom,F,NYI
Pavel Dorofeyev,F,VGK
Jackson LaCombe,F,ANA
Ilya Mikheyev,F,CHI
Aliaksei Protas,F,WSH
Dmitri Voronkov,F,CBJ
Dylan Holloway,F,STL
Jake Neighbours,F,STL
Seth Jarvis,F,CAR
Alexander Nikishin,F,CAR
Alexis Lafrenière,F,NYR
Anton Lundell,F,FLA
Will Cuylle,F,NYR
Emil Heineman,F,NYI
Kent Johnson,F,CBJ
William Eklund,F,SJS
Logan Stankoven,F,CAR
Cole Sillinger,F,CBJ
Mackie Samoskevich,F,FLA
Wyatt Johnston,F,DAL
Mason McTavish,F,ANA
Oliver Kapanen,F,MTL
Olen Zellweger,F,ANA
Jackson Blake,F,CAR
Cutter Gauthier,F,ANA
Ryan Greene,F,CHI
Lane Hutson,F,MTL
Frank Nazar,F,CHI
Juraj Slafkovsky,F,MTL
Braeden Bowman,F,VGK
Connor Bedard,F,CHI
Leo Carlsson,F,ANA
Dalibor Dvorsky,F,STL
Adam Fantilli,F,CBJ
Will Smith,F,SJS
Matvei Michkov,F,PHI
Beckett Sennecke,F,ANA
Artyom Levshunov,F,CHI
Macklin Celebrini,F,SJS
Ivan Demidov,F,MTL
Matthew Schaefer,F,NYI
Ben Kindel,F,PIT
