date,player,team,market,line,proj_lambda,p_over,over_price,under_price,book,side,ev,chosen_prob
2026-01-30,Adam Fantilli,CBJ,ASSISTS,0.5,0.5157,0.33685,145,-188,draftkings,Under,0.01588936170212768,0.66315
2026-01-30,Adam Fantilli,CBJ,GOALS,0.5,0.0003,0.00025,220,-310,fanduel,Under,0.32225,0.99975
2026-01-30,Adam Fantilli,CBJ,POINTS,0.5,0.5993,0.3665,-148,115,draftkings,Under,0.3620249999999998,0.6335
2026-01-30,Charlie Coyle,CBJ,ASSISTS,0.5,0.2243,0.1807,180,-240,draftkings,Under,0.16067500000000012,0.8193
2026-01-30,Cole Sillinger,CBJ,POINTS,0.5,0.2829,0.21835,180,-250,betmgm,Under,0.0943099999999999,0.78165
2026-01-30,Damon Severson,CBJ,POINTS,0.5,0.392,0.27935,150,-200,betmgm,Under,0.08097500000000002,0.72065
2026-01-30,Ivan Provorov,CBJ,ASSISTS,0.5,0.3395,0.2566,200,-275,betmgm,Under,0.013727272727272921,0.7434000000000001
2026-01-30,Ivan Provorov,CBJ,POINTS,0.5,0.308,0.23665,150,-200,betmgm,Under,0.14502499999999996,0.76335
2026-01-30,Kent Johnson,CBJ,ASSISTS,0.5,0.195,0.16455,220,-300,betmgm,Under,0.11393333333333333,0.83545
2026-01-30,Kent Johnson,CBJ,POINTS,0.5,0.308,0.2326,140,-182,draftkings,Under,0.18904835164835165,0.7674
2026-01-30,Kirill Marchenko,CBJ,ASSISTS,0.5,0.5334,0.34365,115,-148,draftkings,Under,0.0998297297297297,0.65635
2026-01-30,Kirill Marchenko,CBJ,GOALS,0.5,0.2825,0.21995,195,-270,fanduel,Under,0.06895740740740736,0.78005
2026-01-30,Mason Marchment,CBJ,ASSISTS,0.5,0.1934,0.1633,185,-250,betmgm,Under,0.17137999999999992,0.8367
2026-01-30,Andre Burakovsky,CHI,GOALS,0.5,0.0871,0.0777,400,-650,fanduel,Under,0.0641923076923076,0.9223
2026-01-30,Artyom Levshunov,CHI,ASSISTS,0.5,0.2149,0.17675,210,-285,draftkings,Under,0.11210964912280708,0.82325
2026-01-30,Artyom Levshunov,CHI,POINTS,0.5,0.232,0.185,170,-225,draftkings,Under,0.17722222222222211,0.815
2026-01-30,Frank Nazar,CHI,ASSISTS,0.5,0.1284,0.11405,190,-250,betmgm,Under,0.24032999999999993,0.88595
2026-01-30,Frank Nazar,CHI,GOALS,0.5,0.0871,0.07755,330,-500,fanduel,Under,0.10693999999999995,0.92245
2026-01-30,Frank Nazar,CHI,POINTS,0.5,0.232,0.18395,105,-135,draftkings,Under,0.42053148148148134,0.8160499999999999
2026-01-30,Oliver Moore,CHI,ASSISTS,0.5,0.0,0.0,300,-450,betmgm,Under,0.22222222222222232,1.0
2026-01-30,Oliver Moore,CHI,POINTS,0.5,0.1354,0.12065,170,-225,betmgm,Under,0.27017222222222215,0.87935
2026-01-30,Teuvo Teravainen,CHI,ASSISTS,0.5,0.1284,0.11205,200,-275,betmgm,Under,0.21084090909090925,0.88795
2026-01-30,Tyler Bertuzzi,CHI,ASSISTS,0.5,0.3301,0.24515,185,-250,betmgm,Under,0.05678999999999995,0.75485
