gamePk,date,home,away,shots_ev_home,shots_pp_home,shots_pk_home,shots_ev_away,shots_pp_away,shots_pk_away,goals_ev_home,goals_pp_home,goals_pk_home,goals_ev_away,goals_pp_away,goals_pk_away
2025020754,2026-01-17,Buffalo Sabres,Minnesota Wild,28,0,11,25,4,0,2,0,1,0,2,0
2025020755,2026-01-17,Philadelphia Flyers,New York Rangers,27,4,2,16,4,3,2,1,1,1,1,0
2025020756,2026-01-17,Calgary Flames,New York Islanders,22,10,2,19,5,5,4,1,0,3,0,0
2025020757,2026-01-17,Utah Mammoth,Seattle Kraken,26,5,7,20,1,3,4,0,0,1,0,1
2025020758,2026-01-17,Ottawa Senators,Montréal Canadiens,18,2,2,27,8,3,1,1,0,2,2,1
2025020759,2026-01-17,New Jersey Devils,Carolina Hurricanes,17,4,2,20,5,6,1,0,0,3,1,0
2025020760,2026-01-17,Pittsburgh Penguins,Columbus Blue Jackets,21,3,6,27,5,5,1,1,0,2,0,1
2025020761,2026-01-17,Washington Capitals,Florida Panthers,20,2,4,24,2,1,2,0,0,4,0,1
2025020762,2026-01-17,Winnipeg Jets,Toronto Maple Leafs,23,5,2,22,4,5,0,0,0,2,1,1
2025020763,2026-01-17,Chicago Blackhawks,Boston Bruins,24,1,2,32,1,1,1,0,0,3,0,0
2025020764,2026-01-17,Vancouver Canucks,Edmonton Oilers,25,6,1,31,3,4,5,1,0,2,0,0
2025020765,2026-01-17,Vegas Golden Knights,Nashville Predators,28,5,7,15,11,4,3,0,2,0,0,0
2025020766,2026-01-17,Anaheim Ducks,Los Angeles Kings,30,6,1,28,1,5,3,0,0,2,0,0
