market,player,team,line,over_price,under_price,proj_lambda,p_over,ev_over,book
GOALS,Andrew Peeke,,1.5,12500,,0.3,0.03693631311376678,3.653975452334614,betrivers
GOALS,Christopher Tanev,,1.5,12500,,0.3,0.03693631311376678,3.653975452334614,betrivers
GOALS,Simon Benoit,,1.5,12500,,0.3,0.03693631311376678,3.653975452334614,betrivers
GOALS,Alexandre Carrier,,1.5,12000,,0.3,0.03693631311376678,3.4692938867657803,betrivers
GOALS,Jayden Struble,,1.5,12000,,0.3,0.03693631311376678,3.4692938867657803,betrivers
GOALS,Jordan Harris,,1.5,11000,,0.3,0.03693631311376678,3.0999307556281126,betrivers
GOALS,Arber Xhekaj,,1.5,10000,,0.3,0.03693631311376678,2.730567624490445,betrivers
GOALS,Brandon Carlo,,1.5,10000,,0.3,0.03693631311376678,2.730567624490445,betrivers
GOALS,Trevor van Riemsdyk,,1.5,10000,,0.3,0.03693631311376678,2.730567624490445,betrivers
GOALS,Henri Jokiharju,,1.5,9000,,0.3,0.03693631311376678,2.3612044933527767,betrivers
GOALS,Mason Lohrei,,1.5,9000,,0.3,0.03693631311376678,2.3612044933527767,betrivers
GOALS,Henry Thrun,,1.5,8000,,0.3,0.03693631311376678,1.991841362215109,betrivers
GOALS,Jake McCabe,,1.5,8000,,0.3,0.03693631311376678,1.991841362215109,betrivers
GOALS,Kaiden Guhle,,1.5,8000,,0.3,0.03693631311376678,1.991841362215109,betrivers
GOALS,Matt Roy,,1.5,8000,,0.3,0.03693631311376678,1.991841362215109,betrivers
GOALS,Oliver Ekman-Larsson,,1.5,8000,,0.3,0.03693631311376678,1.991841362215109,betrivers
GOALS,Cody Ceci,,0.5,1050,-62405.0,0.3,0.25918177931828207,1.980590462160244,fliff
GOALS,Samuel Girard,,0.5,1045,-47520.0,0.3,0.25918177931828207,1.9676313731943293,fliff
GOALS,Jeff Malott,,0.5,965,-11530.0,0.3,0.25918177931828207,1.760285949739704,fliff
GOALS,Brent Burns,,0.5,945,-9335.0,0.3,0.25918177931828207,1.7084495938760476,fliff
GOALS,Mikey Anderson,,0.5,935,-8750.0,0.3,0.25918177931828207,1.6825314159442193,fliff
GOALS,David Kampf,,1.5,7000,,0.3,0.03693631311376678,1.6224782310774413,betrivers
GOALS,Michael Eyssimont,,1.5,7000,,0.3,0.03693631311376678,1.6224782310774413,betrivers
GOALS,Sean Kuraly,,1.5,7000,,0.3,0.03693631311376678,1.6224782310774413,betrivers
GOALS,Brandt Clarke,,0.5,880,-5925.0,0.3,0.25918177931828207,1.5399814373191643,fliff
GOALS,Lane Hutson,,1.5,6600,,0.3,0.03693631311376678,1.4747329786223742,betrivers
GOALS,Mike Matheson,,1.5,6600,,0.3,0.03693631311376678,1.4747329786223742,betrivers
GOALS,Parker Kelly,,0.5,835,-4490.0,0.3,0.25918177931828207,1.423349636625937,fliff
GOALS,Devon Toews,,0.5,800,-3810.0,0.3,0.25918177931828207,1.3326360138645386,fliff
GOALS,Brandon Duhaime,,1.5,6000,,0.3,0.03693631311376678,1.2531150999397735,betrivers
GOALS,Calle Jarnkrok,,1.5,6000,,0.3,0.03693631311376678,1.2531150999397735,betrivers
GOALS,Declan Chisholm,,1.5,6000,,0.3,0.03693631311376678,1.2531150999397735,betrivers
GOALS,John Beecher,,1.5,6000,,0.3,0.03693631311376678,1.2531150999397735,betrivers
GOALS,Justin Sourdif,,1.5,6000,,0.3,0.03693631311376678,1.2531150999397735,betrivers
GOALS,Nic Dowd,,1.5,6000,,0.3,0.03693631311376678,1.2531150999397735,betrivers
GOALS,Nikita Zadorov,,1.5,6000,,0.3,0.03693631311376678,1.2531150999397735,betrivers
GOALS,Rasmus Sandin,,1.5,6000,,0.3,0.03693631311376678,1.2531150999397735,betrivers
GOALS,Steven Lorentz,,1.5,6000,,0.3,0.03693631311376678,1.2531150999397735,betrivers
GOALS,Jack Drury,,0.5,760,-3140.0,0.3,0.25918177931828207,1.2289633021372257,fliff
GOALS,Joel Kiviranta,,0.5,760,-3110.0,0.3,0.25918177931828207,1.2289633021372257,fliff
GOALS,Alex Turcotte,,0.5,740,-2845.0,0.3,0.25918177931828207,1.1771269462735694,fliff
GOALS,Joel Armia,,0.5,715,-2590.0,0.3,0.25918177931828207,1.112331501443999,fliff
GOALS,Charlie McAvoy,,1.5,5500,,0.3,0.03693631311376678,1.0684335343709397,betrivers
GOALS,Joe Veleno,,1.5,5500,,0.3,0.03693631311376678,1.0684335343709397,betrivers
GOALS,Matej Blumel,,1.5,5500,,0.3,0.03693631311376678,1.0684335343709397,betrivers
GOALS,Oliver Kapanen,,1.5,5500,,0.3,0.03693631311376678,1.0684335343709397,betrivers
GOALS,Tanner Jeannot,,1.5,5500,,0.3,0.03693631311376678,1.0684335343709397,betrivers
GOALS,Drew Doughty,,0.5,670,-2155.0,0.3,0.25918177931828207,0.995699700750772,fliff
GOALS,Jake Evans,,1.5,5000,,0.3,0.03693631311376678,0.8837519688021058,betrivers
GOALS,Morgan Rielly,,1.5,5000,,0.3,0.03693631311376678,0.8837519688021058,betrivers
GOALS,Noah Dobson,,1.5,5000,,0.3,0.03693631311376678,0.8837519688021058,betrivers
GOALS,Scott Laughton,,1.5,5000,,0.3,0.03693631311376678,0.8837519688021058,betrivers
GOALS,Ross Colton,,0.5,610,-1700.0,0.3,0.25918177931828207,0.8401906331598026,fliff
GOALS,Dakota Joshua,,1.5,4500,,0.3,0.03693631311376678,0.6990704032332717,betrivers
GOALS,John Carlson,,1.5,4500,,0.3,0.03693631311376678,0.6990704032332717,betrivers
GOALS,Josh Anderson,,1.5,4500,,0.3,0.03693631311376678,0.6990704032332717,betrivers
GOALS,Matthew Poitras,,1.5,4500,,0.3,0.03693631311376678,0.6990704032332717,betrivers
POINTS,Jake McCabe,,0.5,230,-320.0,0.7,0.5034146962085905,0.6612684974883484,draftkings
POINTS,Jake McCabe,,0.5,226,-312.0,0.7,0.5034146962085905,0.6411319096400049,betonlineag
POINTS,Jake McCabe,,0.5,220,-300.0,0.7,0.5034146962085905,0.6109270278674895,betmgm
POINTS,Mason Lohrei,,0.5,220,-300.0,0.7,0.5034146962085905,0.6109270278674895,draftkings
POINTS,Oliver Ekman-Larsson,,0.5,220,-300.0,0.7,0.5034146962085905,0.6109270278674895,draftkings
POINTS,Mason Lohrei,,0.5,215,-294.0,0.7,0.5034146962085905,0.58575629305706,betonlineag
POINTS,Mason Lohrei,,0.5,215,-290.0,0.7,0.5034146962085905,0.58575629305706,fanduel
POINTS,Mike Matheson,,0.5,215,-280.0,0.7,0.5034146962085905,0.58575629305706,fanduel
GOALS,Victor Olofsson,,0.5,510,-1175.0,0.3,0.25918177931828207,0.5810088538415206,fliff
POINTS,Jake McCabe,,0.5,210,-285.0,0.7,0.5034146962085905,0.5605855582466305,fanatics
POINTS,Mason Lohrei,,0.5,210,-295.0,0.7,0.5034146962085905,0.5605855582466305,betmgm
POINTS,Oliver Ekman-Larsson,,0.5,210,-300.0,0.7,0.5034146962085905,0.5605855582466305,betmgm
POINTS,Oliver Ekman-Larsson,,0.5,204,-278.0,0.7,0.5034146962085905,0.5303806764741151,betonlineag
