date,home,away,market,bet,price,model_prob,ev,edge,book,result
2025-10-04T20:00:00Z,Los Angeles Kings,Anaheim Ducks,puckline,away_pl_+1.5,-110.0,0.848283176767314,0.6194497011012359,,,
2025-10-04T23:00:00Z,Chicago Blackhawks,St. Louis Blues,puckline,away_pl_+1.5,-110.0,0.8438707315705405,0.6110259420892137,,,
2025-10-04T20:00:00Z,Nashville Predators,Carolina Hurricanes,puckline,away_pl_+1.5,-110.0,0.8269723251217297,0.5787653479596658,,,
2025-10-04T16:30:00Z,Philadelphia Flyers,New Jersey Devils,puckline,away_pl_+1.5,-110.0,0.7526799533444817,0.4369344563849197,,,
2025-10-05T00:00:00Z,Utah Mammoth,San Jose Sharks,puckline,away_pl_+1.5,-110.0,0.7011267336457978,0.3385146733237959,,,
2025-10-04T22:00:00Z,Dallas Stars,Colorado Avalanche,puckline,away_pl_+1.5,-110.0,0.6643120396594071,0.26823207571341356,,,
2025-10-04T23:00:00Z,Washington Capitals,Columbus Blue Jackets,puckline,away_pl_+1.5,-110.0,0.6012923797476546,0.14792181588188613,,,
2025-10-04T18:00:00Z,Boston Bruins,New York Rangers,puckline,home_pl_-1.5,-110.0,0.5958107736588492,0.1374569315305303,,,
2025-10-04T16:30:00Z,Philadelphia Flyers,New Jersey Devils,totals,over,-110.0,0.5821346066766057,0.11134788547351993,,,
2025-10-04T23:00:00Z,Detroit Red Wings,Toronto Maple Leafs,puckline,home_pl_-1.5,-110.0,0.5809099262168709,0.10900985914129901,,,
2025-10-04T23:00:00Z,Florida Panthers,Tampa Bay Lightning,puckline,away_pl_+1.5,-110.0,0.5677121314842898,0.08381406919728052,,,
2025-10-04T23:00:00Z,Montréal Canadiens,Ottawa Senators,puckline,away_pl_+1.5,-110.0,0.5593444308329871,0.06783936795388457,,,
2025-10-04T18:00:00Z,Boston Bruins,New York Rangers,totals,over,-110.0,0.5262636085528842,0.004685070873688135,,,
2025-10-04T23:00:00Z,Washington Capitals,Columbus Blue Jackets,totals,over,-110.0,0.5243832838259688,0.0010953600313949874,,,
