gamePk,date,home,away,home_goals_sim,away_goals_sim
2025020622,2025-12-31,Washington Capitals,New York Rangers,2,1
2025020623,2025-12-31,Vegas Golden Knights,Nashville Predators,6,4
2025020624,2025-12-31,Anaheim Ducks,Tampa Bay Lightning,1,4
2025020625,2025-12-31,San Jose Sharks,Minnesota Wild,4,1
2025020626,2025-12-31,Detroit Red Wings,Winnipeg Jets,2,3
2025020627,2025-12-31,Columbus Blue Jackets,New Jersey Devils,2,5
2025020628,2025-12-31,Dallas Stars,Buffalo Sabres,2,2
2025020629,2025-12-31,Colorado Avalanche,St. Louis Blues,6,2
2025020630,2025-12-31,Calgary Flames,Philadelphia Flyers,3,2
2025020631,2025-12-31,Edmonton Oilers,Boston Bruins,1,5
