date,player,team,market,line,proj,p_over,over_price,under_price,book,side,ev
2025-10-07,Total Shots On Goal,,SOG,3.5,2.0,0.14287653950145296,-110,-120,bovada,Under,0.5713930109140031
2025-10-07,Carter Verhaeghe,,SOG,2.5,2.0,0.32332358381693654,-172,132,betonlineag,Under,0.5698892855447073
2025-10-07,Sam Bennett,,SOG,2.5,2.0,0.32332358381693654,-168,128,fanduel,Under,0.5428222288973847
2025-10-07,Sam Reinhart,,SOG,2.5,2.0,0.32332358381693654,-154,120,draftkings,Under,0.4886881156027396
2025-10-07,Sam Reinhart,,SOG,2.5,2.0,0.32332358381693654,-155,120,bovada,Under,0.4886881156027396
2025-10-07,Carter Verhaeghe,,SOG,2.5,2.0,0.32332358381693654,-154,120,draftkings,Under,0.4886881156027396
2025-10-07,Andre Burakovsky,,GOALS,0.5,0.3,0.25918177931828207,470,-800,fanduel,Over,0.4773361421142077
2025-10-07,Sam Reinhart,,SOG,2.5,2.0,0.32332358381693654,-159,115,williamhill_us,Under,0.4548542947935863
2025-10-07,Sam Reinhart,,SOG,2.5,2.0,0.32332358381693654,-155,115,betmgm,Under,0.4548542947935863
2025-10-07,Carter Verhaeghe,,SOG,2.5,2.0,0.32332358381693654,-150,115,bovada,Under,0.4548542947935863
2025-10-07,Teuvo Teravainen,,GOALS,0.5,0.3,0.25918177931828207,460,-750,fanduel,Over,0.45141796418237945
2025-10-07,Carter Verhaeghe,,SOG,2.5,2.0,0.32332358381693654,-146,112,fanduel,Under,0.4345540023080945
2025-10-07,Carter Verhaeghe,,SOG,2.5,2.0,0.32332358381693654,-154,110,williamhill_us,Under,0.4210204739844332
2025-10-07,Carter Verhaeghe,,SOG,2.5,2.0,0.32332358381693654,-150,110,betmgm,Under,0.4210204739844332
2025-10-07,Andre Burakovsky,,POINTS,0.5,0.7,0.5034146962085905,176,-230,fanduel,Over,0.3894245615357096
2025-10-07,Total Saves,,SAVES,20.5,25.0,0.8145076973058583,-145,110,bovada,Over,0.37623714372369155
2025-10-07,Total Saves,,SAVES,28.5,25.0,0.23659925813359786,-105,-125,bovada,Under,0.37412133535952397
2025-10-07,Tyler Bertuzzi,,SOG,1.5,2.0,0.5939941502901616,130,-170,fanduel,Over,0.3661865456673715
2025-10-07,Total Shots On Goal,,SOG,2.5,2.0,0.32332358381693654,-130,100,bovada,Under,0.3533528323661268
2025-10-07,Sam Reinhart,,SOG,3.5,2.0,0.14287653950145296,132,-174,fanduel,Under,0.3497231504402407
