player,position,team
Brad Marchand,F,FLA
Jordan Eberle,F,SEA
Evander Kane,F,VAN
Brayden Schenn,F,STL
Chris Kreider,F,ANA
Mark Stone,F,VGK
Vincent Trocheck,F,NYR
Mika Zibanejad,F,NYR
Tomas Hertl,F,VGK
Chandler Stephenson,F,SEA
Pavel Buchnevich,F,STL
Carter Verhaeghe,F,FLA
Sam Reinhart,F,FLA
Sam Bennett,F,FLA
Jared McCann,F,SEA
Ivan Barbashev,F,VGK
Vince Dunn,F,SEA
Brock Boeser,F,VAN
Mitch Marner,F,VGK
Joel Eriksson Ek,F,MIN
Jake DeBrusk,F,VAN
Artemi Panarin,F,NYR
Kirill Kaprizov,F,MIN
Troy Terry,F,ANA
Jordan Kyrou,F,STL
Eeli Tolvanen,F,SEA
Robert Thomas,F,STL
Kaapo Kakko,F,SEA
Matt Boldy,F,MIN
Pavel Dorofeyev,F,VGK
Jake Neighbours,F,STL
Alexis Lafrenière,F,NYR
Anton Lundell,F,FLA
Will Cuylle,F,NYR
Matty Beniers,F,SEA
Cutter Gauthier,F,ANA
Shane Wright,F,SEA
Elias Pettersson,F,VAN
Leo Carlsson,F,ANA
Beckett Sennecke,F,ANA
