market,side,price,ev,prob,conf,home,away,totals_line
PL,Detroit Red Wings +1.5,-258.0,0.1218720930232558,0.8085,0.3085,New Jersey Devils,Detroit Red Wings,5.5
PL,Chicago Blackhawks +1.5,-122.0,0.41782786885245904,0.7791666666666667,0.2791666666666667,Dallas Stars,Chicago Blackhawks,5.5
PL,Boston Bruins +1.5,-218.0,0.13317889908256864,0.7768333333333333,0.27683333333333326,Pittsburgh Penguins,Boston Bruins,5.5
PL,Minnesota Wild +1.5,-170.0,0.16947058823529415,0.7363333333333333,0.23633333333333328,Colorado Avalanche,Minnesota Wild,6.5
TOTAL,Over,-130.0,0.15294871794871778,0.6516666666666666,0.15166666666666662,Dallas Stars,Chicago Blackhawks,5.5
TOTAL,Under,-102.0,0.23774509803921573,0.625,0.125,Vegas Golden Knights,Edmonton Oilers,6.5
ML,Vegas Golden Knights,-115.0,0.13934420289855076,0.6094166666666667,0.10941666666666672,Vegas Golden Knights,Edmonton Oilers,6.5
TOTAL,Over,-142.0,0.0012323943661972092,0.5875,0.08750000000000002,Pittsburgh Penguins,Boston Bruins,5.5
ML,Detroit Red Wings,-110.0,0.06240909090909097,0.5565,0.056499999999999995,New Jersey Devils,Detroit Red Wings,5.5
ML,Chicago Blackhawks,200.0,0.57575,0.52525,0.025249999999999995,Dallas Stars,Chicago Blackhawks,5.5
ML,Boston Bruins,110.0,0.09200000000000008,0.52,0.020000000000000018,Pittsburgh Penguins,Boston Bruins,5.5
