player,position,team
Sidney Crosby,F,PIT
Alex Killorn,F,ANA
James van Riemsdyk,F,DET
Patrick Kane,F,DET
Drew Doughty,F,LAK
Matt Duchene,F,DAL
Evander Kane,F,VAN
Brayden Schenn,F,STL
Nazem Kadri,F,CGY
Chris Kreider,F,ANA
Reilly Smith,F,VGK
Anders Lee,F,NYI
Mats Zuccarello,F,MIN
Jason Zucker,F,BUF
Tyler Toffoli,F,SJS
Justin Faulk,F,STL
Brock Nelson,F,COL
Cam Fowler,F,STL
Vladimir Tarasenko,F,MIN
Zach Hyman,F,EDM
Taylor Hall,F,CAR
Mikael Granlund,F,ANA
Bryan Rust,F,PIT
Mark Stone,F,VGK
Vincent Trocheck,F,NYR
Jean-Gabriel Pageau,F,NYI
Nikita Kucherov,F,TBL
Ryan Nugent-Hopkins,F,EDM
Mika Zibanejad,F,NYR
J.T. Miller,F,NYR
Rickard Rakell,F,PIT
Tomas Hertl,F,VGK
Teuvo Teravainen,F,CHI
Chandler Stephenson,F,SEA
Pavel Buchnevich,F,STL
Jake Guentzel,F,TBL
Andrew Copp,F,DET
Andre Burakovsky,F,CHI
Tyler Bertuzzi,F,CHI
Nathan MacKinnon,F,COL
Jonathan Drouin,F,NYI
Elias Lindholm,F,BOS
Leon Draisaitl,F,EDM
Nikolaj Ehlers,F,CAR
Kevin Fiala,F,LAK
Dylan Larkin,F,DET
Alex Tuch,F,BUF
Jared McCann,F,SEA
David Pastrnak,F,BOS
Adrian Kempe,F,LAK
Ivan Barbashev,F,VGK
Ryan Donato,F,CHI
Warren Foegele,F,LAK
Brayden Point,F,TBL
Viktor Arvidsson,F,BOS
Connor McDavid,F,EDM
Jack Eichel,F,VGK
Mikko Rantanen,F,DAL
Sebastian Aho,F,CAR
Brock Boeser,F,VAN
Mathew Barzal,F,NYI
Roope Hintz,F,DAL
Jack Roslovic,F,EDM
Mitch Marner,F,VGK
Joel Eriksson Ek,F,MIN
Jake DeBrusk,F,VAN
Anthony Cirelli,F,TBL
Artemi Panarin,F,NYR
Kirill Kaprizov,F,MIN
Alex DeBrincat,F,DET
Jordan Kyrou,F,STL
Tage Thompson,F,BUF
Brandon Hagel,F,TBL
Morgan Geekie,F,BOS
Eeli Tolvanen,F,SEA
Nick Suzuki,F,MTL
Robert Thomas,F,STL
Jason Robertson,F,DAL
Martin Necas,F,COL
Josh Norris,F,BUF
Alexandre Texier,F,MTL
Drake Batherson,F,OTT
Kiefer Sherwood,F,VAN
Brady Tkachuk,F,OTT
Andrei Svechnikov,F,CAR
Kirill Marchenko,F,CBJ
Cole Caufield,F,MTL
Kaapo Kakko,F,SEA
Matt Boldy,F,MIN
Simon Holmstrom,F,NYI
Pavel Dorofeyev,F,VGK
Ilya Mikheyev,F,CHI
Dmitri Voronkov,F,CBJ
Lucas Raymond,F,DET
Jake Neighbours,F,STL
Seth Jarvis,F,CAR
Alexis Lafrenière,F,NYR
Tim Stützle,F,OTT
Quinton Byfield,F,LAK
Alex Laferriere,F,LAK
Will Cuylle,F,NYR
Emil Heineman,F,NYI
Josh Doan,F,BUF
Matty Beniers,F,SEA
William Eklund,F,SJS
Matt Coronato,F,CGY
Brandt Clarke,F,LAK
Wyatt Johnston,F,DAL
Mason McTavish,F,ANA
Oliver Kapanen,F,MTL
Jackson Blake,F,CAR
Taylor Ward,F,LAK
Cutter Gauthier,F,ANA
Ryan Greene,F,CHI
Juraj Slafkovsky,F,MTL
Jimmy Snuggerud,F,STL
Elias Pettersson,F,VAN
Andrei Kuzmenko,F,LAK
Connor Bedard,F,CHI
Leo Carlsson,F,ANA
Adam Fantilli,F,CBJ
Emmitt Finnie,F,DET
Beckett Sennecke,F,ANA
Artyom Levshunov,F,CHI
Macklin Celebrini,F,SJS
Ivan Demidov,F,MTL
Igor Chernyshov,F,SJS
Matthew Schaefer,F,NYI
