gamePk,date,home,away,home_goals_sim,away_goals_sim
2025020644,2026-01-03,Detroit Red Wings,Pittsburgh Penguins,3,1
2025020645,2026-01-03,New Jersey Devils,Utah Mammoth,0,3
2025020646,2026-01-03,Columbus Blue Jackets,Buffalo Sabres,3,5
2025020647,2026-01-03,Edmonton Oilers,Philadelphia Flyers,3,5
2025020648,2026-01-03,St. Louis Blues,Montréal Canadiens,1,0
2025020649,2026-01-03,San Jose Sharks,Tampa Bay Lightning,5,4
2025020650,2026-01-03,Ottawa Senators,Winnipeg Jets,3,4
2025020651,2026-01-03,New York Islanders,Toronto Maple Leafs,4,6
2025020652,2026-01-03,Washington Capitals,Chicago Blackhawks,4,4
2025020653,2026-01-03,Carolina Hurricanes,Colorado Avalanche,2,4
2025020654,2026-01-03,Calgary Flames,Nashville Predators,4,6
2025020655,2026-01-03,Los Angeles Kings,Minnesota Wild,7,4
2025020656,2026-01-03,Vancouver Canucks,Boston Bruins,8,6
