date,player,team,opp,market,line,proj_lambda,p_over,side,ev,chosen_prob,source
2026-01-24,Joonas Korpisalo,BOS,MTL,SAVES,26.5,1.591,0.0,Under,,1.0,nolines
2026-01-24,Elvis Merzlikins,CBJ,TBL,SAVES,24.5,1.3651,0.0,Under,,1.0,nolines
2026-01-24,Justus Annunen,NSH,UTA,SAVES,26.5,0.7354,0.0,Under,,1.0,nolines
2026-01-24,Justus Annunen,NSH,UTA,SAVES,24.5,0.7354,0.0,Under,,1.0,nolines
2026-01-24,Jakub Dobes,MTL,BOS,SAVES,30.5,1.4341,0.0,Under,,1.0,nolines
2026-01-24,Joonas Korpisalo,BOS,MTL,SAVES,30.5,1.591,0.0,Under,,1.0,nolines
2026-01-24,Joonas Korpisalo,BOS,MTL,SAVES,28.5,1.591,0.0,Under,,1.0,nolines
2026-01-24,Justus Annunen,NSH,UTA,SAVES,30.5,0.7354,0.0,Under,,1.0,nolines
2026-01-24,Justus Annunen,NSH,UTA,SAVES,28.5,0.7354,0.0,Under,,1.0,nolines
2026-01-24,Elvis Merzlikins,CBJ,TBL,SAVES,26.5,1.3651,0.0,Under,,1.0,nolines
2026-01-24,Elvis Merzlikins,CBJ,TBL,SAVES,28.5,1.3651,0.0,Under,,1.0,nolines
2026-01-24,Jakub Dobes,MTL,BOS,SAVES,28.5,1.4341,0.0,Under,,1.0,nolines
2026-01-24,Elvis Merzlikins,CBJ,TBL,SAVES,30.5,1.3651,0.0,Under,,1.0,nolines
2026-01-24,Jakub Dobes,MTL,BOS,SAVES,26.5,1.4341,0.0,Under,,1.0,nolines
2026-01-24,Joonas Korpisalo,BOS,MTL,SAVES,24.5,1.591,1e-06,Under,,0.999999,nolines
2026-01-24,Jakub Dobes,MTL,BOS,SAVES,24.5,1.4341,1e-06,Under,,0.999999,nolines
2026-01-24,Jason Zucker,BUF,NYI,BLOCKS,3.5,0.0466,4e-06,Under,,0.999996,nolines
2026-01-24,Mavrik Bourque,DAL,,BLOCKS,3.5,0.0462,4e-06,Under,,0.999996,nolines
2026-01-24,Kurtis MacDermid,OTT,CAR,BLOCKS,3.5,0.0541,7e-06,Under,,0.999993,nolines
2026-01-24,Maxim Tsyplakov,NYI,BUF,BLOCKS,3.5,0.054,7e-06,Under,,0.999993,nolines
2026-01-24,Tim Washe,ANA,,BLOCKS,3.5,0.0573,8e-06,Under,,0.999992,nolines
2026-01-24,Trent Frederic,EDM,WSH,BLOCKS,3.5,0.0617,1e-05,Under,,0.99999,nolines
2026-01-24,Kaapo Kakko,SEA,,BLOCKS,3.5,0.0606,1.1e-05,Under,,0.999989,nolines
2026-01-24,Joe Veleno,MTL,BOS,BLOCKS,3.5,0.0628,1.1e-05,Under,,0.999989,nolines
2026-01-24,Samuel Ersson,PHI,,SAVES,30.5,2.229,1.3e-05,Under,,0.999987,nolines
2026-01-24,Michael Bunting,NSH,UTA,BLOCKS,3.5,0.0647,1.3e-05,Under,,0.999987,nolines
