date,player,team,market,line,over_price,under_price,book,actual
2025-10-22,Mikael Backlund,CGY,SOG,1.5,-130,100,draftkings,
2025-10-22,Mikael Backlund,CGY,SOG,1.5,-135,104,fanduel,
2025-10-22,Mikael Backlund,CGY,SOG,1.5,-132,100,pinnacle,
2025-10-22,Nazem Kadri,CGY,ASSISTS,0.5,130,-168,draftkings,
2025-10-22,Nazem Kadri,CGY,ASSISTS,0.5,130,-174,pinnacle,
2025-10-22,Nazem Kadri,CGY,GOALS,0.5,195,-270,fanduel,
2025-10-22,Nazem Kadri,CGY,POINTS,0.5,-182,140,draftkings,
2025-10-22,Nazem Kadri,CGY,POINTS,0.5,-172,134,fanduel,
2025-10-22,Nazem Kadri,CGY,POINTS,0.5,-189,141,pinnacle,
2025-10-22,Nazem Kadri,CGY,SOG,2.5,-175,135,draftkings,
2025-10-22,Nazem Kadri,CGY,SOG,2.5,-190,141,pinnacle,
2025-10-22,Nazem Kadri,CGY,SOG,3.5,134,-176,fanduel,
2025-10-22,Jason Zucker,BUF,ASSISTS,0.5,210,-285,draftkings,
2025-10-22,Jason Zucker,BUF,ASSISTS,0.5,219,-311,pinnacle,
2025-10-22,Jason Zucker,BUF,GOALS,0.5,280,-420,fanduel,
2025-10-22,Jason Zucker,BUF,POINTS,0.5,105,-135,draftkings,
2025-10-22,Jason Zucker,BUF,POINTS,0.5,104,-132,fanduel,
2025-10-22,Jason Zucker,BUF,POINTS,0.5,102,-135,pinnacle,
2025-10-22,Jason Zucker,BUF,SOG,1.5,-148,115,draftkings,
2025-10-22,Jason Zucker,BUF,SOG,1.5,-160,122,fanduel,
2025-10-22,Jason Zucker,BUF,SOG,1.5,-156,117,pinnacle,
2025-10-22,Vladimir Tarasenko,MIN,ASSISTS,0.5,190,-255,draftkings,
2025-10-22,Vladimir Tarasenko,MIN,ASSISTS,0.5,165,-225,pinnacle,
2025-10-22,Vladimir Tarasenko,MIN,GOALS,0.5,370,-600,fanduel,
2025-10-22,Vladimir Tarasenko,MIN,POINTS,0.5,110,-142,draftkings,
2025-10-22,Vladimir Tarasenko,MIN,POINTS,0.5,106,-136,fanduel,
2025-10-22,Vladimir Tarasenko,MIN,POINTS,0.5,105,-140,pinnacle,
2025-10-22,Vladimir Tarasenko,MIN,SOG,1.5,115,-148,draftkings,
2025-10-22,Vladimir Tarasenko,MIN,SOG,1.5,114,-148,fanduel,
2025-10-22,Vladimir Tarasenko,MIN,SOG,1.5,117,-160,pinnacle,
2025-10-22,Brendan Gallagher,MTL,ASSISTS,0.5,310,-455,draftkings,
2025-10-22,Brendan Gallagher,MTL,ASSISTS,0.5,320,-495,pinnacle,
2025-10-22,Brendan Gallagher,MTL,GOALS,0.5,370,-600,fanduel,
2025-10-22,Brendan Gallagher,MTL,POINTS,0.5,145,-188,draftkings,
2025-10-22,Brendan Gallagher,MTL,POINTS,0.5,164,-215,fanduel,
2025-10-22,Brendan Gallagher,MTL,POINTS,0.5,156,-211,pinnacle,
2025-10-22,Brendan Gallagher,MTL,SOG,1.5,-105,-125,draftkings,
2025-10-22,Brendan Gallagher,MTL,SOG,1.5,-110,-118,fanduel,
2025-10-22,Brendan Gallagher,MTL,SOG,1.5,-107,-124,pinnacle,
2025-10-22,Blake Coleman,CGY,ASSISTS,0.5,270,-385,draftkings,
2025-10-22,Blake Coleman,CGY,ASSISTS,0.5,293,-442,pinnacle,
