player,position,team
Alex Killorn,F,ANA
Jamie Benn,F,DAL
John Carlson,F,ANA
Jared Spurgeon,F,MIN
Marcus Johansson,F,MIN
Matt Duchene,F,DAL
Chris Kreider,F,ANA
Mattias Ekholm,F,EDM
Mats Zuccarello,F,MIN
Vladimir Tarasenko,F,MIN
Zach Hyman,F,EDM
Mikael Granlund,F,ANA
Ryan Nugent-Hopkins,F,EDM
Jacob Trouba,F,ANA
Esa Lindell,F,DAL
Ryan Hartman,F,MIN
Darnell Nurse,F,EDM
Leon Draisaitl,F,EDM
Kasperi Kapanen,F,EDM
Jake Walman,F,EDM
Connor McDavid,F,EDM
Mikko Rantanen,F,DAL
Jack Roslovic,F,EDM
Joel Eriksson Ek,F,MIN
Kirill Kaprizov,F,MIN
Troy Terry,F,ANA
Jason Robertson,F,DAL
Miro Heiskanen,F,DAL
Ryan Poehling,F,ANA
Quinn Hughes,F,MIN
Evan Bouchard,F,EDM
Bobby Brink,F,MIN
Matt Boldy,F,MIN
Thomas Harley,F,DAL
Jackson LaCombe,F,ANA
Vasily Podkolzin,F,EDM
Brock Faber,F,MIN
Mavrik Bourque,F,DAL
Wyatt Johnston,F,DAL
Mason McTavish,F,ANA
Cutter Gauthier,F,ANA
Matt Savoie,F,EDM
Leo Carlsson,F,ANA
Beckett Sennecke,F,ANA
Justin Hryckowian,F,DAL
