date,player,team,market,line,p_over,over_price,under_price,book,side,ev,chosen_prob
2026-02-04,Adam Fantilli,CBJ,ASSISTS,0.5,0.12857828242443628,155,-210,betmgm,Under,0.2863844402305942,0.8714217175755637
2026-02-04,Adam Fantilli,CBJ,POINTS,0.5,0.31264992803454345,-139,105,pinnacle,Under,0.4090676475291859,0.6873500719654566
2026-02-04,Boone Jenner,CBJ,ASSISTS,0.5,0.14712937789860867,270,-385,draftkings,Under,0.07439545901084366,0.8528706221013913
2026-02-04,Boone Jenner,CBJ,POINTS,0.5,0.2310890772429234,150,-198,draftkings,Under,0.15724977263438816,0.7689109227570766
2026-02-04,Charlie Coyle,CBJ,ASSISTS,0.5,0.15384615384615385,185,-248,draftkings,Under,0.1873449131513648,0.8461538461538461
2026-02-04,Charlie Coyle,CBJ,POINTS,0.5,0.2379657764273149,-110,-120,betmgm,Under,0.3970627432165895,0.7620342235726851
2026-02-04,Damon Severson,CBJ,ASSISTS,0.5,0.15271586594023445,230,-320,draftkings,Under,0.11206042595344229,0.8472841340597655
2026-02-04,Damon Severson,CBJ,POINTS,0.5,0.2364206702988278,175,-235,betmgm,Under,0.08850670404209643,0.7635793297011721
2026-02-04,Ivan Provorov,CBJ,ASSISTS,0.5,0.16616024308332,230,-320,draftkings,Under,0.09441468095314248,0.83383975691668
2026-02-04,Ivan Provorov,CBJ,POINTS,0.5,0.21029905645290262,176,-234,draftkings,Under,0.12717997925098523,0.7897009435470974
2026-02-04,Ivan Provorov,CBJ,SOG,1.5,0.22964976811130658,-125,-105,draftkings,Under,0.5040171194017348,0.7703502318886934
2026-02-04,Mason Marchment,CBJ,ASSISTS,0.5,0.15075957727873185,185,-248,draftkings,Under,0.1916760770443603,0.8492404227212682
2026-02-04,Mason Marchment,CBJ,POINTS,0.5,0.23728533685601058,-135,102,pinnacle,Under,0.5406836195508585,0.7627146631439894
2026-02-04,Mason Marchment,CBJ,SOG,1.5,0.23134081902245707,-175,135,draftkings,Under,0.806349075297226,0.7686591809775429
2026-02-04,Zach Werenski,CBJ,ASSISTS,0.5,0.1522469214776907,-175,131,pinnacle,Under,0.9583096113865346,0.8477530785223093
2026-02-04,Zach Werenski,CBJ,POINTS,1.5,0.036622421237805854,175,-235,betmgm,Under,0.37332548461844683,0.9633775787621941
2026-02-04,Zach Werenski,CBJ,SOG,3.5,0.032464417079801695,126,-162,draftkings,Under,0.5647797699079751,0.9675355829201983
2026-02-04,Connor McDavid,EDM,ASSISTS,1.5,0.025282238829702656,165,-225,betmgm,Under,0.4079256550237627,0.9747177611702973
