date,home,away,market,ev,date_key,total_line_used,model_total,model_spread,period1_home_proj,period1_away_proj,p_home_ml,p_away_ml,p_over,p_under,p_home_pl_-1.5,p_away_pl_+1.5,home_ml_odds,away_ml_odds,home_ml_book,away_ml_book,over_odds,under_odds,over_book,under_book,home_pl_-1.5_odds,away_pl_+1.5_odds,home_pl_-1.5_book,away_pl_+1.5_book,p_f10_yes,p_f10_no,home_gd10,away_gd10,form_delta,rest_delta,b2b_delta,total_bias,market_group,bet,prob,price,book,totals_line,side,edge_score,edge_reasons
2026-03-06T01:00:00Z,Winnipeg Jets,Tampa Bay Lightning,ev_home_ml,0.8681,2026-03-06,6.0,5.78,1.02,0.92,0.8,0.7849206566810608,0.2150793433189392,0.3359499999999999,0.66405,0.36955,0.63045,138.0,-167.0,betrivers,betrivers,,,betrivers,betrivers,,,betrivers,betrivers,0.6117089143941271,0.3882910856058729,,,,,,-0.21999999999999975,moneyline,home_ml,0.7849206566810608,138.0,betrivers,,Winnipeg Jets,0.6993780952940544,p=0.785; spread +1.02
2026-03-06T02:30:00Z,Los Angeles Kings,New York Islanders,ev_home_ml,0.1935,2026-03-06,6.0,5.92,0.58,1.09,1.01,0.6877850020317948,0.3122149979682052,0.50475,0.4952499999999999,0.3337,0.6663,-136.0,112.0,betrivers,betrivers,,,betrivers,betrivers,,,betrivers,betrivers,0.6849424630965868,0.3150575369034132,,,,,,-0.08000000000000007,moneyline,home_ml,0.6877850020317948,-136.0,betrivers,,Los Angeles Kings,0.5358019484830902,p=0.688; spread +0.58
2026-03-06T00:00:00Z,Columbus Blue Jackets,Florida Panthers,ev_home_ml,0.2482,2026-03-06,6.0,6.24,0.59,1.01,0.87,0.6729893853319834,0.3270106146680166,0.3948,0.6052,0.3255,0.6745,-117.0,-104.0,betrivers,betrivers,,,betrivers,betrivers,,,betrivers,betrivers,0.6444182150217139,0.3555817849782861,,,,,,0.2400000000000002,moneyline,home_ml,0.6729893853319834,-117.0,betrivers,,Columbus Blue Jackets,0.5173229788829028,p=0.673; spread +0.59
2026-03-06T02:00:00Z,Calgary Flames,Ottawa Senators,ev_home_ml,0.4929,2026-03-06,6.0,5.97,0.37,0.91,0.74,0.6694698471830556,0.3305301528169444,0.2307,0.7693,0.2699,0.7301,123.0,-150.0,betrivers,betrivers,,,betrivers,betrivers,,,betrivers,betrivers,0.5964682064691842,0.4035317935308158,,,,,,-0.03000000000000025,moneyline,home_ml,0.6694698471830556,123.0,betrivers,,Calgary Flames,0.4784254841266778,p=0.669; spread +0.37
2026-03-06T02:30:00Z,Los Angeles Kings,New York Islanders,ev_f10_yes,0.1416,2026-03-06,6.0,5.92,0.58,1.09,1.01,0.6877850020317948,0.3122149979682052,0.50475,0.4952499999999999,0.3337,0.6663,-136.0,112.0,betrivers,betrivers,,,betrivers,betrivers,,,betrivers,betrivers,0.6849424630965868,0.3150575369034132,,,,,,-0.08000000000000007,first10,f10_yes,0.6849424630965868,,,,Yes,0.4138920228070497,p=0.685; P1 pace 2.10
2026-03-06T02:30:00Z,Los Angeles Kings,New York Islanders,ev_f10_no,-0.4749,2026-03-06,6.0,5.92,0.58,1.09,1.01,0.6877850020317948,0.3122149979682052,0.50475,0.4952499999999999,0.3337,0.6663,-136.0,112.0,betrivers,betrivers,,,betrivers,betrivers,,,betrivers,betrivers,0.6849424630965868,0.3150575369034132,,,,,,-0.08000000000000007,first10,f10_no,0.3150575369034132,,,,No,0.4138920228070497,p=0.315; P1 pace 2.10
2026-03-06T01:00:00Z,Winnipeg Jets,Tampa Bay Lightning,ev_away_ml,-0.6561,2026-03-06,6.0,5.78,1.02,0.92,0.8,0.7849206566810608,0.2150793433189392,0.3359499999999999,0.66405,0.36955,0.63045,138.0,-167.0,betrivers,betrivers,,,betrivers,betrivers,,,betrivers,betrivers,0.6117089143941271,0.3882910856058729,,,,,,-0.21999999999999975,moneyline,away_ml,0.2150793433189392,-167.0,betrivers,,Tampa Bay Lightning,0.3937436558554411,p=0.215; spread +1.02
2026-03-06T00:00:00Z,Philadelphia Flyers,Utah Mammoth,ev_home_ml,0.0633,2026-03-06,6.0,6.11,0.6,1.22,0.95,0.573300320145749,0.4266996798542509,0.5118,0.4881999999999999,0.34285,0.65715,-117.0,-104.0,betrivers,betrivers,,,betrivers,betrivers,,,betrivers,betrivers,0.6968416491743006,0.3031583508256994,,,,,,0.11000000000000032,moneyline,home_ml,0.573300320145749,-117.0,betrivers,,Philadelphia Flyers,0.3856253894326274,p=0.573; spread +0.60
2026-03-06T00:00:00Z,New York Rangers,Toronto Maple Leafs,ev_home_ml,-0.1535,2026-03-06,6.0,6.23,0.42,0.94,1.17,0.4149432900025405,0.5850567099974595,0.5284,0.4716,0.22425,0.7757499999999999,104.0,-125.0,betrivers,betrivers,,,betrivers,betrivers,,,betrivers,betrivers,0.6866705230285935,0.31332947697140645,,,,,,0.23000000000000043,moneyline,home_ml,0.4149432900025405,104.0,betrivers,,New York Rangers,0.3749214579668956,p=0.415; spread +0.42
2026-03-06T02:00:00Z,Calgary Flames,Ottawa Senators,ev_away_ml,-0.4491,2026-03-06,6.0,5.97,0.37,0.91,0.74,0.6694698471830556,0.3305301528169444,0.2307,0.7693,0.2699,0.7301,123.0,-150.0,betrivers,betrivers,,,betrivers,betrivers,,,betrivers,betrivers,0.5964682064691842,0.4035317935308158,,,,,,-0.03000000000000025,moneyline,away_ml,0.3305301528169444,-150.0,betrivers,,Ottawa Senators,0.30682744169480375,p=0.331; spread +0.37
