team,player_id,period,player,game_home,game_away,date,shots,goals,assists,points,blocks,saves,toi_sec
Boston Bruins,8476374,1,Sean Kuraly,Boston Bruins,Philadelphia Flyers,2026-01-29,1,0,0,0,0,0,600.0
Boston Bruins,8476374,2,Sean Kuraly,Boston Bruins,Philadelphia Flyers,2026-01-29,1,0,0,0,0,0,600.0
Boston Bruins,8476374,3,Sean Kuraly,Boston Bruins,Philadelphia Flyers,2026-01-29,1,0,0,0,0,0,600.0
Boston Bruins,8476374,4,Sean Kuraly,Boston Bruins,Philadelphia Flyers,2026-01-29,0,0,0,0,0,0,12.8625
Boston Bruins,8476854,1,Hampus Lindholm,Boston Bruins,Philadelphia Flyers,2026-01-29,0,0,0,0,0,0,300.0
Boston Bruins,8476854,2,Hampus Lindholm,Boston Bruins,Philadelphia Flyers,2026-01-29,1,0,0,0,0,0,300.0
Boston Bruins,8476854,3,Hampus Lindholm,Boston Bruins,Philadelphia Flyers,2026-01-29,1,0,0,0,0,0,300.0
Boston Bruins,8476854,4,Hampus Lindholm,Boston Bruins,Philadelphia Flyers,2026-01-29,0,0,0,0,0,0,0.375
Boston Bruins,8476914,1,Joonas Korpisalo,Boston Bruins,Philadelphia Flyers,2026-01-29,0,0,0,0,0,5,1200.0
Boston Bruins,8476914,2,Joonas Korpisalo,Boston Bruins,Philadelphia Flyers,2026-01-29,0,0,0,0,0,5,1200.0
Boston Bruins,8476914,3,Joonas Korpisalo,Boston Bruins,Philadelphia Flyers,2026-01-29,0,0,0,0,0,5,1200.0
Boston Bruins,8476914,4,Joonas Korpisalo,Boston Bruins,Philadelphia Flyers,2026-01-29,0,0,0,0,0,0,55.8
Boston Bruins,8477496,1,Elias Lindholm,Boston Bruins,Philadelphia Flyers,2026-01-29,1,0,0,0,0,0,600.0
Boston Bruins,8477496,2,Elias Lindholm,Boston Bruins,Philadelphia Flyers,2026-01-29,1,0,0,0,0,0,600.0
