date,home,away,market,ev,date_key,total_line_used,model_total,model_spread,period1_home_proj,period1_away_proj,p_home_ml,p_away_ml,p_over,p_under,p_home_pl_-1.5,p_away_pl_+1.5,home_ml_odds,away_ml_odds,home_ml_book,away_ml_book,over_odds,under_odds,over_book,under_book,home_pl_-1.5_odds,away_pl_+1.5_odds,home_pl_-1.5_book,away_pl_+1.5_book,p_f10_yes,p_f10_no,home_gd10,away_gd10,form_delta,rest_delta,b2b_delta,total_bias,market_group,bet,prob,price,book,totals_line,side,edge_score,edge_reasons,edge_drivers
2026-03-10T01:00:00Z,Vancouver Canucks,Ottawa Senators,ev_over,-0.5382,2026-03-10,6.5,6.01,0.61,0.84,0.77,0.2881824592055559,0.711817540794444,0.2286,0.7714,0.2267,0.7733,180.0,-218.0,draftkings,draftkings,102.0,-122.0,draftkings,draftkings,,,draftkings,draftkings,0.5874921322269153,0.4125078677730847,,,,,,-0.4900000000000002,totals,over,0.2286,102.0,draftkings,6.5,Over 6.5,0.3493678930054984,total 6.01 vs line 6.5 (-0.49); p=0.229; P1 pace 1.61,MODEL OVR · LINE- · PACE-
2026-03-09T23:00:00Z,Philadelphia Flyers,New York Rangers,ev_home_ml,-0.2214,2026-03-09,5.5,6.02,0.55,1.03,0.96,0.4646635521926879,0.535336447807312,0.5996,0.4004,0.2642,0.7358,-148.0,124.0,draftkings,draftkings,-112.0,-108.0,draftkings,draftkings,180.0,-218.0,draftkings,draftkings,0.6652930814234967,0.33470691857650325,,,,,,0.5199999999999996,moneyline,home_ml,0.4646635521926879,-148.0,draftkings,,Philadelphia Flyers,0.3366853824746126,p=0.465; spread +0.55,MODEL HOME · SPREAD+
2026-03-09T20:00:00Z,Columbus Blue Jackets,Los Angeles Kings,ev_home_ml,-0.1702,2026-03-09,6.5,6.4,0.74,1.15,0.93,0.4869006566810607,0.5130993433189392,0.4735,0.5265,0.39355,0.6064499999999999,-142.0,120.0,draftkings,draftkings,114.0,-135.0,draftkings,draftkings,180.0,-218.0,draftkings,draftkings,0.6814576991267811,0.3185423008732189,,,,,,-0.09999999999999964,moneyline,home_ml,0.4869006566810607,-142.0,draftkings,,Columbus Blue Jackets,0.32895615974237963,p=0.487; spread +0.74,MODEL HOME · SPREAD+
2026-03-10T01:00:00Z,Vancouver Canucks,Ottawa Senators,ev_away_ml,0.0383,2026-03-10,6.5,6.01,0.61,0.84,0.77,0.2881824592055559,0.711817540794444,0.2286,0.7714,0.2267,0.7733,180.0,-218.0,draftkings,draftkings,102.0,-122.0,draftkings,draftkings,,,draftkings,draftkings,0.5874921322269153,0.4125078677730847,,,,,,-0.4900000000000002,moneyline,away_ml,0.711817540794444,-218.0,draftkings,,Ottawa Senators,0.3236408237665751,p=0.712; spread +0.61,MODEL AWAY · SPREAD-
2026-03-09T23:00:00Z,Philadelphia Flyers,New York Rangers,ev_away_pl_+1.5,0.0733,2026-03-09,5.5,6.02,0.55,1.03,0.96,0.4646635521926879,0.535336447807312,0.5996,0.4004,0.2642,0.7358,-148.0,124.0,draftkings,draftkings,-112.0,-108.0,draftkings,draftkings,180.0,-218.0,draftkings,draftkings,0.6652930814234967,0.33470691857650325,,,,,,0.5199999999999996,puckline,away_pl_+1.5,0.7358,-218.0,draftkings,,New York Rangers +1.5,0.31760231596386973,p=0.736; spread +0.55; cover margin -2.05,MODEL AWAY · COVER-
2026-03-09T20:00:00Z,Columbus Blue Jackets,Los Angeles Kings,ev_under,-0.0835,2026-03-09,6.5,6.4,0.74,1.15,0.93,0.4869006566810607,0.5130993433189392,0.4735,0.5265,0.39355,0.6064499999999999,-142.0,120.0,draftkings,draftkings,114.0,-135.0,draftkings,draftkings,180.0,-218.0,draftkings,draftkings,0.6814576991267811,0.3185423008732189,,,,,,-0.09999999999999964,totals,under,0.5265,-135.0,draftkings,6.5,Under 6.5,0.3095919833625094,total 6.40 vs line 6.5 (-0.10); p=0.526; P1 pace 2.08,MODEL UND · PACE-
2026-03-09T23:00:00Z,Washington Capitals,Calgary Flames,ev_home_ml,-0.2552,2026-03-09,5.5,6.05,0.51,1.12,0.73,0.4897236566810607,0.5102763433189392,0.519,0.481,0.4082,0.5918,-192.0,160.0,draftkings,draftkings,-130.0,110.0,draftkings,draftkings,130.0,-155.0,draftkings,draftkings,0.6385024446776645,0.3614975553223355,,,,,,0.5499999999999998,moneyline,home_ml,0.4897236566810607,-192.0,draftkings,,Washington Capitals,0.29800061084225016,p=0.490; spread +0.51,MODEL HOME · SPREAD+
2026-03-09T20:00:00Z,Columbus Blue Jackets,Los Angeles Kings,ev_over,0.0133,2026-03-09,6.5,6.4,0.74,1.15,0.93,0.4869006566810607,0.5130993433189392,0.4735,0.5265,0.39355,0.6064499999999999,-142.0,120.0,draftkings,draftkings,114.0,-135.0,draftkings,draftkings,180.0,-218.0,draftkings,draftkings,0.6814576991267811,0.3185423008732189,,,,,,-0.09999999999999964,totals,over,0.4735,114.0,draftkings,6.5,Over 6.5,0.29073742840219646,total 6.40 vs line 6.5 (-0.10); p=0.473; P1 pace 2.08,MODEL OVR · PACE+
2026-03-09T23:00:00Z,Philadelphia Flyers,New York Rangers,ev_under,-0.2289,2026-03-09,5.5,6.02,0.55,1.03,0.96,0.4646635521926879,0.535336447807312,0.5996,0.4004,0.2642,0.7358,-148.0,124.0,draftkings,draftkings,-112.0,-108.0,draftkings,draftkings,180.0,-218.0,draftkings,draftkings,0.6652930814234967,0.33470691857650325,,,,,,0.5199999999999996,totals,under,0.4004,-108.0,draftkings,5.5,Under 5.5,0.25452156759704064,total 6.02 vs line 5.5 (+0.52); p=0.400; P1 pace 1.99,MODEL UND · LINE-
2026-03-09T23:00:00Z,Washington Capitals,Calgary Flames,ev_under,0.0101,2026-03-09,5.5,6.05,0.51,1.12,0.73,0.4897236566810607,0.5102763433189392,0.519,0.481,0.4082,0.5918,-192.0,160.0,draftkings,draftkings,-130.0,110.0,draftkings,draftkings,130.0,-155.0,draftkings,draftkings,0.6385024446776645,0.3614975553223355,,,,,,0.5499999999999998,totals,under,0.481,110.0,draftkings,5.5,Under 5.5,0.20416163420412917,total 6.05 vs line 5.5 (+0.55); p=0.481; P1 pace 1.85,MODEL UND · LINE- · PACE+
