date,player,team,market,line,proj,p_over,over_price,under_price,book,side,ev,proj_lambda,ev_over
2025-10-11,Sam Rinzel,,GOALS,0.5,0.3,0.2592,800,-2000,fanduel,Over,1.3326,0.3,1.3326
2025-10-11,Kris Letang,,GOALS,0.5,0.3,0.2592,750,-1600,fanduel,Over,1.203,0.3,1.203
2025-10-11,Lane Hutson,,GOALS,0.5,0.3,0.2592,700,-1500,fanduel,Over,1.0735,0.3,1.0735
2025-10-11,Aaron Ekblad,,GOALS,0.5,0.3,0.2592,625,-1200,fanduel,Over,0.8791,0.3,0.8791
2025-10-11,Erik Karlsson,,GOALS,0.5,0.3,0.2592,575,-1100,fanduel,Over,0.7495,0.3,0.7495
2025-10-11,Jake Sanderson,,GOALS,0.5,0.3,0.2592,550,-1000,fanduel,Over,0.6847,0.3,0.6847
2025-10-11,Jack Hughes,,SOG,2.5,2.0,0.3233,-178,136,fanduel,Under,0.597,2.0,0.597
2025-10-11,Nikita Kucherov,,SOG,2.5,2.0,0.3233,-178,136,fanduel,Under,0.597,2.0,0.597
2025-10-11,Sam Bennett,,SOG,2.5,2.0,0.3233,-185,135,betmgm,Under,0.5902,2.0,0.5902
2025-10-11,Adam Fox,,GOALS,0.5,0.3,0.2592,500,-850,fanduel,Over,0.5551,0.3,0.5551
2025-10-11,Artemi Panarin,,SOG,2.5,2.0,0.3233,-164,125,fanduel,Under,0.5225,2.0,0.5225
2025-10-11,Total Shots On Goal,,SOG,2.5,2.0,0.3233,-165,125,bovada,Under,0.5225,2.0,0.5225
2025-10-11,David Pastrnak,,SOG,3.5,2.0,0.1429,-105,-135,betmgm,Under,0.492,2.0,0.492
2025-10-11,Brady Tkachuk,,SOG,3.5,2.0,0.1429,-105,-135,betmgm,Under,0.492,2.0,0.492
2025-10-11,Artemi Panarin,,SOG,2.5,2.0,0.3233,-165,120,betmgm,Under,0.4887,2.0,0.4887
2025-10-11,Timo Meier,,SOG,2.5,2.0,0.3233,-156,120,fanduel,Under,0.4887,2.0,0.4887
2025-10-11,Alex Ovechkin,,SOG,3.5,2.0,0.1429,100,-140,betmgm,Under,0.4694,2.0,0.4694
2025-10-11,3.5,,BLOCKS,3.5,1.5,0.0656,135,-175,bovada,Under,0.4683,1.5,0.4683
2025-10-11,Gustav Forsling,,POINTS,0.5,0.7,0.5034,190,-275,betmgm,Over,0.4599,0.7,0.4599
2025-10-11,Carter Verhaeghe,,SOG,2.5,2.0,0.3233,-155,115,betmgm,Under,0.4549,2.0,0.4549
2025-10-11,Warren Foegele,,ASSISTS,0.5,0.4,0.3297,340,-550,betmgm,Over,0.4506,0.4,0.4506
2025-10-11,Mikael Backlund,,ASSISTS,0.5,0.4,0.3297,333,-525,betmgm,Over,0.4275,0.4,0.4275
2025-10-11,Kyle Connor,,SOG,2.5,2.0,0.3233,-150,110,betmgm,Under,0.421,2.0,0.421
2025-10-11,Cole Caufield,,SOG,2.5,2.0,0.3233,-150,110,betmgm,Under,0.421,2.0,0.421
2025-10-11,Kyle Connor,,SOG,2.5,2.0,0.3233,-140,108,fanduel,Under,0.4075,2.0,0.4075
2025-10-11,Claude Giroux,,GOALS,0.5,0.3,0.2592,440,-700,fanduel,Over,0.3996,0.3,0.3996
2025-10-11,Anze Kopitar,,GOALS,0.5,0.3,0.2592,440,-700,fanduel,Over,0.3996,0.3,0.3996
2025-10-11,Nazem Kadri,,SOG,3.5,2.0,0.1429,122,-160,fanduel,Under,0.3928,2.0,0.3928
