date,player,team,opp,market,line,proj,p_over,p_under,p_push,over_price,under_price,book,side,price,ev,prob,chosen_prob,edge_score,edge_reasons,edge_drivers,proj_lambda
2026-03-17,Jordan Eberle,SEA,TBL,SOG,1.5,2.549,0.7225,0.27748556475664776,0.0,-175,130,betmgm,Over,-175,0.13537982681098204,0.7225144352433522,0.7225144352433522,0.5360028452275998,JUICE+ · MODEL OVR · CONF60+ · CONS4+ · B2B · MATCHUP+,JUICE+ · MODEL OVR · CONF60+ · CONS4+ · B2B · MATCHUP+,2.549
2026-03-17,Mathew Barzal,NYI,TOR,POINTS,0.5,1.366,0.7449,0.25505072442752175,0.0,-212,160,draftkings,Over,-212,0.09634044329534547,0.7449492755724783,0.7449492755724783,0.5307237241639651,JUICE+ · MODEL OVR · CONF60+ · CONS3+ · MATCHUP+,JUICE+ · MODEL OVR · CONF60+ · CONS3+ · MATCHUP+,1.366
2026-03-17,Ivan Demidov,MTL,BOS,ASSISTS,0.5,0.318,0.2725,0.7274687135025912,0.0,110,-146,pinnacle,Under,-146,0.22573495562765378,0.7274687135025912,0.7274687135025912,0.5260811106431715,JUICE · MODEL UND · CONF60+ · SINGLE · MATCHUP+,JUICE · MODEL UND · CONF60+ · SINGLE · MATCHUP+,0.318
2026-03-17,Elias Lindholm,BOS,MTL,POINTS,0.5,0.208,0.1876,0.812354701149185,0.0,-111,-119,pinnacle,Under,-119,0.49500571051824804,0.812354701149185,0.812354701149185,0.5211126534055238,MODEL UND · CONF60+ · CONS2 · B2B · MATCHUP-,MODEL UND · CONF60+ · CONS2 · B2B · MATCHUP-,0.208
2026-03-17,Brayden Point,TBL,SEA,SOG,1.5,2.55,0.7227,0.2772504075718919,0.0,-188,145,draftkings,Over,-188,0.10719086499625069,0.7227495924281081,0.7227495924281081,0.5147633000364681,JUICE+ · MODEL OVR · CONF60+ · CONS3+ · MATCHUP+,JUICE+ · MODEL OVR · CONF60+ · CONS3+ · MATCHUP+,2.55
2026-03-17,Josh Morrissey,WPG,NSH,ASSISTS,0.5,0.252,0.2226,0.7774013604609558,0.0,111,-147,pinnacle,Under,-147,0.30624582335956496,0.7774013604609558,0.7774013604609558,0.5136643362960243,JUICE · MODEL UND · CONF60+ · CONS3+,JUICE · MODEL UND · CONF60+ · CONS3+,0.252
2026-03-17,Brayden Point,TBL,SEA,POINTS,0.5,1.24,0.7105,0.2894758889875988,0.0,-175,130,betmgm,Over,-175,0.1165378887337733,0.7105241110124012,0.7105241110124012,0.5116554172406167,JUICE+ · MODEL OVR · CONF60+ · CONS3+ · MATCHUP+,JUICE+ · MODEL OVR · CONF60+ · CONS3+ · MATCHUP+,1.24
2026-03-17,Connor McDavid,EDM,SJS,SOG,3.5,2.453,0.2325,0.7674889460514467,0.0,110,-142,draftkings,Under,-142,0.30797411932711327,0.7674889460514467,0.7674889460514467,0.5068430276440304,JUICE · MODEL UND · CONF60+ · CONS3+ · B2B,JUICE · MODEL UND · CONF60+ · CONS3+ · B2B,2.453
2026-03-17,Josh Morrissey,WPG,NSH,SOG,1.5,2.467,0.706,0.2940369060598046,0.0,-154,120,draftkings,Over,-154,0.16438068740785478,0.7059630939401954,0.7059630939401954,0.5055199922632917,JUICE · MODEL OVR · CONF60+ · CONS3+ · MATCHUP+,JUICE · MODEL OVR · CONF60+ · CONS3+ · MATCHUP+,2.467
2026-03-17,Jake DeBrusk,VAN,FLA,SOG,1.5,2.534,0.7196,0.2803948739510864,0.0,-160,120,betmgm,Over,-160,0.16935832982948457,0.7196051260489136,0.7196051260489136,0.5049371222200365,JUICE+ · MODEL OVR · CONF60+ · CONS4+ · MATCHUP+,JUICE+ · MODEL OVR · CONF60+ · CONS4+ · MATCHUP+,2.534
2026-03-17,Kirill Kaprizov,MIN,CHI,SOG,3.5,2.597,0.2634,0.7365967329315648,0.0,-115,-120,betmgm,Under,-120,0.3504273437078689,0.7365967329315648,0.7365967329315648,0.49687060487654944,MODEL UND · CONF60+ · CONS4+,MODEL UND · CONF60+ · CONS4+,2.597
2026-03-17,Morgan Geekie,BOS,MTL,SOG,1.5,2.53,0.7189,0.28112600924411346,0.0,-204,155,draftkings,Over,-204,0.07126320191073293,0.7188739907558865,0.7188739907558865,0.4966828832413899,JUICE+ · MODEL OVR · CONF60+ · CONS2 · B2B · MATCHUP+,JUICE+ · MODEL OVR · CONF60+ · CONS2 · B2B · MATCHUP+,2.53
2026-03-17,Sebastian Aho,CAR,CBJ,POINTS,0.5,1.469,0.7699,0.23014035786096243,0.0,-188,140,pinnacle,Over,-188,0.17935945178746182,0.7698596421390376,0.7698596421390376,0.4957549581291045,JUICE+ · MODEL OVR · CONF60+ · CONS3+ · MATCHUP-,JUICE+ · MODEL OVR · CONF60+ · CONS3+ · MATCHUP-,1.469
2026-03-17,Rasmus Dahlin,BUF,VGK,POINTS,0.5,1.349,0.7404,0.25960350530522125,0.0,-154,120,draftkings,Over,-154,0.2211734393017779,0.7403964946947788,0.7403964946947788,0.4885801819269352,JUICE · MODEL OVR · CONF60+ · CONS2,JUICE · MODEL OVR · CONF60+ · CONS2,1.349
2026-03-17,Sam Rinzel,CHI,MIN,SOG,1.5,2.455,0.7034,0.2965941383392712,0.0,-175,130,betmgm,Over,-175,0.1053520683240024,0.7034058616607288,0.7034058616607288,0.48741420276987474,JUICE+ · MODEL OVR · CONF60+ · CONS4+ · MATCHUP+,JUICE+ · MODEL OVR · CONF60+ · CONS4+ · MATCHUP+,2.455
2026-03-17,Mattias Ekholm,EDM,SJS,SOG,1.5,2.557,0.7243,0.2757187867424513,0.0,105,-135,draftkings,Over,105,0.4847764871779747,0.7242812132575487,0.7242812132575487,0.4865730998031658,MODEL OVR · CONF60+ · CONS3+ · B2B,MODEL OVR · CONF60+ · CONS3+ · B2B,2.557
2026-03-17,Ryan O'Reilly,NSH,WPG,SOG,1.5,2.6,0.7326,0.2674066641659174,0.0,-160,120,betmgm,Over,-160,0.19046417073038424,0.7325933358340826,0.7325933358340826,0.4833901858144189,JUICE+ · MODEL OVR · CONF60+ · CONS4+ · B2B,JUICE+ · MODEL OVR · CONF60+ · CONS4+ · B2B,2.6
2026-03-17,Ryan Nugent-Hopkins,EDM,SJS,ASSISTS,0.5,0.231,0.2065,0.793466005891087,0.0,105,-135,draftkings,Under,-135,0.3812186028474477,0.793466005891087,0.793466005891087,0.48189217879189566,JUICE · MODEL UND · CONF60+ · CONS3+ · B2B · MATCHUP-,JUICE · MODEL UND · CONF60+ · CONS3+ · B2B · MATCHUP-,0.231
