team,player_id,period,player,game_home,game_away,date,shots,goals,assists,points,blocks,saves,toi_sec
Tampa Bay Lightning,8474151,0,Ryan McDonagh,Tampa Bay Lightning,Utah Mammoth,2026-01-26,0.0,0.0,0.1778,0.1778,0.0,0.0,0.0
Tampa Bay Lightning,8474151,1,Ryan McDonagh,Tampa Bay Lightning,Utah Mammoth,2026-01-26,0.0,0.0,0.055,0.055,0.0,0.0,0.0
Tampa Bay Lightning,8474151,2,Ryan McDonagh,Tampa Bay Lightning,Utah Mammoth,2026-01-26,0.0,0.0,0.0588,0.0588,0.0,0.0,0.0
Tampa Bay Lightning,8474151,3,Ryan McDonagh,Tampa Bay Lightning,Utah Mammoth,2026-01-26,0.0,0.0,0.064,0.064,0.0,0.0,0.0
Tampa Bay Lightning,8475167,0,Victor Hedman,Tampa Bay Lightning,Utah Mammoth,2026-01-26,0.0,0.0,0.1734,0.1734,0.0,0.0,0.0
Tampa Bay Lightning,8475167,1,Victor Hedman,Tampa Bay Lightning,Utah Mammoth,2026-01-26,0.0,0.0,0.057,0.057,0.0,0.0,0.0
Tampa Bay Lightning,8475167,2,Victor Hedman,Tampa Bay Lightning,Utah Mammoth,2026-01-26,0.0,0.0,0.055,0.055,0.0,0.0,0.0
Tampa Bay Lightning,8475167,3,Victor Hedman,Tampa Bay Lightning,Utah Mammoth,2026-01-26,0.0,0.0,0.0614,0.0614,0.0,0.0,0.0
Tampa Bay Lightning,8476453,0,Nikita Kucherov,Tampa Bay Lightning,Utah Mammoth,2026-01-26,0.0,0.0,0.17,0.17,0.0,0.0,0.0
Tampa Bay Lightning,8476453,1,Nikita Kucherov,Tampa Bay Lightning,Utah Mammoth,2026-01-26,0.0,0.0,0.0534,0.0534,0.0,0.0,0.0
Tampa Bay Lightning,8476453,2,Nikita Kucherov,Tampa Bay Lightning,Utah Mammoth,2026-01-26,0.0,0.0,0.0578,0.0578,0.0,0.0,0.0
Tampa Bay Lightning,8476453,3,Nikita Kucherov,Tampa Bay Lightning,Utah Mammoth,2026-01-26,0.0,0.0,0.0588,0.0588,0.0,0.0,0.0
Tampa Bay Lightning,8476826,0,Yanni Gourde,Tampa Bay Lightning,Utah Mammoth,2026-01-26,0.0,0.0,0.1744,0.1744,0.0,0.0,0.0
Tampa Bay Lightning,8476826,1,Yanni Gourde,Tampa Bay Lightning,Utah Mammoth,2026-01-26,0.0,0.0,0.0612,0.0612,0.0,0.0,0.0
Tampa Bay Lightning,8476826,2,Yanni Gourde,Tampa Bay Lightning,Utah Mammoth,2026-01-26,0.0,0.0,0.0572,0.0572,0.0,0.0,0.0
Tampa Bay Lightning,8476826,3,Yanni Gourde,Tampa Bay Lightning,Utah Mammoth,2026-01-26,0.0,0.0,0.056,0.056,0.0,0.0,0.0
