market,side,price,ev,prob,conf,home,away,totals_line
TOTAL,Under,-135.0,0.703895061728395,0.9788333333333333,0.47883333333333333,Nashville Predators,Detroit Red Wings,6.5
TOTAL,Under,-135.0,0.6751728395061729,0.9623333333333334,0.4623333333333334,New York Rangers,Columbus Blue Jackets,6.5
TOTAL,Over,-135.0,0.44626543209876535,0.8308333333333333,0.3308333333333333,Los Angeles Kings,Colorado Avalanche,5.5
ML,Colorado Avalanche,-170.0,0.2944117647058824,0.815,0.31499999999999995,Los Angeles Kings,Colorado Avalanche,5.5
ML,Dallas Stars,-180.0,0.15538888888888897,0.74275,0.24275000000000002,Vancouver Canucks,Dallas Stars,5.5
TOTAL,Over,-135.0,0.24230864197530866,0.7136666666666667,0.21366666666666667,Seattle Kraken,Carolina Hurricanes,5.5
ML,Nashville Predators,-110.0,0.2805227272727272,0.67075,0.17074999999999996,Nashville Predators,Detroit Red Wings,6.5
ML,Toronto Maple Leafs,-135.0,0.12654938271604937,0.6471666666666667,0.14716666666666667,Toronto Maple Leafs,Philadelphia Flyers,6.5
TOTAL,Under,-130.0,0.12228205128205116,0.6343333333333333,0.1343333333333333,Toronto Maple Leafs,Philadelphia Flyers,6.5
TOTAL,Over,-130.0,0.07156410256410256,0.6056666666666667,0.10566666666666669,Vancouver Canucks,Dallas Stars,5.5
ML,New York Rangers,114.0,0.15345999999999993,0.539,0.039000000000000035,New York Rangers,Columbus Blue Jackets,6.5
