date,player,team,market,line,proj,p_over,over_price,under_price,book,side,ev,proj_lambda,ev_over
2026-02-01,Darren Raddysh,TBL,SOG,2.5,1.676,0.221,100,-130,draftkings,Under,0.37814384726934613,1.676,0.37814384726934613
2026-02-01,Drew Doughty,LAK,POINTS,0.5,0.0,0.0008,195,-265,draftkings,Under,0.3762637876774787,0.0,0.3762637876774787
2026-02-01,Logan Stankoven,CAR,ASSISTS,0.5,0.443,0.3514,290,-420,draftkings,Over,0.37060519996680885,0.443,0.37060519996680885
2026-02-01,Jordan Staal,CAR,ASSISTS,0.5,0.443,0.3514,290,-420,draftkings,Over,0.37060519996680885,0.443,0.37060519996680885
2026-02-01,Hampus Lindholm,BOS,SOG,1.5,1.94,0.5776,137,-185,pinnacle,Over,0.36891001949634894,1.94,0.36891001949634894
2026-02-01,Drew Doughty,LAK,POINTS,0.5,0.0,0.0008,195,-275,betmgm,Under,0.3625525668786996,0.0,0.3625525668786996
2026-02-01,Jack Eichel,VGK,SOG,3.5,4.255,0.5871,132,-180,pinnacle,Over,0.36208166454165436,4.255,0.36208166454165436
2026-02-01,Jackson Blake,CAR,SOG,1.5,2.449,0.7021,-107,-123,pinnacle,Over,0.3582924782047934,2.449,0.3582924782047934
2026-02-01,Hampus Lindholm,BOS,SOG,1.5,1.94,0.5776,135,-185,betmgm,Over,0.35735803620945994,1.94,0.35735803620945994
2026-02-01,Hampus Lindholm,BOS,SOG,1.5,1.94,0.5776,135,-175,draftkings,Over,0.35735803620945994,1.94,0.35735803620945994
2026-02-01,Anthony Cirelli,TBL,ASSISTS,0.5,0.753,0.493,175,-235,betmgm,Over,0.3556889734437012,0.753,0.3556889734437012
2026-02-01,Viktor Arvidsson,BOS,SOG,2.5,3.716,0.6778,100,-130,fanduel,Over,0.35551669646501516,3.716,0.35551669646501516
2026-02-01,Alex Killorn,ANA,SOG,1.5,2.411,0.694,-105,-130,betmgm,Over,0.35495797801834905,2.411,0.35495797801834905
2026-02-01,Jack Eichel,VGK,SOG,3.5,4.255,0.5871,130,-175,betmgm,Over,0.3503395812266398,4.255,0.3503395812266398
2026-02-01,Drew Doughty,LAK,POINTS,0.5,0.0,0.0008,206,-290,pinnacle,Under,0.34375873837002774,0.0,0.34375873837002774
2026-02-01,Pavel Dorofeyev,VGK,SOG,2.5,3.771,0.6872,-105,-125,draftkings,Over,0.34161150096927995,3.771,0.34161150096927995
2026-02-01,Pavel Dorofeyev,VGK,GOALS,0.5,0.657,0.4471,200,-270,fanduel,Over,0.3414485734199678,0.657,0.3414485734199678
2026-02-01,Jackson Blake,CAR,SOG,1.5,2.449,0.7021,-110,-125,betmgm,Over,0.34039666162765514,2.449,0.34039666162765514
2026-02-01,Jackson Blake,CAR,SOG,1.5,2.449,0.7021,-110,-120,draftkings,Over,0.34039666162765514,2.449,0.34039666162765514
2026-02-01,Jack Eichel,VGK,SOG,3.5,4.255,0.5871,128,-168,fanduel,Over,0.33859749791162574,4.255,0.33859749791162574
2026-02-01,Darren Raddysh,TBL,SOG,2.5,1.676,0.221,100,-140,betmgm,Under,0.3353443489069442,1.676,0.3353443489069442
2026-02-01,Darren Raddysh,TBL,SOG,2.5,1.676,0.221,108,-140,fanduel,Under,0.3353443489069442,1.676,0.3353443489069442
2026-02-01,Tomas Hertl,VGK,GOALS,0.5,0.573,0.4043,230,-320,fanduel,Over,0.3342177355337558,0.573,0.3342177355337558
2026-02-01,Casey Mittelstadt,BOS,POINTS,0.5,0.931,0.5517,140,-182,draftkings,Over,0.3239635301808801,0.931,0.3239635301808801
2026-02-01,Pavel Dorofeyev,VGK,SOG,2.5,3.771,0.6872,-108,-123,pinnacle,Over,0.3234324833409701,3.771,0.3234324833409701
2026-02-01,Viktor Arvidsson,BOS,SOG,2.5,3.716,0.6778,-105,-125,draftkings,Over,0.3232424894063243,3.716,0.3232424894063243
2026-02-01,Viktor Arvidsson,BOS,SOG,2.5,3.716,0.6778,-105,-125,betmgm,Over,0.3232424894063243,3.716,0.3232424894063243
2026-02-01,Fraser Minten,BOS,ASSISTS,0.5,0.465,0.3632,264,-389,pinnacle,Over,0.3218785273423511,0.465,0.3218785273423511
2026-02-01,Fraser Minten,BOS,POINTS,0.5,0.965,0.5617,135,-175,draftkings,Over,0.31988464717030185,0.965,0.31988464717030185
2026-02-01,Casey Mittelstadt,BOS,POINTS,0.5,0.931,0.5517,139,-187,pinnacle,Over,0.3184470154717929,0.931,0.3184470154717929
