market,side,price,ev,home,away,totals_line
TOTAL,Under,-122.0,0.7587131147540984,Vancouver Canucks,Winnipeg Jets,6.5
ML,Vegas Golden Knights,142.0,0.5488,Los Angeles Kings,Vegas Golden Knights,5.5
ML,Toronto Maple Leafs,185.0,0.48698750000000013,Tampa Bay Lightning,Toronto Maple Leafs,6.5
TOTAL,Over,102.0,0.36451,Dallas Stars,Seattle Kraken,5.5
TOTAL,Under,-130.0,0.3357692307692307,New Jersey Devils,Buffalo Sabres,6.5
PL,Toronto Maple Leafs +1.5,-135.0,0.3342777777777777,Tampa Bay Lightning,Toronto Maple Leafs,6.5
PL,Vegas Golden Knights +1.5,-198.0,0.307888888888889,Los Angeles Kings,Vegas Golden Knights,5.5
ML,Vancouver Canucks,105.0,0.26741249999999983,Vancouver Canucks,Winnipeg Jets,6.5
ML,Buffalo Sabres,-108.0,0.1815555555555557,New Jersey Devils,Buffalo Sabres,6.5
PL,Buffalo Sabres +1.5,-270.0,0.16687037037037028,New Jersey Devils,Buffalo Sabres,6.5
ML,Edmonton Oilers,-130.0,0.11196153846153833,Anaheim Ducks,Edmonton Oilers,6.5
PL,Philadelphia Flyers +1.5,-198.0,0.09642929292929292,Washington Capitals,Philadelphia Flyers,6.5
ML,Dallas Stars,-170.0,0.07602941176470596,Dallas Stars,Seattle Kraken,5.5
ML,Utah Mammoth,105.0,0.06702499999999978,Utah Mammoth,Colorado Avalanche,6.5
ML,Philadelphia Flyers,130.0,0.023499999999999965,Washington Capitals,Philadelphia Flyers,6.5
PL,Dallas Stars -1.5,154.0,0.0210800000000001,Dallas Stars,Seattle Kraken,5.5
TOTAL,Under,124.0,0.011360000000000148,Anaheim Ducks,Edmonton Oilers,6.5
TOTAL,Under,-130.0,0.0004999999999999449,Tampa Bay Lightning,Toronto Maple Leafs,6.5
TOTAL,Under,-120.0,-0.020999999999999852,Los Angeles Kings,Vegas Golden Knights,5.5
TOTAL,Over,100.0,-0.068,Los Angeles Kings,Vegas Golden Knights,5.5
PL,Seattle Kraken +1.5,-185.0,-0.07875675675675675,Dallas Stars,Seattle Kraken,5.5
TOTAL,Over,-148.0,-0.08089189189189194,Anaheim Ducks,Edmonton Oilers,6.5
ML,Washington Capitals,-155.0,-0.08693548387096772,Washington Capitals,Philadelphia Flyers,6.5
TOTAL,Over,110.0,-0.08754999999999996,Tampa Bay Lightning,Toronto Maple Leafs,6.5
ML,Colorado Avalanche,-125.0,-0.13689999999999997,Utah Mammoth,Colorado Avalanche,6.5
ML,Seattle Kraken,142.0,-0.21955000000000002,Dallas Stars,Seattle Kraken,5.5
ML,Anaheim Ducks,110.0,-0.21985000000000005,Anaheim Ducks,Edmonton Oilers,6.5
ML,New Jersey Devils,-112.0,-0.2684107142857142,New Jersey Devils,Buffalo Sabres,6.5
PL,Washington Capitals -1.5,164.0,-0.28324,Washington Capitals,Philadelphia Flyers,6.5
ML,Tampa Bay Lightning,-225.0,-0.3091944444444444,Tampa Bay Lightning,Toronto Maple Leafs,6.5
ML,Winnipeg Jets,-125.0,-0.31284999999999996,Vancouver Canucks,Winnipeg Jets,6.5
TOTAL,Under,-122.0,-0.4095163934426229,Dallas Stars,Seattle Kraken,5.5
ML,Los Angeles Kings,-170.0,-0.42823529411764705,Los Angeles Kings,Vegas Golden Knights,5.5
TOTAL,Over,110.0,-0.4855,New Jersey Devils,Buffalo Sabres,6.5
PL,Tampa Bay Lightning -1.5,114.0,-0.50031,Tampa Bay Lightning,Toronto Maple Leafs,6.5
PL,New Jersey Devils -1.5,220.0,-0.5248,New Jersey Devils,Buffalo Sabres,6.5
PL,Los Angeles Kings -1.5,164.0,-0.6541600000000001,Los Angeles Kings,Vegas Golden Knights,5.5
TOTAL,Over,102.0,-0.93233,Vancouver Canucks,Winnipeg Jets,6.5
