team,player_id,player,market,value,count,n_sims,game_home,game_away,date,period
Winnipeg Jets,8476331,,ASSISTS,1.0,1696,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8476331,,POINTS,1.0,1906,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8476331,,BLOCKS,0.0,1768,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8476331,,SAVES,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8476914,,SOG,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8476914,,GOALS,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8476914,,ASSISTS,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8476914,,POINTS,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8476914,,BLOCKS,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8476914,,SAVES,37.4,263,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8477480,,SOG,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8477480,,GOALS,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8477480,,ASSISTS,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8477480,,POINTS,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8477480,,BLOCKS,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8477480,,SAVES,22.1,221,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8478401,,SOG,1.0,1929,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8478401,,GOALS,1.0,1586,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8478401,,ASSISTS,1.0,750,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8478401,,POINTS,2.0,514,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8478401,,BLOCKS,1.0,1581,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8478401,,SAVES,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8483489,,SOG,2.0,1654,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8483489,,GOALS,0.0,5666,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8483489,,ASSISTS,0.0,4309,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8483489,,POINTS,0.0,4074,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8483489,,BLOCKS,0.0,2432,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8483489,,SAVES,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8482117,,SOG,3.0,942,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8482117,,GOALS,1.0,1033,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8482117,,ASSISTS,1.0,1145,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
