player,position,team
Brent Burns,F,COL
Alex Ovechkin,F,WSH
Evgeni Malkin,F,PIT
Sidney Crosby,F,PIT
Kris Letang,F,PIT
Claude Giroux,F,OTT
Jordan Staal,F,CAR
Patrick Kane,F,DET
Erik Karlsson,F,PIT
Marcus Johansson,F,MIN
Nazem Kadri,F,COL
Mats Zuccarello,F,MIN
Brock Nelson,F,COL
Cam Fowler,F,STL
Vladimir Tarasenko,F,MIN
Taylor Hall,F,CAR
Bryan Rust,F,PIT
Josh Manson,F,COL
Vincent Trocheck,F,NYR
Gabriel Landeskog,F,COL
Mika Zibanejad,F,NYR
Dougie Hamilton,F,NJD
J.T. Miller,F,NYR
Rickard Rakell,F,PIT
Mike Matheson,F,MTL
Tom Wilson,F,WSH
Colton Parayko,F,STL
Shayne Gostisbehere,F,CAR
Connor Brown,F,NJD
Pavel Buchnevich,F,STL
Carter Verhaeghe,F,FLA
Andrew Copp,F,DET
Ryan Hartman,F,MIN
Artturi Lehkonen,F,COL
Nathan MacKinnon,F,COL
Seth Jones,F,FLA
Elias Lindholm,F,BOS
Rasmus Ristolainen,F,PHI
Valeri Nichushkin,F,COL
Anthony Mantha,F,PIT
Sam Bennett,F,FLA
Nikolaj Ehlers,F,CAR
Dylan Larkin,F,DET
Travis Sanheim,F,PHI
David Pastrnak,F,BOS
Christian Dvorak,F,PHI
Devon Toews,F,COL
Viktor Arvidsson,F,BOS
Gustav Forsling,F,FLA
Pavel Zacha,F,BOS
Timo Meier,F,NJD
A.J. Greer,F,FLA
Sebastian Aho,F,CAR
Tommy Novak,F,PIT
Travis Konecny,F,PHI
Dylan Strome,F,WSH
Anthony Beauvillier,F,WSH
Joel Eriksson Ek,F,MIN
Kirill Kaprizov,F,MIN
Vladislav Gavrikov,F,NYR
Matthew Tkachuk,F,FLA
Adam Fox,F,NYR
Charlie McAvoy,F,BOS
Alex DeBrincat,F,DET
Jakob Chychrun,F,WSH
Jordan Kyrou,F,STL
Pierre-Luc Dubois,F,WSH
Jesper Bratt,F,NJD
Ross Colton,F,COL
Morgan Geekie,F,BOS
Casey Mittelstadt,F,BOS
Nico Hischier,F,NJD
Owen Tippett,F,PHI
Nick Suzuki,F,MTL
Robert Thomas,F,STL
Martin Necas,F,COL
Eetu Luostarinen,F,FLA
Drake Batherson,F,OTT
Noah Cates,F,PHI
Sean Walker,F,CAR
Quinn Hughes,F,MIN
Brady Tkachuk,F,OTT
K'Andre Miller,F,CAR
Andrei Svechnikov,F,CAR
Noah Dobson,F,MTL
Rasmus Sandin,F,WSH
Dylan Cozens,F,OTT
Trevor Zegras,F,PHI
Cole Caufield,F,MTL
Moritz Seider,F,DET
Matt Boldy,F,MIN
Jack Hughes,F,NJD
Connor McMichael,F,WSH
Shane Pinto,F,OTT
Philip Broberg,F,STL
Jordan Spence,F,OTT
Alex Newhook,F,MTL
Aliaksei Protas,F,WSH
Dylan Holloway,F,STL
Lucas Raymond,F,DET
Justin Sourdif,F,WSH
Jake Neighbours,F,STL
Seth Jarvis,F,CAR
Jake Sanderson,F,OTT
Alexis Lafrenière,F,NYR
Dawson Mercer,F,NJD
Tim Stützle,F,OTT
Brock Faber,F,MIN
Jamie Drysdale,F,PHI
Will Cuylle,F,NYR
Tyson Foerster,F,PHI
Luke Hughes,F,NJD
Logan Stankoven,F,CAR
Mackie Samoskevich,F,FLA
Zack Bolduc,F,MTL
Oliver Kapanen,F,MTL
Jackson Blake,F,CAR
Lane Hutson,F,MTL
Fraser Minten,F,BOS
Simon Nemec,F,NJD
Juraj Slafkovsky,F,MTL
Jimmy Snuggerud,F,STL
Ryan Leonard,F,WSH
Gabe Perreault,F,NYR
Sam Malinski,F,COL
Matvei Michkov,F,PHI
Cole Hutson,F,WSH
Ivan Demidov,F,MTL
Porter Martone,F,PHI
Ben Kindel,F,PIT
