gamePk,date,home,away,shots_ev_home,shots_pp_home,shots_pk_home,shots_ev_away,shots_pp_away,shots_pk_away,goals_ev_home,goals_pp_home,goals_pk_home,goals_ev_away,goals_pp_away,goals_pk_away
2025020788,2026-01-21,Toronto Maple Leafs,Detroit Red Wings,21,2,2,21,1,9,5,1,0,2,0,0
2025020789,2026-01-21,Colorado Avalanche,Anaheim Ducks,22,2,1,19,4,3,2,1,0,0,0,0
2025020790,2026-01-21,Utah Mammoth,Philadelphia Flyers,29,0,3,24,1,0,6,0,0,1,0,0
2025020791,2026-01-21,Calgary Flames,Pittsburgh Penguins,18,5,5,26,12,1,0,0,1,1,4,0
2025020793,2026-01-21,Seattle Kraken,New York Islanders,23,1,3,20,8,2,5,0,0,1,0,0
2025020792,2026-01-21,Vancouver Canucks,Washington Capitals,24,2,3,20,4,3,1,1,2,4,0,0
