date,player,team,market,line,p_over,over_price,under_price,book,side,ev,chosen_prob
2026-02-03,Beckett Sennecke,ANA,POINTS,0.5,0.1919336840427228,-162,126.0,draftkings,Under,0.8262298740634462,0.8080663159572772
2026-02-03,Chris Kreider,ANA,SOG,1.5,0.07677035076108538,-188,142.0,fanduel,Under,1.2342157511581733,0.9232296492389146
2026-02-03,Cutter Gauthier,ANA,POINTS,0.5,0.13047068538398018,-141,106.0,pinnacle,Under,0.7912303881090008,0.8695293146160198
2026-02-03,Cutter Gauthier,ANA,SOG,3.5,0.003633360858794385,-106,-127.0,pinnacle,Under,0.7809072998823123,0.9963666391412056
2026-02-03,Mason McTavish,ANA,SOG,1.5,0.0779531324725012,-204,151.0,pinnacle,Under,1.3143376374940217,0.9220468675274988
2026-02-03,Mikael Granlund,ANA,POINTS,0.5,0.20086083213773315,-135,105.0,draftkings,Under,0.6382352941176468,0.7991391678622668
2026-02-03,Mikael Granlund,ANA,SOG,1.5,0.22748286306392476,-168,130.0,draftkings,Under,0.776789414952973,0.7725171369360753
2026-02-03,Troy Terry,ANA,POINTS,0.5,0.11892236569424518,-120,-110.0,draftkings,Under,0.6820573018564411,0.8810776343057548
2026-02-03,Troy Terry,ANA,SOG,1.5,0.07651841224294596,-191,142.0,pinnacle,Under,1.2348254423720708,0.923481587757054
2026-02-03,Jack Quinn,BUF,SOG,1.5,0.09924884129774653,-198,150.0,draftkings,Under,1.2518778967556334,0.9007511587022534
2026-02-03,Jason Zucker,BUF,SOG,1.5,0.16733258750199775,-154,118.0,fanduel,Under,0.8152149592456447,0.8326674124980022
2026-02-03,Josh Doan,BUF,SOG,1.5,0.1481420313790256,-148,115.0,draftkings,Under,0.8314946325350949,0.8518579686209744
2026-02-03,Tage Thompson,BUF,POINTS,0.5,0.25027968675083906,-220,160.0,betmgm,Under,0.9492728144478186,0.749720313249161
2026-02-03,Tage Thompson,BUF,SOG,2.5,0.1347291034041873,-185,137.0,pinnacle,Under,1.0506920249320761,0.8652708965958127
2026-02-03,Andrei Svechnikov,CAR,POINTS,0.5,0.2501650165016502,-182,140.0,draftkings,Under,0.7996039603960394,0.7498349834983498
2026-02-03,Logan Stankoven,CAR,SOG,1.5,0.11072223989818644,-120,-108.0,fanduel,Under,0.7126830935294188,0.8892777601018136
2026-02-03,Nikolaj Ehlers,CAR,POINTS,0.5,0.16099268215081133,-154,120.0,draftkings,Under,0.8458160992682152,0.8390073178491887
2026-02-03,Sean Walker,CAR,SOG,1.5,0.1307717678100264,-125,-102.0,fanduel,Under,0.7214127735526928,0.8692282321899736
2026-02-03,Sebastian Aho,CAR,POINTS,0.5,0.18485523385300667,-222,163.0,pinnacle,Under,1.1438307349665922,0.8151447661469933
2026-02-03,Sebastian Aho,CAR,SOG,1.5,0.23273942093541203,-205,154.0,fanduel,Under,0.9488418708240535,0.767260579064588
2026-02-03,Seth Jarvis,CAR,POINTS,0.5,0.21428571428571427,-218,160.0,pinnacle,Under,1.0428571428571427,0.7857142857142857
2026-02-03,Seth Jarvis,CAR,SOG,2.5,0.10197263760738148,-124,-107.0,pinnacle,Under,0.7373052711707667,0.8980273623926185
2026-02-03,Shayne Gostisbehere,CAR,SOG,1.5,0.1091314031180401,-160,115.0,betmgm,Under,0.9153674832962135,0.8908685968819599
2026-02-03,Taylor Hall,CAR,SOG,1.5,0.11658673722507028,-110,-120.0,betmgm,Under,0.6195909817540379,0.8834132627749297
2026-02-03,Adam Fantilli,CBJ,POINTS,0.5,0.146812213257396,-139,105.0,pinnacle,Under,0.7490349628223381,0.853187786742604
