team,player_id,period,player,game_home,game_away,date,shots,goals,assists,points,blocks,saves,toi_sec,is_dressed
Tampa Bay Lightning,8477404,1,Jake Guentzel,Tampa Bay Lightning,Montréal Canadiens,2026-04-29,1.2286666666666666,0.042166666666666665,0.214,0.25616666666666665,0.2543333333333333,0.0,520.6000000000333,1
Tampa Bay Lightning,8479542,1,Brandon Hagel,Tampa Bay Lightning,Montréal Canadiens,2026-04-29,1.2469999999999999,0.24716666666666665,0.11233333333333333,0.3595,0.3378333333333333,0.0,520.6000000000333,1
Tampa Bay Lightning,8476453,1,Nikita Kucherov,Tampa Bay Lightning,Montréal Canadiens,2026-04-29,1.2703333333333333,0.12066666666666666,0.1745,0.29516666666666663,0.3665,0.0,520.6000000000333,1
Tampa Bay Lightning,8478178,1,Darren Raddysh,Tampa Bay Lightning,Montréal Canadiens,2026-04-29,1.2289999999999999,0.08283333333333333,0.179,0.2618333333333333,0.4975,0.0,557.6148148148395,1
Tampa Bay Lightning,8482655,1,J.J. Moser,Tampa Bay Lightning,Montréal Canadiens,2026-04-29,0.8168333333333333,0.03083333333333333,0.14766666666666667,0.1785,0.6988333333333333,0.0,557.6148148148395,1
Montréal Canadiens,8480018,1,Nick Suzuki,Tampa Bay Lightning,Montréal Canadiens,2026-04-29,0.9339999999999999,0.063,0.13733333333333334,0.20033333333333334,0.447,0.0,493.43703703707104,1
Montréal Canadiens,8483515,1,Juraj Slafkovský,Tampa Bay Lightning,Montréal Canadiens,2026-04-29,1.3041666666666667,0.14366666666666666,0.11233333333333333,0.256,0.24766666666666665,0.0,493.43703703707104,1
Montréal Canadiens,8481540,1,Cole Caufield,Tampa Bay Lightning,Montréal Canadiens,2026-04-29,1.2978333333333334,0.10416666666666666,0.13166666666666665,0.2358333333333333,0.13616666666666666,0.0,493.43703703707104,1
Montréal Canadiens,8483457,1,Lane Hutson,Tampa Bay Lightning,Montréal Canadiens,2026-04-29,0.9866666666666666,0.04616666666666667,0.14049999999999999,0.18666666666666665,0.7081666666666666,0.0,577.4592592592743,1
Montréal Canadiens,8476875,1,Mike Matheson,Tampa Bay Lightning,Montréal Canadiens,2026-04-29,0.9536666666666667,0.0395,0.13,0.1695,0.6679999999999999,0.0,516.0814814815172,1
Tampa Bay Lightning,8477992,1,Jonas Johansson,Tampa Bay Lightning,Montréal Canadiens,2026-04-29,0.0,0.0,0.0,0.0,0.0,9.891308333333349,1199.9999999999998,1
Montréal Canadiens,8482487,1,Jakub Dobes,Tampa Bay Lightning,Montréal Canadiens,2026-04-29,0.0,0.0,0.0,0.0,0.0,10.149141666666678,1199.9999999999998,1
Tampa Bay Lightning,8478010,1,Brayden Point,Tampa Bay Lightning,Montréal Canadiens,2026-04-29,0.8604999999999999,0.05233333333333333,0.11116666666666666,0.16349999999999998,0.15733333333333333,0.0,285.0444444444438,1
Tampa Bay Lightning,8478519,1,Anthony Cirelli,Tampa Bay Lightning,Montréal Canadiens,2026-04-29,0.6608333333333333,0.1275,0.06266666666666666,0.19016666666666665,0.259,0.0,285.0444444444438,1
Tampa Bay Lightning,8476826,1,Yanni Gourde,Tampa Bay Lightning,Montréal Canadiens,2026-04-29,0.6455,0.034833333333333334,0.11016666666666666,0.145,0.23199999999999998,0.0,285.0444444444438,1
Tampa Bay Lightning,8478416,1,Erik Cernak,Tampa Bay Lightning,Montréal Canadiens,2026-04-29,0.4923333333333333,0.033166666666666664,0.08733333333333333,0.1205,0.37266666666666665,0.0,307.6296296296168,1
Tampa Bay Lightning,8475167,1,Victor Hedman,Tampa Bay Lightning,Montréal Canadiens,2026-04-29,0.5666666666666667,0.041,0.09266666666666666,0.13366666666666666,0.30733333333333335,0.0,307.6296296296168,1
Montréal Canadiens,8478133,1,Jake Evans,Tampa Bay Lightning,Montréal Canadiens,2026-04-29,0.6163333333333333,0.0295,0.07216666666666667,0.10166666666666667,0.22483333333333333,0.0,236.4814814814883,1
Montréal Canadiens,8476479,1,Phillip Danault,Tampa Bay Lightning,Montréal Canadiens,2026-04-29,0.5185,0.022333333333333334,0.07066666666666667,0.093,0.1445,0.0,236.4814814814883,1
Montréal Canadiens,8476981,1,Josh Anderson,Tampa Bay Lightning,Montréal Canadiens,2026-04-29,0.5073333333333333,0.08216666666666667,0.03883333333333333,0.121,0.16899999999999998,0.0,236.4814814814883,1
