gamePk,date,home,away,home_goals_sim,away_goals_sim
2025020767,2026-01-18,Dallas Stars,Tampa Bay Lightning,2,2
2025020768,2026-01-18,Detroit Red Wings,Ottawa Senators,5,3
2025020769,2026-01-18,Edmonton Oilers,St. Louis Blues,9,3
