date,player,team,opp,market,line,proj_lambda,lam_scale_mean,p_over,side,chosen_prob
2026-01-12,Ryan Nugent-Hopkins,EDM,CHI,BLOCKS,3.5,0.3328,0.9937,0.00313,Under,0.99687
2026-01-12,Ryan McLeod,BUF,FLA,BLOCKS,1.5,0.0621,1.0065,0.003219,Under,0.996781
2026-01-12,Nikita Kucherov,TBL,PHI,BLOCKS,3.5,0.3311,1.0004,0.003316,Under,0.996684
2026-01-12,Brayden Point,TBL,PHI,BLOCKS,3.5,0.3311,1.0004,0.003316,Under,0.996684
2026-01-12,Patrick Kane,DET,CAR,BLOCKS,2.5,0.1899,1.0024,0.003466,Under,0.996534
2026-01-12,Evander Kane,VAN,MTL,BLOCKS,2.5,0.1899,1.0037,0.003572,Under,0.996428
2026-01-12,William Nylander,TOR,COL,BLOCKS,3.5,0.3493,1.0018,0.003647,Under,0.996353
2026-01-12,Adrian Kempe,LAK,DAL,BLOCKS,3.5,0.3503,0.9974,0.003649,Under,0.996351
2026-01-12,Sebastian Aho,CAR,DET,BLOCKS,3.5,0.3523,0.9983,0.003656,Under,0.996344
2026-01-12,Kaapo Kakko,SEA,NYR,BLOCKS,2.5,0.2011,1.0023,0.004048,Under,0.995952
2026-01-12,Matias Maccelli,TOR,COL,BLOCKS,3.5,0.3624,1.0018,0.004076,Under,0.995924
2026-01-12,Arseny Gritsyuk,NJD,MIN,BLOCKS,3.5,0.3587,1.0052,0.004123,Under,0.995877
2026-01-12,Kirill Kaprizov,MIN,NJD,BLOCKS,3.5,0.3636,0.9972,0.004195,Under,0.995805
2026-01-12,Ryan Donato,CHI,EDM,BLOCKS,2.5,0.2062,1.0015,0.004403,Under,0.995597
2026-01-12,Cole Caufield,MTL,VAN,BLOCKS,2.5,0.2111,1.0004,0.00464,Under,0.99536
2026-01-12,Vladimir Tarasenko,MIN,NJD,BLOCKS,3.5,0.379,0.9972,0.00475,Under,0.99525
2026-01-12,Matty Beniers,SEA,NYR,BLOCKS,3.5,0.3851,1.0023,0.004899,Under,0.995101
2026-01-12,Jack Roslovic,EDM,CHI,BLOCKS,2.5,0.2178,0.9937,0.004961,Under,0.995039
2026-01-12,Corey Perry,LAK,DAL,BLOCKS,2.5,0.2191,0.9974,0.004985,Under,0.995015
2026-01-12,K'Andre Miller,CAR,DET,BLOCKS,3.5,0.4082,0.9983,0.005692,Under,0.994308
2026-01-12,J.T. Miller,NYR,SEA,BLOCKS,3.5,0.4082,0.997,0.005739,Under,0.994261
2026-01-12,John Tavares,TOR,COL,BLOCKS,2.5,0.2314,1.0018,0.005744,Under,0.994256
2026-01-12,Victor Olofsson,COL,TOR,BLOCKS,3.5,0.4102,0.9943,0.005766,Under,0.994234
2026-01-12,Jackson Blake,CAR,DET,BLOCKS,3.5,0.4114,0.9983,0.005823,Under,0.994177
2026-01-12,Seth Jarvis,CAR,DET,BLOCKS,3.5,0.4114,0.9983,0.005823,Under,0.994177
2026-01-12,Josh Norris,BUF,FLA,BLOCKS,3.5,0.4109,1.0065,0.006038,Under,0.993962
2026-01-12,Martin Necas,COL,TOR,BLOCKS,3.5,0.4174,0.9943,0.006067,Under,0.993933
2026-01-12,Andrei Svechnikov,CAR,DET,BLOCKS,2.5,0.2385,0.9983,0.0061,Under,0.9939
2026-01-12,Logan Stankoven,CAR,DET,BLOCKS,2.5,0.2385,0.9983,0.0061,Under,0.9939
2026-01-12,Alexandre Texier,MTL,VAN,BLOCKS,1.5,0.0877,1.0004,0.006116,Under,0.993884
2026-01-12,Brandon Hagel,TBL,PHI,BLOCKS,2.5,0.2332,1.0004,0.006139,Under,0.993861
2026-01-12,Artemi Panarin,NYR,SEA,BLOCKS,1.5,0.0903,0.997,0.006328,Under,0.993672
2026-01-12,Andre Burakovsky,CHI,EDM,BLOCKS,3.5,0.4227,1.0015,0.006601,Under,0.993399
2026-01-12,Andrei Kuzmenko,LAK,DAL,BLOCKS,3.5,0.4286,0.9974,0.00664,Under,0.99336
2026-01-12,Tage Thompson,BUF,FLA,BLOCKS,3.5,0.4302,1.0065,0.006909,Under,0.993091
2026-01-12,Jesper Bratt,NJD,MIN,BLOCKS,3.5,0.4317,1.0052,0.007129,Under,0.992871
2026-01-12,Josh Doan,BUF,FLA,BLOCKS,3.5,0.4349,1.0065,0.007132,Under,0.992868
