gamePk,date,home,away,home_goals_sim,away_goals_sim
2025020740,2026-01-15,Buffalo Sabres,Montréal Canadiens,9,1
2025020741,2026-01-15,Pittsburgh Penguins,Philadelphia Flyers,6,4
2025020742,2026-01-15,Washington Capitals,San Jose Sharks,4,3
2025020743,2026-01-15,Columbus Blue Jackets,Vancouver Canucks,5,3
2025020739,2026-01-15,Boston Bruins,Seattle Kraken,0,2
2025020744,2026-01-15,Minnesota Wild,Winnipeg Jets,1,3
2025020745,2026-01-15,Chicago Blackhawks,Calgary Flames,5,8
2025020746,2026-01-15,Utah Mammoth,Dallas Stars,5,5
2025020747,2026-01-15,Edmonton Oilers,New York Islanders,1,3
2025020748,2026-01-15,Vegas Golden Knights,Toronto Maple Leafs,5,5
