market,side,price,ev,prob,conf,home,away,totals_line
PL,Minnesota Wild +1.5,-225.0,0.4182037037037037,0.9818333333333333,0.48183333333333334,Utah Mammoth,Minnesota Wild,5.5
TOTAL,Under,-130.0,0.7011153846153846,0.9615,0.4615,Anaheim Ducks,Winnipeg Jets,6.5
ML,Minnesota Wild,114.0,0.9440116666666662,0.9084166666666667,0.40841666666666665,Utah Mammoth,Minnesota Wild,5.5
PL,Vegas Golden Knights +1.5,-250.0,0.18136666666666656,0.8438333333333333,0.3438333333333333,Washington Capitals,Vegas Golden Knights,5.5
TOTAL,Under,105.0,0.6857833333333332,0.8223333333333334,0.32233333333333336,Washington Capitals,Vegas Golden Knights,5.5
TOTAL,Under,-120.0,0.377138888888889,0.7511666666666666,0.25116666666666665,Florida Panthers,Buffalo Sabres,6.5
PL,Buffalo Sabres +1.5,-230.0,0.04523913043478245,0.7284999999999999,0.22849999999999993,Florida Panthers,Buffalo Sabres,6.5
PL,Winnipeg Jets +1.5,-230.0,0.04021739130434776,0.725,0.22499999999999998,Anaheim Ducks,Winnipeg Jets,6.5
ML,Anaheim Ducks,-130.0,0.12714743589743588,0.6370833333333333,0.13708333333333333,Anaheim Ducks,Winnipeg Jets,6.5
ML,Florida Panthers,-125.0,0.016249999999999987,0.5645833333333333,0.06458333333333333,Florida Panthers,Buffalo Sabres,6.5
ML,Vegas Golden Knights,-105.0,0.06795238095238099,0.547,0.04700000000000004,Washington Capitals,Vegas Golden Knights,5.5
TOTAL,Under,110.0,0.14275000000000004,0.5441666666666667,0.04416666666666669,Utah Mammoth,Minnesota Wild,5.5
