team,player_id,period,player,game_home,game_away,date,shots,goals,assists,points,blocks,saves,toi_sec,is_dressed
Buffalo Sabres,8479420,1,Tage Thompson,Buffalo Sabres,Detroit Red Wings,2026-03-27,1.198,0.13483333333333333,0.19833333333333333,0.33316666666666667,0.32466666666666666,0.0,445.2222222222435,1
Buffalo Sabres,8477949,1,Alex Tuch,Buffalo Sabres,Detroit Red Wings,2026-03-27,1.264,0.2245,0.1515,0.376,0.5733333333333334,0.0,445.2222222222435,1
Buffalo Sabres,8480802,1,Ryan McLeod,Buffalo Sabres,Detroit Red Wings,2026-03-27,0.8061666666666666,0.0305,0.19366666666666665,0.22416666666666665,0.27199999999999996,0.0,445.2222222222435,1
Buffalo Sabres,8480839,1,Rasmus Dahlin,Buffalo Sabres,Detroit Red Wings,2026-03-27,0.9135,0.06716666666666667,0.18883333333333333,0.256,0.33499999999999996,0.0,538.4000000000336,1
Buffalo Sabres,8482671,1,Owen Power,Buffalo Sabres,Detroit Red Wings,2026-03-27,0.9476666666666667,0.11816666666666666,0.1815,0.29966666666666664,0.6983333333333334,0.0,538.4000000000336,1
Detroit Red Wings,8477946,1,Dylan Larkin,Buffalo Sabres,Detroit Red Wings,2026-03-27,1.2896666666666665,0.133,0.09666666666666666,0.22966666666666669,0.16883333333333334,0.0,454.6370370370614,1
Detroit Red Wings,8482078,1,Lucas Raymond,Buffalo Sabres,Detroit Red Wings,2026-03-27,0.7855,0.034999999999999996,0.119,0.154,0.14433333333333334,0.0,454.6370370370614,1
Detroit Red Wings,8479337,1,Alex DeBrincat,Buffalo Sabres,Detroit Red Wings,2026-03-27,1.2258333333333333,0.09066666666666666,0.12333333333333332,0.21399999999999997,0.49966666666666665,0.0,454.6370370370614,1
Detroit Red Wings,8481542,1,Moritz Seider,Buffalo Sabres,Detroit Red Wings,2026-03-27,1.3501666666666665,0.057166666666666664,0.14516666666666667,0.20233333333333334,0.6633333333333333,0.0,566.2814814815047,1
Detroit Red Wings,8482762,1,Simon Edvinsson,Buffalo Sabres,Detroit Red Wings,2026-03-27,0.9401666666666666,0.0555,0.111,0.1665,0.7133333333333333,0.0,509.4222222222607,1
Buffalo Sabres,8481551,1,Colten Ellis,Buffalo Sabres,Detroit Red Wings,2026-03-27,0.0,0.0,0.0,0.0,0.0,10.582216666666657,1199.9999999999998,1
Detroit Red Wings,8476434,1,John Gibson,Buffalo Sabres,Detroit Red Wings,2026-03-27,0.0,0.0,0.0,0.0,0.0,9.981125,1199.9999999999998,1
Buffalo Sabres,8480064,1,Josh Norris,Buffalo Sabres,Detroit Red Wings,2026-03-27,0.6496666666666666,0.036166666666666666,0.12283333333333334,0.159,0.24,0.0,269.0666666666722,1
Buffalo Sabres,8482659,1,Josh Doan,Buffalo Sabres,Detroit Red Wings,2026-03-27,0.7516666666666666,0.17466666666666666,0.06866666666666667,0.24333333333333335,0.1585,0.0,269.0666666666722,1
Buffalo Sabres,8483500,1,Noah Ostlund,Buffalo Sabres,Detroit Red Wings,2026-03-27,0.5701666666666666,0.028166666666666666,0.12316666666666666,0.15133333333333332,0.14883333333333332,0.0,269.0666666666722,1
Buffalo Sabres,8479378,1,Logan Stanley,Buffalo Sabres,Detroit Red Wings,2026-03-27,0.6298333333333334,0.0295,0.11916666666666666,0.14866666666666667,0.23933333333333331,0.0,270.6592592592619,1
Buffalo Sabres,8479982,1,Conor Timmins,Buffalo Sabres,Detroit Red Wings,2026-03-27,0.5001666666666666,0.02,0.10416666666666666,0.12416666666666666,0.4493333333333333,0.0,270.6592592592619,1
Detroit Red Wings,8484471,1,Emmitt Finnie,Buffalo Sabres,Detroit Red Wings,2026-03-27,0.624,0.04766666666666666,0.05566666666666666,0.10333333333333333,0.241,0.0,248.25185185185896,1
Detroit Red Wings,8483464,1,Marco Kasper,Buffalo Sabres,Detroit Red Wings,2026-03-27,0.622,0.0275,0.06999999999999999,0.09749999999999999,0.23716666666666666,0.0,248.25185185185896,1
Detroit Red Wings,8474102,1,David Perron,Buffalo Sabres,Detroit Red Wings,2026-03-27,0.5371666666666667,0.0535,0.048666666666666664,0.10216666666666666,0.06266666666666666,0.0,248.25185185185896,1
Detroit Red Wings,8481607,1,Albert Johansson,Buffalo Sabres,Detroit Red Wings,2026-03-27,0.5523333333333333,0.03866666666666667,0.050666666666666665,0.08933333333333333,0.1325,0.0,259.56296296296904,1
Buffalo Sabres,8479941,1,Justin Danforth,Buffalo Sabres,Detroit Red Wings,2026-03-27,0.6073333333333333,0.042666666666666665,0.109,0.15166666666666667,0.17116666666666666,0.0,248.44444444445259,1
