date,home,away,market,ev,date_key,total_line_used,model_total,model_spread,period1_home_proj,period1_away_proj,p_home_ml,p_away_ml,p_over,p_under,p_home_pl_-1.5,p_away_pl_+1.5,home_ml_odds,away_ml_odds,home_ml_book,away_ml_book,over_odds,under_odds,over_book,under_book,p_f10_yes,p_f10_no,home_gd10,away_gd10,form_delta,rest_delta,b2b_delta,total_bias,market_group,bet,prob,price,book,totals_line,side,edge_score,edge_reasons,edge_drivers
2026-04-10T01:00:00Z,Colorado Avalanche,Calgary Flames,ev_home_ml,-0.084,2026-04-10,6.0,6.19,1.08,1.3,0.79,0.7054321103722251,0.2945678896277749,0.5195589066155863,0.4804410933844136,0.5163,0.4837,-335.0,260.0,betrivers,betrivers,,,betrivers,betrivers,0.6832048726500637,0.3167951273499363,,,,,,0.1900000000000004,moneyline,home_ml,0.7054321103722251,-335.0,betrivers,,Colorado Avalanche,0.6014212889831663,p=0.705; spread +1.08,MODEL HOME · SPREAD+
2026-04-09T23:00:00Z,Ottawa Senators,Florida Panthers,ev_home_ml,-0.0502,2026-04-09,6.0,6.04,0.96,1.01,0.84,0.6784330552479821,0.3215669447520178,0.3032426360501679,0.6967573639498321,0.3205,0.6795,-250.0,200.0,betrivers,betrivers,,,betrivers,betrivers,0.6385024446776645,0.3614975553223355,,,,,,0.040000000000000036,moneyline,home_ml,0.6784330552479821,-250.0,betrivers,,Ottawa Senators,0.560908837924442,p=0.678; spread +0.96,MODEL HOME · SPREAD+
2026-04-10T02:30:00Z,Los Angeles Kings,Vancouver Canucks,ev_home_ml,-0.0689,2026-04-10,6.0,6.22,0.61,1.04,0.99,0.6650987380777852,0.3349012619222148,0.4473204420617139,0.5526795579382862,0.35585,0.64415,-250.0,205.0,betrivers,betrivers,,,betrivers,betrivers,0.6725762252984553,0.3274237747015447,,,,,,0.21999999999999975,moneyline,home_ml,0.6650987380777852,-250.0,betrivers,,Los Angeles Kings,0.5148117922532258,p=0.665; spread +0.61,MODEL HOME · SPREAD+
2026-04-10T01:00:00Z,Utah Mammoth,Nashville Predators,ev_home_ml,-0.025,2026-04-10,6.0,5.93,0.77,0.86,0.89,0.6204373687462841,0.3795626312537159,0.2386889328831819,0.7613110671168181,0.2232,0.7767999999999999,-175.0,140.0,betrivers,betrivers,,,betrivers,betrivers,0.6180631506960512,0.3819368493039488,,,,,,-0.07000000000000028,moneyline,home_ml,0.6204373687462841,-175.0,betrivers,,Utah Mammoth,0.4724164754125486,p=0.620; spread +0.77,MODEL HOME · SPREAD+
2026-04-10T00:30:00Z,Chicago Blackhawks,Carolina Hurricanes,ev_home_ml,-0.106,2026-04-10,6.0,6.28,0.13,0.8,0.9,0.3082847110103474,0.6917152889896525,0.2661005184044962,0.7338994815955038,0.17885,0.82115,190.0,-240.0,betrivers,betrivers,,,betrivers,betrivers,0.6074141344684817,0.3925858655315183,,,,,,0.28000000000000025,moneyline,home_ml,0.3082847110103474,190.0,betrivers,,Chicago Blackhawks,0.45742519996257447,p=0.308; spread +0.13,MODEL HOME · SPREAD+
2026-04-10T01:00:00Z,Dallas Stars,Minnesota Wild,ev_home_ml,-0.0038,2026-04-10,6.0,5.88,0.79,0.89,0.87,0.5740666873325503,0.4259333126674497,0.2906927617701216,0.7093072382298784,0.30465,0.69535,-136.0,112.0,betrivers,betrivers,,,betrivers,betrivers,0.6201580371486213,0.3798419628513787,,,,,,-0.1200000000000001,moneyline,home_ml,0.5740666873325503,-136.0,betrivers,,Dallas Stars,0.41316818064343686,p=0.574; spread +0.79,MODEL HOME · SPREAD+
2026-04-09T23:00:00Z,Buffalo Sabres,Columbus Blue Jackets,ev_home_ml,-0.0065,2026-04-09,6.0,6.28,0.69,1.02,1.05,0.5689090929194485,0.4310909070805515,0.5236186709109475,0.4763813290890525,0.27455,0.7254499999999999,-134.0,110.0,betrivers,betrivers,,,betrivers,betrivers,0.6797008896746065,0.3202991103253935,,,,,,0.28000000000000025,moneyline,home_ml,0.5689090929194485,-134.0,betrivers,,Buffalo Sabres,0.39745524122187514,p=0.569; spread +0.69,MODEL HOME · SPREAD+
2026-04-09T23:00:00Z,Detroit Red Wings,Philadelphia Flyers,ev_home_ml,-0.0498,2026-04-09,6.0,6.48,0.62,1.01,0.9,0.5701493340735946,0.4298506659264054,0.4133159325287047,0.5866840674712953,0.35075,0.64925,-150.0,123.0,betrivers,betrivers,,,betrivers,betrivers,0.6502371760284711,0.3497628239715289,,,,,,0.4800000000000004,moneyline,home_ml,0.5701493340735946,-150.0,betrivers,,Detroit Red Wings,0.39139463704979954,p=0.570; spread +0.62,MODEL HOME · SPREAD+
2026-04-10T00:30:00Z,Chicago Blackhawks,Carolina Hurricanes,ev_away_ml,-0.0201,2026-04-10,6.0,6.28,0.13,0.8,0.9,0.3082847110103474,0.6917152889896525,0.2661005184044962,0.7338994815955038,0.17885,0.82115,190.0,-240.0,betrivers,betrivers,,,betrivers,betrivers,0.6074141344684817,0.3925858655315183,,,,,,0.28000000000000025,moneyline,away_ml,0.6917152889896525,-240.0,betrivers,,Carolina Hurricanes,0.38957743363526354,p=0.692; spread +0.13,MODEL AWAY · SPREAD-
2026-04-10T02:30:00Z,Los Angeles Kings,Vancouver Canucks,ev_over,0.014,2026-04-10,6.0,6.22,0.61,1.04,0.99,0.6650987380777852,0.3349012619222148,0.4473204420617139,0.5526795579382862,0.35585,0.64415,-250.0,205.0,betrivers,betrivers,,,betrivers,betrivers,0.6725762252984553,0.3274237747015447,,,,,,0.21999999999999975,totals,over,0.4473204420617139,,betrivers,6.0,Over 6.0,0.38313065498968474,total 6.22 vs line 6.0 (+0.22); p=0.447; P1 pace 2.03,MODEL OVR · LINE+
