gamePk,date,home,away,home_goals_sim,away_goals_sim
2025020934,2026-02-28,New York Rangers,Pittsburgh Penguins,0,6
2025020935,2026-02-28,Philadelphia Flyers,Boston Bruins,1,4
2025020936,2026-02-28,San Jose Sharks,Edmonton Oilers,2,1
2025020943,2026-02-28,St. Louis Blues,New Jersey Devils,2,5
2025020937,2026-02-28,Columbus Blue Jackets,New York Islanders,1,2
2025020938,2026-02-28,Colorado Avalanche,Chicago Blackhawks,2,3
2025020939,2026-02-28,Toronto Maple Leafs,Ottawa Senators,5,3
2025020940,2026-02-28,Montréal Canadiens,Washington Capitals,5,3
2025020941,2026-02-28,Tampa Bay Lightning,Buffalo Sabres,3,2
2025020942,2026-02-28,Carolina Hurricanes,Detroit Red Wings,7,6
2025020944,2026-02-28,Los Angeles Kings,Calgary Flames,4,1
2025020945,2026-02-28,Dallas Stars,Nashville Predators,3,6
2025020946,2026-02-28,Seattle Kraken,Vancouver Canucks,2,4
