gamePk,date,home,away,home_goals_sim,away_goals_sim
2025020607,2025-12-29,Florida Panthers,Washington Capitals,3,4
2025020608,2025-12-29,Carolina Hurricanes,New York Rangers,2,3
2025020606,2025-12-29,Ottawa Senators,Columbus Blue Jackets,4,3
2025020609,2025-12-29,Winnipeg Jets,Edmonton Oilers,3,7
2025020610,2025-12-29,St. Louis Blues,Buffalo Sabres,4,3
2025020611,2025-12-29,Colorado Avalanche,Los Angeles Kings,3,5
2025020612,2025-12-29,Utah Mammoth,Nashville Predators,4,4
2025020613,2025-12-29,Calgary Flames,Boston Bruins,2,2
2025020614,2025-12-29,Vegas Golden Knights,Minnesota Wild,0,1
2025020615,2025-12-29,Anaheim Ducks,San Jose Sharks,5,3
2025020616,2025-12-29,Seattle Kraken,Vancouver Canucks,5,4
