gamePk,date,home,away,home_goals_sim,away_goals_sim
2025020770,2026-01-19,Carolina Hurricanes,Buffalo Sabres,4,2
2025020771,2026-01-19,Colorado Avalanche,Washington Capitals,3,2
2025020772,2026-01-19,Seattle Kraken,Pittsburgh Penguins,2,3
2025020773,2026-01-19,Florida Panthers,San Jose Sharks,1,7
2025020774,2026-01-19,Toronto Maple Leafs,Minnesota Wild,3,6
2025020775,2026-01-19,Vegas Golden Knights,Philadelphia Flyers,5,1
2025020776,2026-01-19,Chicago Blackhawks,Winnipeg Jets,2,1
2025020777,2026-01-19,Calgary Flames,New Jersey Devils,2,4
2025020778,2026-01-19,Vancouver Canucks,New York Islanders,1,2
2025020779,2026-01-19,Anaheim Ducks,New York Rangers,2,5
