date,home,away,market,ev
2025-10-04T23:00:00Z,Chicago Blackhawks,St. Louis Blues,ev_away_pl_+1.5,0.6142
2025-10-04T20:00:00Z,Nashville Predators,Carolina Hurricanes,ev_away_pl_+1.5,0.5884
2025-10-04T20:00:00Z,Los Angeles Kings,Anaheim Ducks,ev_away_ml,0.5866
2025-10-04T18:00:00Z,Boston Bruins,New York Rangers,ev_home_ml,0.5263
2025-10-04T16:30:00Z,Philadelphia Flyers,New Jersey Devils,ev_away_ml,0.4667
2025-10-04T23:00:00Z,Detroit Red Wings,Toronto Maple Leafs,ev_home_pl_-1.5,0.4094
2025-10-05T00:00:00Z,Utah Mammoth,San Jose Sharks,ev_away_ml,0.3481
2025-10-04T20:00:00Z,Los Angeles Kings,Anaheim Ducks,ev_away_pl_+1.5,0.3314
2025-10-04T22:00:00Z,Dallas Stars,Colorado Avalanche,ev_away_ml,0.3152
2025-10-04T23:00:00Z,Detroit Red Wings,Toronto Maple Leafs,ev_home_ml,0.2677
2025-10-04T22:00:00Z,Dallas Stars,Colorado Avalanche,ev_away_pl_+1.5,0.2586
2025-10-05T00:00:00Z,Utah Mammoth,San Jose Sharks,ev_away_pl_+1.5,0.2451
2025-10-04T16:30:00Z,Philadelphia Flyers,New Jersey Devils,ev_over,0.233
2025-10-04T18:00:00Z,Boston Bruins,New York Rangers,ev_over,0.1824
2025-10-04T23:00:00Z,Montréal Canadiens,Ottawa Senators,ev_home_ml,0.1645
2025-10-04T23:00:00Z,Montréal Canadiens,Ottawa Senators,ev_home_pl_-1.5,0.1641
2025-10-04T16:30:00Z,Philadelphia Flyers,New Jersey Devils,ev_away_pl_+1.5,0.1456
2025-10-05T00:00:00Z,Utah Mammoth,San Jose Sharks,ev_under,0.1415
2025-10-04T18:00:00Z,Boston Bruins,New York Rangers,ev_home_pl_-1.5,0.0965
2025-10-04T20:00:00Z,Nashville Predators,Carolina Hurricanes,ev_over,0.0899
2025-10-04T23:00:00Z,Florida Panthers,Tampa Bay Lightning,ev_over,0.0787
2025-10-04T23:00:00Z,Washington Capitals,Columbus Blue Jackets,ev_over,0.0779
2025-10-04T23:00:00Z,Florida Panthers,Tampa Bay Lightning,ev_home_pl_-1.5,0.0612
2025-10-04T23:00:00Z,Florida Panthers,Tampa Bay Lightning,ev_home_ml,0.0544
2025-10-04T20:00:00Z,Los Angeles Kings,Anaheim Ducks,ev_under,0.0366
2025-10-04T23:00:00Z,Chicago Blackhawks,St. Louis Blues,ev_over,0.0344
2025-10-04T23:00:00Z,Detroit Red Wings,Toronto Maple Leafs,ev_under,0.0171
2025-10-04T22:00:00Z,Dallas Stars,Colorado Avalanche,ev_under,-0.004
2025-10-04T20:00:00Z,Nashville Predators,Carolina Hurricanes,ev_away_ml,-0.0082
2025-10-04T23:00:00Z,Washington Capitals,Columbus Blue Jackets,ev_away_pl_+1.5,-0.0258
2025-10-04T23:00:00Z,Washington Capitals,Columbus Blue Jackets,ev_home_ml,-0.029
2025-10-04T23:00:00Z,Chicago Blackhawks,St. Louis Blues,ev_away_ml,-0.033
2025-10-04T23:00:00Z,Montréal Canadiens,Ottawa Senators,ev_over,-0.036
2025-10-04T23:00:00Z,Montréal Canadiens,Ottawa Senators,ev_under,-0.0637
2025-10-04T23:00:00Z,Chicago Blackhawks,St. Louis Blues,ev_home_ml,-0.0657
2025-10-04T23:00:00Z,Washington Capitals,Columbus Blue Jackets,ev_away_ml,-0.0734
2025-10-04T23:00:00Z,Washington Capitals,Columbus Blue Jackets,ev_home_pl_-1.5,-0.0798
2025-10-04T22:00:00Z,Dallas Stars,Colorado Avalanche,ev_over,-0.088
2025-10-04T20:00:00Z,Nashville Predators,Carolina Hurricanes,ev_home_ml,-0.0996
2025-10-04T23:00:00Z,Detroit Red Wings,Toronto Maple Leafs,ev_over,-0.1068
2025-10-04T23:00:00Z,Florida Panthers,Tampa Bay Lightning,ev_away_pl_+1.5,-0.1127
2025-10-04T20:00:00Z,Los Angeles Kings,Anaheim Ducks,ev_over,-0.125
2025-10-04T23:00:00Z,Chicago Blackhawks,St. Louis Blues,ev_under,-0.15
2025-10-04T23:00:00Z,Montréal Canadiens,Ottawa Senators,ev_away_pl_+1.5,-0.1619
2025-10-04T18:00:00Z,Boston Bruins,New York Rangers,ev_away_pl_+1.5,-0.1874
2025-10-04T23:00:00Z,Florida Panthers,Tampa Bay Lightning,ev_away_ml,-0.1897
2025-10-05T00:00:00Z,Utah Mammoth,San Jose Sharks,ev_over,-0.1974
2025-10-04T22:00:00Z,Dallas Stars,Colorado Avalanche,ev_home_ml,-0.2035
2025-10-04T23:00:00Z,Washington Capitals,Columbus Blue Jackets,ev_under,-0.2125
2025-10-04T23:00:00Z,Florida Panthers,Tampa Bay Lightning,ev_under,-0.2138
2025-10-04T20:00:00Z,Nashville Predators,Carolina Hurricanes,ev_under,-0.2144
2025-10-05T00:00:00Z,Utah Mammoth,San Jose Sharks,ev_home_ml,-0.2312
2025-10-04T18:00:00Z,Boston Bruins,New York Rangers,ev_under,-0.2983
2025-10-04T23:00:00Z,Montréal Canadiens,Ottawa Senators,ev_away_ml,-0.3028
2025-10-04T23:00:00Z,Detroit Red Wings,Toronto Maple Leafs,ev_away_pl_+1.5,-0.3249
2025-10-04T16:30:00Z,Philadelphia Flyers,New Jersey Devils,ev_home_ml,-0.3402
2025-10-04T16:30:00Z,Philadelphia Flyers,New Jersey Devils,ev_under,-0.3458
2025-10-04T22:00:00Z,Dallas Stars,Colorado Avalanche,ev_home_pl_-1.5,-0.3619
2025-10-04T16:30:00Z,Philadelphia Flyers,New Jersey Devils,ev_home_pl_-1.5,-0.3897
2025-10-05T00:00:00Z,Utah Mammoth,San Jose Sharks,ev_home_pl_-1.5,-0.3935
2025-10-04T20:00:00Z,Los Angeles Kings,Anaheim Ducks,ev_home_ml,-0.4463
