gamePk,date,home,away,home_goals_sim,away_goals_sim
2025020819,2026-01-25,Toronto Maple Leafs,Colorado Avalanche,2,0
2025020820,2026-01-25,Seattle Kraken,New Jersey Devils,3,2
2025020821,2026-01-25,Ottawa Senators,Vegas Golden Knights,1,2
2025020822,2026-01-25,Vancouver Canucks,Pittsburgh Penguins,1,4
2025020823,2026-01-25,Chicago Blackhawks,Florida Panthers,5,3
2025020824,2026-01-25,Calgary Flames,Anaheim Ducks,1,7
