date,player,team,opp,market,line,book,over_price,under_price,proj_lambda,p_over,side,ev,chosen_prob,source,team_norm,player_norm
2026-01-30,Andre Burakovsky,CHI,,ASSISTS,0.5,pinnacle,283.0,-422.0,0.533,0.3973,Over,0.521704176334246,,ev,CHI,andre burakovsky
2026-01-30,Teuvo Teravainen,CHI,,GOALS,0.5,fanduel,350.0,-550.0,0.458,0.3332,Over,0.4994214180594485,,ev,CHI,teuvo teravainen
2026-01-30,Andre Burakovsky,CHI,,ASSISTS,0.5,betmgm,260.0,-375.0,0.533,0.3973,Over,0.4303224633951137,,ev,CHI,andre burakovsky
2026-01-30,Tyler Bertuzzi,CHI,,GOALS,0.5,fanduel,240.0,-340.0,0.611,0.4205,Over,0.4296120318840365,,ev,CHI,tyler bertuzzi
2026-01-30,Artyom Levshunov,CHI,,SOG,1.5,pinnacle,111.0,-148.0,2.283,0.6653,Over,0.4037907741178695,,ev,CHI,artyom levshunov
2026-01-30,Artyom Levshunov,CHI,,SOG,1.5,betmgm,110.0,-150.0,2.283,0.6653,Over,0.3971377372737088,,ev,CHI,artyom levshunov
2026-01-30,Artyom Levshunov,CHI,,SOG,1.5,draftkings,110.0,-142.0,2.283,0.6653,Over,0.3971377372737088,,ev,CHI,artyom levshunov
2026-01-30,Tyler Bertuzzi,CHI,,SOG,2.5,draftkings,130.0,-168.0,3.356,0.6066,Over,0.3952190784238898,,ev,CHI,tyler bertuzzi
2026-01-30,Andre Burakovsky,CHI,,ASSISTS,0.5,draftkings,250.0,-350.0,0.533,0.3973,Over,0.3905912838563605,,ev,CHI,andre burakovsky
2026-01-30,Tyler Bertuzzi,CHI,,SOG,2.5,fanduel,126.0,-168.0,3.356,0.6066,Over,0.3709543987991265,,ev,CHI,tyler bertuzzi
2026-01-30,Tyler Bertuzzi,CHI,,SOG,2.5,betmgm,125.0,-175.0,3.356,0.6066,Over,0.3648882288929358,,ev,CHI,tyler bertuzzi
2026-01-30,Tyler Bertuzzi,CHI,,SOG,2.5,pinnacle,124.0,-170.0,3.356,0.6066,Over,0.3588220589867451,,ev,CHI,tyler bertuzzi
2026-01-30,Ivan Provorov,CBJ,,SOG,1.5,fanduel,-128.0,-102.0,2.663,0.7445,Over,0.3261505444373871,,ev,CBJ,ivan provorov
2026-01-30,Adam Fantilli,CBJ,,GOALS,0.5,fanduel,220.0,-310.0,0.0,0.0002,Under,0.3222666691251155,,ev,CBJ,adam fantilli
2026-01-30,Ivan Provorov,CBJ,,SOG,1.5,draftkings,-135.0,105.0,2.663,0.7445,Over,0.2959911753306239,,ev,CBJ,ivan provorov
2026-01-30,Frank Nazar,CHI,,POINTS,0.5,draftkings,105.0,-135.0,0.232,0.2561,Under,0.2948842415462096,,ev,CHI,frank nazar
2026-01-30,Frank Nazar,CHI,,POINTS,0.5,pinnacle,103.0,-138.0,0.232,0.2561,Under,0.2829056639185853,,ev,CHI,frank nazar
2026-01-30,Andre Burakovsky,CHI,,POINTS,0.5,pinnacle,157.0,-213.0,0.767,0.4988,Over,0.2818327946164253,,ev,CHI,andre burakovsky
2026-01-30,Ivan Provorov,CBJ,,SOG,1.5,betmgm,-140.0,100.0,2.663,0.7445,Over,0.2762952608119216,,ev,CBJ,ivan provorov
2026-01-30,Frank Nazar,CHI,,POINTS,0.5,betmgm,105.0,-140.0,0.232,0.2561,Under,0.275205149729398,,ev,CHI,frank nazar
2026-01-30,Ivan Provorov,CBJ,,SOG,1.5,pinnacle,-142.0,107.0,2.663,0.7445,Over,0.2688052651498795,,ev,CBJ,ivan provorov
2026-01-30,Zach Werenski,CBJ,,SOG,3.5,fanduel,120.0,-156.0,2.679,0.23,Under,0.263650373137371,,ev,CBJ,zach werenski
2026-01-30,Charlie Coyle,CBJ,,SOG,1.5,fanduel,-122.0,-106.0,2.395,0.6905,Over,0.2565263010467509,,ev,CBJ,charlie coyle
2026-01-30,Zach Werenski,CBJ,,SOG,3.5,pinnacle,120.0,-159.0,2.679,0.23,Under,0.2543369122504504,,ev,CBJ,zach werenski
2026-01-30,Andre Burakovsky,CHI,,POINTS,0.5,draftkings,150.0,-198.0,0.767,0.4988,Over,0.2469190609109194,,ev,CHI,andre burakovsky
2026-01-30,Andre Burakovsky,CHI,,POINTS,0.5,betmgm,150.0,-200.0,0.767,0.4988,Over,0.2469190609109194,,ev,CHI,andre burakovsky
2026-01-30,Zach Werenski,CBJ,,SOG,3.5,draftkings,126.0,-162.0,2.679,0.23,Under,0.245368394359342,,ev,CBJ,zach werenski
2026-01-30,Charlie Coyle,CBJ,,SOG,1.5,draftkings,-125.0,-105.0,2.395,0.6905,Over,0.2429422329273265,,ev,CBJ,charlie coyle
2026-01-30,Zach Werenski,CBJ,,SOG,3.5,betmgm,125.0,-165.0,2.679,0.23,Under,0.2367260043915463,,ev,CBJ,zach werenski
2026-01-30,Charlie Coyle,CBJ,,SOG,1.5,pinnacle,-128.0,-103.0,2.395,0.6905,Over,0.2299949180010001,,ev,CBJ,charlie coyle
2026-01-30,Oliver Moore,CHI,,ASSISTS,0.5,betmgm,300.0,-450.0,0.0,0.0,Under,0.2221961072667228,,ev,CHI,oliver moore
2026-01-30,Charlie Coyle,CBJ,,SOG,1.5,betmgm,-130.0,-105.0,2.395,0.6905,Over,0.2216953571507909,,ev,CBJ,charlie coyle
2026-01-30,Oliver Moore,CHI,,ASSISTS,0.5,draftkings,310.0,-455.0,0.0,0.0,Under,0.2197541570024536,,ev,CHI,oliver moore
