gamePk,date,home,away,shots_ev_home,shots_pp_home,shots_pk_home,shots_ev_away,shots_pp_away,shots_pk_away,goals_ev_home,goals_pp_home,goals_pk_home,goals_ev_away,goals_pp_away,goals_pk_away
2025020767,2026-01-18,Dallas Stars,Tampa Bay Lightning,22,2,8,22,12,1,2,0,0,2,0,0
2025020768,2026-01-18,Detroit Red Wings,Ottawa Senators,14,5,6,15,3,3,3,1,1,2,1,0
2025020769,2026-01-18,Edmonton Oilers,St. Louis Blues,38,6,3,27,1,3,6,2,1,3,0,0
