date,player,team,opp,market,line,proj_lambda,p_over,over_price,under_price,book,side,price,ev,ev_over,chosen_prob,edge_score,edge_drivers,edge_reasons,proj
2026-05-08,Tage Thompson,BUF,MTL,SOG,3.5,2.4,0.17297174030349166,115,-140.0,bovada,Under,-140.0,0.4177627309083002,0.4177627309083002,0.8270282596965084,0.594042939484091,MODEL UND · JUICE · CONF60+ · CONS7+ · MATCHUP+,MODEL UND · JUICE · CONF60+ · CONS7+ · MATCHUP+,2.4
2026-05-08,Cutter Gauthier,ANA,VGK,SOG,3.5,2.4,0.17297174030349166,-125,105.0,bovada,Under,105.0,0.695407932377842,0.695407932377842,0.8270282596965084,0.5468549430258307,MODEL UND · CONF60+ · CONS7+ · B2B,MODEL UND · CONF60+ · CONS7+ · B2B,2.4
2026-05-08,Leo Carlsson,ANA,VGK,SOG,3.5,2.4,0.17297174030349166,120,-145.0,bovada,Under,-145.0,0.3973925767285832,0.3973925767285832,0.8270282596965084,0.5468549430258307,MODEL UND · JUICE · CONF60+ · CONS7+ · B2B,MODEL UND · JUICE · CONF60+ · CONS7+ · B2B,2.4
2026-05-08,Ivan Demidov,MTL,BUF,POINTS,0.5,0.2856103777885437,0.27550574684044615,-110,-118.0,betmgm,Under,-118.0,0.33847243380324354,0.33847243380324354,0.7244942531595538,0.5370847343975321,MODEL UND · CONF60+ · CONS4+ · MATCHUP+,MODEL UND · CONF60+ · CONS4+ · MATCHUP+,0.2856103777885437
2026-05-08,Rasmus Dahlin,BUF,MTL,ASSISTS,0.5,0.45,0.3493693361689746,-125,-105.0,betmgm,Under,-105.0,0.27027891509866864,0.27027891509866864,0.6506306638310254,0.4753039347723881,MODEL UND · CONF60+ · CONS3+ · MATCHUP+,MODEL UND · CONF60+ · CONS3+ · MATCHUP+,0.45
2026-05-08,Chris Kreider,ANA,VGK,SOG,1.5,2.4,0.6915589588159976,-115,-105.0,bovada,Over,-115.0,0.29291457517773456,0.29291457517773456,0.6915589588159976,0.4680148317841741,MODEL OVR · CONF60+ · CONS7+ · B2B,MODEL OVR · CONF60+ · CONS7+ · B2B,2.4
2026-05-08,Jacob Trouba,ANA,VGK,SOG,1.5,2.4,0.6915589588159976,-115,-105.0,bovada,Over,-115.0,0.29291457517773456,0.29291457517773456,0.6915589588159976,0.4680148317841741,MODEL OVR · CONF60+ · CONS7+ · B2B,MODEL OVR · CONF60+ · CONS7+ · B2B,2.4
2026-05-08,Mikael Granlund,ANA,VGK,SOG,1.5,2.4,0.6915589588159976,-118,-110.0,fanduel,Over,-118.0,0.27762587306684305,0.27762587306684305,0.6915589588159976,0.4680148317841741,MODEL OVR · CONF60+ · CONS7+ · B2B,MODEL OVR · CONF60+ · CONS7+ · B2B,2.4
2026-05-08,John Carlson,ANA,VGK,SOG,1.5,2.4,0.6915589588159976,-144,110.0,fanduel,Over,-144.0,0.17180823577155147,0.17180823577155147,0.6915589588159976,0.4680148317841741,MODEL OVR · PRICE+ · JUICE · CONF60+ · CONS7+ · B2B,MODEL OVR · PRICE+ · JUICE · CONF60+ · CONS7+ · B2B,2.4
2026-05-08,Alex Killorn,ANA,VGK,SOG,1.5,2.4,0.6915589588159976,-150,110.0,betmgm,Over,-150.0,0.1525982646933292,0.1525982646933292,0.6915589588159976,0.4680148317841741,MODEL OVR · PRICE- · JUICE · CONF60+ · CONS7+ · B2B,MODEL OVR · PRICE- · JUICE · CONF60+ · CONS7+ · B2B,2.4
