market,side,price,ev,prob,conf,home,away,totals_line
PL,New York Rangers +1.5,-180.0,0.25274074074074077,0.8053333333333333,0.30533333333333335,New Jersey Devils,New York Rangers,5.5
PL,Philadelphia Flyers +1.5,-218.0,0.1455779816513761,0.7853333333333333,0.2853333333333333,Pittsburgh Penguins,Philadelphia Flyers,5.5
PL,Vancouver Canucks +1.5,-115.0,0.45639130434782604,0.779,0.279,Winnipeg Jets,Vancouver Canucks,5.5
PL,Nashville Predators +1.5,-166.0,0.20741566265060246,0.7535000000000001,0.25350000000000006,Buffalo Sabres,Nashville Predators,6.5
PL,Washington Capitals +1.5,-238.0,0.0632324929971988,0.7486666666666666,0.2486666666666666,Boston Bruins,Washington Capitals,6.5
TOTAL,Over,-130.0,0.10960256410256403,0.6271666666666667,0.12716666666666665,Los Angeles Kings,Montréal Canadiens,5.5
TOTAL,Over,-125.0,0.12320000000000003,0.624,0.124,Pittsburgh Penguins,Philadelphia Flyers,5.5
TOTAL,Under,-130.0,0.08896153846153848,0.6155,0.11550000000000005,Columbus Blue Jackets,Utah Mammoth,6.5
ML,Los Angeles Kings,-125.0,0.058099999999999985,0.5878333333333333,0.08783333333333332,Los Angeles Kings,Montréal Canadiens,5.5
TOTAL,Over,-130.0,0.02998717948717955,0.5821666666666667,0.08216666666666672,Calgary Flames,Carolina Hurricanes,5.5
ML,Columbus Blue Jackets,-105.0,0.12278174603174585,0.5750833333333333,0.07508333333333328,Columbus Blue Jackets,Utah Mammoth,6.5
TOTAL,Over,-115.0,0.05973188405797086,0.5668333333333333,0.0668333333333333,New Jersey Devils,New York Rangers,5.5
ML,New York Rangers,136.0,0.2742033333333336,0.5399166666666667,0.03991666666666671,New Jersey Devils,New York Rangers,5.5
ML,Philadelphia Flyers,120.0,0.15426666666666666,0.5246666666666666,0.024666666666666615,Pittsburgh Penguins,Philadelphia Flyers,5.5
TOTAL,Under,110.0,0.0927,0.5203333333333333,0.020333333333333314,Winnipeg Jets,Vancouver Canucks,5.5
ML,Vancouver Canucks,225.0,0.6664375000000002,0.51275,0.012750000000000039,Winnipeg Jets,Vancouver Canucks,5.5
