date,player,team,market,line,proj,p_over,over_price,under_price,book,side,ev,proj_lambda,ev_over
2026-02-27,Sam Bennett,FLA,POINTS,0.5,0.321,0.3032,-170,127.0,pinnacle,Under,0.5816810594459964,0.321,0.5816810594459964
2026-02-27,Sam Bennett,FLA,POINTS,0.5,0.321,0.3032,-170,127.0,pinnacle,Under,0.5816810594459964,0.321,0.5816810594459964
2026-02-27,Dylan Strome,WSH,GOALS,0.5,0.617,0.427,270,-420.0,fanduel,Over,0.5797552286672509,0.617,0.5797552286672509
2026-02-27,Sam Reinhart,FLA,SOG,2.5,1.913,0.2692,-155,115.0,betmgm,Under,0.5711820032824823,1.913,0.5711820032824823
2026-02-27,Sam Bennett,FLA,POINTS,0.5,0.321,0.3032,-165,125.0,betmgm,Under,0.5677455435037408,0.321,0.5677455435037408
2026-02-27,Sam Reinhart,FLA,SOG,2.5,1.913,0.2692,-146,112.0,fanduel,Under,0.5492585334692384,1.913,0.5492585334692384
2026-02-27,Sam Bennett,FLA,SOG,2.5,2.119,0.3219,-175,128.0,pinnacle,Under,0.5460780818328652,2.119,0.5460780818328652
2026-02-27,Sam Bennett,FLA,SOG,2.5,2.119,0.3219,-175,128.0,pinnacle,Under,0.5460780818328652,2.119,0.5460780818328652
2026-02-27,Vladimir Tarasenko,MIN,POINTS,0.5,1.142,0.6106,153,-207.0,pinnacle,Over,0.5447377348232488,1.142,0.5447377348232488
2026-02-27,Vladimir Tarasenko,MIN,POINTS,0.5,1.142,0.6106,150,-198.0,draftkings,Over,0.5264206865842378,1.142,0.5264206865842378
2026-02-27,Sam Bennett,FLA,SOG,2.5,2.119,0.3219,-175,125.0,betmgm,Under,0.5257349491771695,2.119,0.5257349491771695
2026-02-27,Sam Bennett,FLA,SOG,2.5,2.119,0.3219,-160,122.0,fanduel,Under,0.5053918165214737,2.119,0.5053918165214737
2026-02-27,Vladimir Tarasenko,MIN,POINTS,0.5,1.142,0.6106,145,-200.0,betmgm,Over,0.4958922728525531,1.142,0.4958922728525531
2026-02-27,Sam Reinhart,FLA,SOG,2.5,1.913,0.2692,-129,-104.0,pinnacle,Under,0.43345764163518075,1.913,0.43345764163518075
2026-02-27,Sam Reinhart,FLA,SOG,2.5,1.913,0.2692,-129,-104.0,pinnacle,Under,0.43345764163518075,1.913,0.43345764163518075
