market,player,team,line,over_price,under_price,proj_lambda,p_over,ev_over,book
GOALS,Trevor van Riemsdyk,,1.5,18000,,0.3,0.03693631311376678,5.685472673591787,betrivers
GOALS,Dylan McIlrath,,1.5,18000,,0.3,0.03693631311376678,5.685472673591787,betrivers
GOALS,Urho Vaakanainen,,1.5,13000,,0.3,0.03693631311376678,3.838657017903448,betrivers
GOALS,Will Borgen,,1.5,11000,,0.3,0.03693631311376678,3.0999307556281126,betrivers
GOALS,Martin Fehervary,,1.5,11000,,0.3,0.03693631311376678,3.0999307556281126,betrivers
GOALS,Scott Morrow,,1.5,9000,,0.3,0.03693631311376678,2.3612044933527767,betrivers
GOALS,Matt Roy,,1.5,9000,,0.3,0.03693631311376678,2.3612044933527767,betrivers
GOALS,Rasmus Sandin,,1.5,9000,,0.3,0.03693631311376678,2.3612044933527767,betrivers
GOALS,Carson Soucy,,1.5,7500,,0.3,0.03693631311376678,1.8071597966462751,betrivers
GOALS,Braden Schneider,,1.5,7500,,0.3,0.03693631311376678,1.8071597966462751,betrivers
GOALS,Vladislav Gavrikov,,1.5,7500,,0.3,0.03693631311376678,1.8071597966462751,betrivers
GOALS,Declan Chisholm,,1.5,7500,,0.3,0.03693631311376678,1.8071597966462751,betrivers
GOALS,Sam Carrick,,1.5,6600,,0.3,0.03693631311376678,1.4747329786223742,betrivers
GOALS,Brandon Duhaime,,1.5,6600,,0.3,0.03693631311376678,1.4747329786223742,betrivers
GOALS,Justin Sourdif,,1.5,5500,,0.3,0.03693631311376678,1.0684335343709397,betrivers
GOALS,John Carlson,,1.5,5500,,0.3,0.03693631311376678,1.0684335343709397,betrivers
GOALS,Adam Edstrom,,1.5,5000,,0.3,0.03693631311376678,0.8837519688021058,betrivers
GOALS,Nic Dowd,,1.5,5000,,0.3,0.03693631311376678,0.8837519688021058,betrivers
GOALS,Matt Rempe,,1.5,5000,,0.3,0.03693631311376678,0.8837519688021058,betrivers
GOALS,Anthony Beauvillier,,1.5,4500,,0.3,0.03693631311376678,0.6990704032332717,betrivers
GOALS,Taylor Raddysh,,1.5,4500,,0.3,0.03693631311376678,0.6990704032332717,betrivers
GOALS,Hendrix Lapierre,,1.5,4500,,0.3,0.03693631311376678,0.6990704032332717,betrivers
GOALS,Juuso Parssinen,,1.5,4500,,0.3,0.03693631311376678,0.6990704032332717,betrivers
GOALS,Jonny Brodzinski,,1.5,4000,,0.3,0.03693631311376678,0.5143888376644379,betrivers
GOALS,Adam Fox,,1.5,4000,,0.3,0.03693631311376678,0.5143888376644379,betrivers
GOALS,Noah Laba,,1.5,4000,,0.3,0.03693631311376678,0.5143888376644379,betrivers
GOALS,Jakob Chychrun,,1.5,3300,,0.3,0.03693631311376678,0.2558346458680705,betrivers
SOG,Pierre-Luc Dubois,,1.5,104,-135.0,2.0,0.5939941502901616,0.21174806659192957,fanduel
SOG,Pierre-Luc Dubois,,1.5,100,-130.0,2.0,0.5939941502901616,0.18798830058032312,draftkings
SOG,Conor Sheary,,1.5,100,-130.0,2.0,0.5939941502901616,0.18798830058032312,betonlineag
SOG,Pierre-Luc Dubois,,1.5,100,-130.0,2.0,0.5939941502901616,0.18798830058032312,bovada
ASSISTS,Will Cuylle,,0.5,260,-370.0,0.4,0.32967995396436056,0.18684783427169804,draftkings
POINTS,Will Cuylle,,0.5,135,-175.0,0.7,0.5034146962085905,0.18302453609018765,draftkings
SOG,Pierre-Luc Dubois,,1.5,-101,-128.0,2.0,0.5939941502901616,0.18210717037943047,betonlineag
POINTS,Will Cuylle,,0.5,132,-172.0,0.7,0.5034146962085905,0.1679220952039301,betonlineag
