gamePk,date,home,away,shots_ev_home,shots_pp_home,shots_pk_home,shots_ev_away,shots_pp_away,shots_pk_away,goals_ev_home,goals_pp_home,goals_pk_home,goals_ev_away,goals_pp_away,goals_pk_away
2025020780,2026-01-20,Montréal Canadiens,Minnesota Wild,24,10,6,16,7,4,3,1,0,4,1,0
2025020781,2026-01-20,Tampa Bay Lightning,San Jose Sharks,25,3,0,19,1,0,4,0,0,1,1,0
2025020782,2026-01-20,Columbus Blue Jackets,Ottawa Senators,33,0,1,26,0,1,4,0,0,5,0,0
2025020783,2026-01-20,Dallas Stars,Boston Bruins,29,2,3,30,3,2,5,0,1,2,0,0
2025020784,2026-01-20,Nashville Predators,Buffalo Sabres,35,3,0,23,5,2,2,0,0,2,1,0
2025020785,2026-01-20,Winnipeg Jets,St. Louis Blues,22,3,1,21,0,2,2,0,0,3,0,0
2025020786,2026-01-20,Edmonton Oilers,New Jersey Devils,35,6,5,20,8,4,1,0,0,2,1,1
2025020787,2026-01-20,Los Angeles Kings,New York Rangers,22,6,2,21,4,3,3,1,0,3,1,0
