date,player,team,position,market,proj_lambda
2025-10-22,B. Byram,BUF,D,ASSISTS,0.32708024978637695
2025-10-22,B. Byram,BUF,D,BLOCKS,1.137911081314087
2025-10-22,B. Byram,BUF,D,GOALS,0.10822199285030365
2025-10-22,B. Byram,BUF,D,POINTS,0.41761070489883423
2025-10-22,B. Byram,BUF,D,SOG,1.7298948764801025
2025-10-22,C. Poolman,BUF,D,ASSISTS,0.45
2025-10-22,C. Poolman,BUF,D,BLOCKS,1.3
2025-10-22,C. Poolman,BUF,D,GOALS,0.35
2025-10-22,C. Poolman,BUF,D,POINTS,0.9
2025-10-22,C. Poolman,BUF,D,SOG,2.4
2025-10-22,C. Timmins,BUF,D,ASSISTS,3.879396172123961e-05
2025-10-22,C. Timmins,BUF,D,BLOCKS,2.5702316761016846
2025-10-22,C. Timmins,BUF,D,GOALS,6.305606916612305e-07
2025-10-22,C. Timmins,BUF,D,POINTS,0.000277719838777557
2025-10-22,C. Timmins,BUF,D,SOG,1.6191020011901855
2025-10-22,E. Prow,BUF,D,ASSISTS,0.45
2025-10-22,E. Prow,BUF,D,BLOCKS,1.3
2025-10-22,E. Prow,BUF,D,GOALS,0.35
2025-10-22,E. Prow,BUF,D,POINTS,0.9
2025-10-22,E. Prow,BUF,D,SOG,2.4
2025-10-22,J. Bryson,BUF,D,ASSISTS,0.13501103222370148
2025-10-22,J. Bryson,BUF,D,BLOCKS,0.8410781025886536
2025-10-22,J. Bryson,BUF,D,GOALS,6.305606916612305e-07
2025-10-22,J. Bryson,BUF,D,POINTS,0.12495842576026917
2025-10-22,J. Bryson,BUF,D,SOG,1.2017338275909424
2025-10-22,J. Rathbone,BUF,D,ASSISTS,0.45
2025-10-22,J. Rathbone,BUF,D,BLOCKS,1.3
2025-10-22,J. Rathbone,BUF,D,GOALS,0.35
2025-10-22,J. Rathbone,BUF,D,POINTS,0.9
2025-10-22,J. Rathbone,BUF,D,SOG,2.4
2025-10-22,M. Kesselring,BUF,D,ASSISTS,0.3554937541484833
2025-10-22,M. Kesselring,BUF,D,BLOCKS,1.1553901433944702
2025-10-22,M. Kesselring,BUF,D,GOALS,0.12581801414489746
2025-10-22,M. Kesselring,BUF,D,POINTS,0.4278714954853058
2025-10-22,M. Kesselring,BUF,D,SOG,2.3128039836883545
2025-10-22,M. Lindgren,BUF,D,ASSISTS,0.45
2025-10-22,M. Lindgren,BUF,D,BLOCKS,1.3
2025-10-22,M. Lindgren,BUF,D,GOALS,0.35
2025-10-22,M. Lindgren,BUF,D,POINTS,0.9
2025-10-22,M. Lindgren,BUF,D,SOG,2.4
2025-10-22,M. Samuelsson,BUF,D,ASSISTS,0.13877597451210022
2025-10-22,M. Samuelsson,BUF,D,BLOCKS,1.3672873973846436
2025-10-22,M. Samuelsson,BUF,D,GOALS,6.305606916612305e-07
2025-10-22,M. Samuelsson,BUF,D,POINTS,0.11837946623563766
2025-10-22,M. Samuelsson,BUF,D,SOG,1.2166736125946045
2025-10-22,N. Laaouan,BUF,D,ASSISTS,0.45
2025-10-22,N. Laaouan,BUF,D,BLOCKS,1.3
2025-10-22,N. Laaouan,BUF,D,GOALS,0.35
2025-10-22,N. Laaouan,BUF,D,POINTS,0.9
2025-10-22,N. Laaouan,BUF,D,SOG,2.4
2025-10-22,N. Novikov,BUF,D,ASSISTS,0.45
2025-10-22,N. Novikov,BUF,D,BLOCKS,1.3
2025-10-22,N. Novikov,BUF,D,GOALS,0.35
2025-10-22,N. Novikov,BUF,D,POINTS,0.9
2025-10-22,N. Novikov,BUF,D,SOG,2.4
2025-10-22,N. Panocha,BUF,D,ASSISTS,0.45
2025-10-22,N. Panocha,BUF,D,BLOCKS,1.3
2025-10-22,N. Panocha,BUF,D,GOALS,0.35
2025-10-22,N. Panocha,BUF,D,POINTS,0.9
2025-10-22,N. Panocha,BUF,D,SOG,2.4
2025-10-22,O. Power,BUF,D,ASSISTS,0.23339052498340607
2025-10-22,O. Power,BUF,D,BLOCKS,0.7528385519981384
2025-10-22,O. Power,BUF,D,GOALS,0.0003751485201064497
2025-10-22,O. Power,BUF,D,POINTS,0.21980616450309753
2025-10-22,O. Power,BUF,D,SOG,1.8267711400985718
2025-10-22,R. Dahlin,BUF,D,ASSISTS,0.4331431984901428
2025-10-22,R. Dahlin,BUF,D,BLOCKS,0.6967634558677673
2025-10-22,R. Dahlin,BUF,D,GOALS,0.24530425667762756
2025-10-22,R. Dahlin,BUF,D,POINTS,0.71893709897995
2025-10-22,R. Dahlin,BUF,D,SOG,4.189927577972412
2025-10-22,R. Johnson,BUF,D,ASSISTS,0.13877597451210022
2025-10-22,R. Johnson,BUF,D,BLOCKS,0.8310185074806213
2025-10-22,R. Johnson,BUF,D,GOALS,6.305606916612305e-07
2025-10-22,R. Johnson,BUF,D,POINTS,0.11837946623563766
2025-10-22,R. Johnson,BUF,D,SOG,1.7130768299102783
2025-10-22,R. Mrtka,BUF,D,ASSISTS,0.45
2025-10-22,R. Mrtka,BUF,D,BLOCKS,1.3
2025-10-22,R. Mrtka,BUF,D,GOALS,0.35
2025-10-22,R. Mrtka,BUF,D,POINTS,0.9
2025-10-22,R. Mrtka,BUF,D,SOG,2.4
2025-10-22,V. Komarov,BUF,D,ASSISTS,0.45
2025-10-22,V. Komarov,BUF,D,BLOCKS,1.3
2025-10-22,V. Komarov,BUF,D,GOALS,0.35
2025-10-22,V. Komarov,BUF,D,POINTS,0.9
2025-10-22,V. Komarov,BUF,D,SOG,2.4
2025-10-22,Z. Jones,BUF,D,ASSISTS,3.879396172123961e-05
2025-10-22,Z. Jones,BUF,D,BLOCKS,0.775841474533081
2025-10-22,Z. Jones,BUF,D,GOALS,6.305606916612305e-07
2025-10-22,Z. Jones,BUF,D,POINTS,0.000277719838777557
2025-10-22,Z. Jones,BUF,D,SOG,1.7534174919128418
2025-10-22,Z. Metsa,BUF,D,ASSISTS,0.45
2025-10-22,Z. Metsa,BUF,D,BLOCKS,1.3
2025-10-22,Z. Metsa,BUF,D,GOALS,0.35
2025-10-22,Z. Metsa,BUF,D,POINTS,0.9
2025-10-22,Z. Metsa,BUF,D,SOG,2.4
2025-10-22,A. Kisakov,BUF,F,ASSISTS,0.45
2025-10-22,A. Kisakov,BUF,F,BLOCKS,1.3
2025-10-22,A. Kisakov,BUF,F,GOALS,0.35
2025-10-22,A. Kisakov,BUF,F,POINTS,0.9
2025-10-22,A. Kisakov,BUF,F,SOG,2.4
2025-10-22,A. Tuch,BUF,F,ASSISTS,0.6734954118728638
2025-10-22,A. Tuch,BUF,F,BLOCKS,1.1226874589920044
2025-10-22,A. Tuch,BUF,F,GOALS,0.24530425667762756
2025-10-22,A. Tuch,BUF,F,POINTS,1.0035829544067383
2025-10-22,A. Tuch,BUF,F,SOG,2.8786051273345947
2025-10-22,A. Wahlberg,BUF,F,ASSISTS,0.45
2025-10-22,A. Wahlberg,BUF,F,BLOCKS,1.3
2025-10-22,A. Wahlberg,BUF,F,GOALS,0.35
2025-10-22,A. Wahlberg,BUF,F,POINTS,0.9
2025-10-22,A. Wahlberg,BUF,F,SOG,2.4
