gamePk,date,home,away,home_goals_sim,away_goals_sim
2025020754,2026-01-17,Buffalo Sabres,Minnesota Wild,3,2
2025020755,2026-01-17,Philadelphia Flyers,New York Rangers,4,2
2025020756,2026-01-17,Calgary Flames,New York Islanders,5,3
2025020757,2026-01-17,Utah Mammoth,Seattle Kraken,4,2
2025020758,2026-01-17,Ottawa Senators,Montréal Canadiens,2,5
2025020759,2026-01-17,New Jersey Devils,Carolina Hurricanes,1,4
2025020760,2026-01-17,Pittsburgh Penguins,Columbus Blue Jackets,2,3
2025020761,2026-01-17,Washington Capitals,Florida Panthers,2,5
2025020762,2026-01-17,Winnipeg Jets,Toronto Maple Leafs,0,4
2025020763,2026-01-17,Chicago Blackhawks,Boston Bruins,1,3
2025020764,2026-01-17,Vancouver Canucks,Edmonton Oilers,6,2
2025020765,2026-01-17,Vegas Golden Knights,Nashville Predators,5,0
2025020766,2026-01-17,Anaheim Ducks,Los Angeles Kings,3,2
