market,player,team,line,over_price,under_price,proj_lambda,p_over,ev_over,book
GOALS,Darnell Nurse,,1.5,8000,,0.4,0.061551935550105026,3.9857067795585075,betrivers
GOALS,Jani Nyman,,1.5,5000,,0.5,0.09020401043104986,3.6004045319835427,betrivers
GOALS,Gavin Brindley,,1.5,5000,,0.5,0.09020401043104986,3.6004045319835427,betrivers
GOALS,Calle Jarnkrok,,1.5,6000,,0.4,0.061551935550105026,2.7546680685564064,betrivers
GOALS,Jordan Oesterle,,1.5,10000,,0.3,0.03693631311376678,2.730567624490445,betrivers
GOALS,Alexandre Carrier,,1.5,10000,,0.3,0.03693631311376678,2.730567624490445,betrivers
GOALS,Shane Pinto,,2.5,7500,,0.8,0.047422596071490235,2.6041173014332575,betrivers
GOALS,Sam Reinhart,,2.5,5500,,0.9,0.06285693429791905,2.519988320683467,betrivers
GOALS,Travis Sanheim,,1.5,5500,,0.4,0.061551935550105026,2.4469083908058815,betrivers
GOALS,Shane Pinto,,1.5,1600,,0.8,0.1912078645890011,2.250533698013019,betrivers
GOALS,Brad Marchand,,1.5,1900,,0.7,0.1558049835546038,2.116099671092076,betrivers
GOALS,Brad Marchand,,2.5,9000,,0.7,0.03414158412570851,2.1068841554394746,betrivers
GOALS,Evan Rodrigues,,1.5,3300,,0.5,0.09020401043104986,2.066936354655695,betrivers
GOALS,Sam Reinhart,,1.5,1150,,0.9,0.2275176464928617,1.8439705811607712,betrivers
GOALS,Erik Haula,,1.5,4500,,0.4,0.061551935550105026,1.8313890353048312,betrivers
GOALS,Tyson Foerster,,1.5,1700,,0.7,0.1558049835546038,1.8044897039828682,betrivers
GOALS,Dante Fabbro,,1.5,7000,,0.3,0.03693631311376678,1.6224782310774413,betrivers
GOALS,Jani Nyman,,2.5,18000,,0.5,0.01438767796697068,1.6041697120216933,betrivers
GOALS,Gavin Brindley,,2.5,18000,,0.5,0.01438767796697068,1.6041697120216933,betrivers
GOALS,Tyson Foerster,,2.5,7500,,0.7,0.03414158412570851,1.5947603935538468,betrivers
GOALS,Adam Fox,,1.5,4000,,0.4,0.061551935550105026,1.5236293575543063,betrivers
ASSISTS,Brendan Gallagher,,0.5,310,-455.0,0.8,0.5506710358827782,1.2577512471193906,draftkings
GOALS,Nikita Grebyonkin,,1.5,6000,,0.3,0.03693631311376678,1.2531150999397735,betrivers
ASSISTS,Brendan Gallagher,,0.5,300,-450.0,0.8,0.5506710358827782,1.2026841435311129,betmgm
GOALS,Jared McCann,,1.5,1300,,0.7,0.1558049835546038,1.181269769764453,betrivers
GOALS,Emil Heineman,,1.5,3300,,0.4,0.061551935550105026,1.0927658087035708,betrivers
GOALS,Jared McCann,,2.5,6000,,0.7,0.03414158412570851,1.082636631668219,betrivers
GOALS,Dmitri Voronkov,,1.5,2200,,0.5,0.09020401043104986,1.074692239914147,betrivers
GOALS,Dawson Mercer,,1.5,1600,,0.6,0.12190138224955764,1.0723234982424799,betrivers
GOALS,Mathieu Olivier,,1.5,5500,,0.3,0.03693631311376678,1.0684335343709397,betrivers
GOALS,Morgan Barron,,1.5,5500,,0.3,0.03693631311376678,1.0684335343709397,betrivers
GOALS,Evan Rodrigues,,2.5,14000,,0.5,0.01438767796697068,1.0286625933428661,betrivers
GOALS,Tyson Foerster,,0.5,300,-450.0,0.7,0.5034146962085905,1.013658784834362,fanduel
GOALS,Darnell Nurse,,2.5,25000,,0.4,0.007926331867253842,0.9895092986807142,betrivers
GOALS,Adam Fox,,0.5,500,-900.0,0.4,0.3296799539643607,0.978079723786164,fanduel
GOALS,Brad Marchand,,0.5,280,-420.0,0.7,0.5034146962085905,0.9129758455926437,fanduel
ASSISTS,Ivan Demidov,,0.5,275,-400.0,0.7,0.5034146962085905,0.8878051107822144,betmgm
GOALS,Matthew Wood,,1.5,5000,,0.3,0.03693631311376678,0.8837519688021058,betrivers
GOALS,Brian Halonen,,1.5,5000,,0.3,0.03693631311376678,0.8837519688021058,betrivers
GOALS,Shane Pinto,,0.5,240,-360.0,0.8,0.5506710358827782,0.8722815220014459,fanduel
ASSISTS,Ivan Demidov,,0.5,270,-385.0,0.7,0.5034146962085905,0.8626343759717848,draftkings
GOALS,Zach Werenski,,1.5,2900,,0.4,0.061551935550105026,0.8465580665031509,betrivers
GOALS,Ryan O'Reilly,,1.5,1900,,0.5,0.09020401043104986,0.8040802086209974,betrivers
GOALS,Josh Manson,,1.5,10000,,0.2,0.017523096306421772,0.769832726948599,betrivers
GOALS,Dawson Mercer,,2.5,7500,,0.6,0.023115287752632954,0.7567618692001045,betrivers
SOG,Arseny Gritsyuk,,1.5,104,-135.0,3.3333333333333335,0.8454126954952396,0.7246418988102887,fanduel
SOG,Artturi Lehkonen,,2.5,141,-185.0,3.7,0.7145668868999318,0.7221061974288356,betonlineag
GOALS,Sam Reinhart,,0.5,190,-260.0,0.9,0.5934303402594008,0.7209479867522621,fanduel
SOG,Artturi Lehkonen,,2.5,140,-186.0,3.7,0.7145668868999318,0.7149605285598362,betrivers
SOG,Artturi Lehkonen,,2.5,140,-185.0,3.7,0.7145668868999318,0.7149605285598362,bovada
SOG,Artturi Lehkonen,,2.5,140,-182.0,3.7,0.7145668868999318,0.7149605285598362,draftkings
SOG,Artturi Lehkonen,,2.5,140,-184.0,3.7,0.7145668868999318,0.7149605285598362,fanduel
GOALS,Kasperi Kapanen,,1.5,4500,,0.3,0.03693631311376678,0.6990704032332717,betrivers
GOALS,Juuso Parssinen,,1.5,4500,,0.3,0.03693631311376678,0.6990704032332717,betrivers
GOALS,Oliver Kapanen,,1.5,4500,,0.3,0.03693631311376678,0.6990704032332717,betrivers
SOG,Artturi Lehkonen,,2.5,135,-190.0,3.7,0.7145668868999318,0.6792321842148397,williamhill_us
GOALS,Jared McCann,,0.5,230,-330.0,0.7,0.5034146962085905,0.6612684974883484,fanduel
SOG,Artturi Lehkonen,,2.5,130,-185.0,3.7,0.7145668868999318,0.6435038398698429,betmgm
SOG,Jesper Bratt,,2.5,154,-205.0,3.3,0.6405735336749161,0.627056775534287,fanduel
GOALS,Dmitri Voronkov,,0.5,310,-470.0,0.5,0.39346934028736646,0.6132242951782024,fanduel
GOALS,Bobby McMann,,1.5,2500,,0.4,0.061551935550105026,0.6003503243027308,betrivers
POINTS,Darnell Nurse,,0.5,190,-250.0,0.8,0.5506710358827782,0.5969460040600567,fanduel
GOALS,Calle Jarnkrok,,2.5,20000,,0.4,0.007926331867253842,0.5931927053180223,betrivers
GOALS,Travis Sanheim,,2.5,20000,,0.4,0.007926331867253842,0.5931927053180223,betrivers
SOG,Lane Hutson,,1.5,145,-195.0,2.2,0.6454298932405317,0.5813032384393028,betrivers
GOALS,Dawson Mercer,,0.5,250,-380.0,0.6,0.45118836390597344,0.579159273670907,fanduel
SOG,Jesper Bratt,,2.5,146,-192.0,3.3,0.6405735336749161,0.5758108928402935,betonlineag
POINTS,Darnell Nurse,,0.5,185,-248.0,0.8,0.5506710358827782,0.5694124522659179,draftkings
SOG,Jesper Bratt,,2.5,145,-190.0,3.3,0.6405735336749161,0.5694051575035446,bovada
SOG,Jesper Bratt,,2.5,145,-188.0,3.3,0.6405735336749161,0.5694051575035446,draftkings
POINTS,Darnell Nurse,,0.5,182,-244.0,0.8,0.5506710358827782,0.5528923211894348,betonlineag
POINTS,Tyson Foerster,,0.5,122,-156.0,1.2,0.6988057880877979,0.5513488495549113,fanduel
POINTS,Darnell Nurse,,0.5,180,-250.0,0.8,0.5506710358827782,0.5418789004717789,betmgm
SOG,Brad Marchand,,2.5,115,-150.0,3.7,0.7145668868999318,0.5363188068348532,betrivers
POINTS,Evan Rodrigues,,0.5,158,-205.0,0.9,0.5934303402594008,0.5310502778692541,fanduel
POINTS,Tyson Foerster,,0.5,117,-152.0,1.2,0.6988057880877979,0.5164085601505214,betonlineag
GOALS,Jonny Brodzinski,,1.5,4000,,0.3,0.03693631311376678,0.5143888376644379,betrivers
GOALS,Paul Cotter,,1.5,4000,,0.3,0.03693631311376678,0.5143888376644379,betrivers
SOG,Jesper Bratt,,2.5,135,-185.0,3.3,0.6405735336749161,0.5053478041360528,betmgm
SOG,Jesper Bratt,,2.5,135,-190.0,3.3,0.6405735336749161,0.5053478041360528,williamhill_us
SOG,Brad Marchand,,2.5,108,-140.0,3.7,0.7145668868999318,0.4862991247518581,fanduel
SOG,Brad Marchand,,2.5,107,-139.0,3.7,0.7145668868999318,0.47915345588285896,betonlineag
GOALS,J.T. Miller,,0.5,275,-420.0,0.5,0.39346934028736646,0.47551002607762427,fanduel
POINTS,Tyson Foerster,,0.5,110,-145.0,1.2,0.6988057880877979,0.4674921549843757,betmgm
POINTS,Tyson Foerster,,0.5,110,-142.0,1.2,0.6988057880877979,0.4674921549843757,draftkings
SOG,Brad Marchand,,2.5,105,-140.0,3.7,0.7145668868999318,0.46486211814486,betmgm
SOG,Brad Marchand,,2.5,105,-135.0,3.7,0.7145668868999318,0.46486211814486,bovada
SOG,Brad Marchand,,2.5,105,-135.0,3.7,0.7145668868999318,0.46486211814486,draftkings
SOG,Brad Marchand,,2.5,105,-141.0,3.7,0.7145668868999318,0.46486211814486,williamhill_us
SOG,Bo Horvat,,2.5,-135,105.0,4.6,0.8373612976518287,0.457628925542072,betonlineag
SOG,Bo Horvat,,2.5,-135,105.0,4.6,0.8373612976518287,0.457628925542072,bovada
SOG,Bo Horvat,,2.5,-135,105.0,4.6,0.8373612976518287,0.457628925542072,draftkings
GOALS,Ryan O'Reilly,,0.5,270,-400.0,0.5,0.39346934028736646,0.45583655906325593,fanduel
ASSISTS,Gustav Forsling,,0.5,270,-400.0,0.5,0.39346934028736646,0.45583655906325593,betmgm
ASSISTS,Gustav Forsling,,0.5,270,-385.0,0.5,0.39346934028736646,0.45583655906325593,draftkings
GOALS,Dmitri Voronkov,,2.5,10000,,0.5,0.01438767796697068,0.4531554746640387,betrivers
ASSISTS,Valeri Nichushkin,,0.5,220,-300.0,0.6,0.45118836390597344,0.44380276449911515,draftkings
GOALS,Adam Fantilli,,1.5,1500,,0.5,0.09020401043104986,0.44326416689679793,betrivers
SOG,Luke Hughes,,1.5,-120,-108.0,2.9,0.7854094417800117,0.43991730993002154,fanduel
SOG,Bo Horvat,,2.5,-139,100.0,4.6,0.8373612976518287,0.4397794974013456,williamhill_us
SOG,Neal Pionk,,1.5,-115,-118.0,2.8,0.7689217620241717,0.43754938117562525,betmgm
SOG,Neal Pionk,,1.5,-115,-115.0,2.8,0.7689217620241717,0.43754938117562525,bovada
SOG,Neal Pionk,,1.5,-115,-115.0,2.8,0.7689217620241717,0.43754938117562525,draftkings
SOG,Bo Horvat,,2.5,-140,108.0,4.6,0.8373612976518287,0.4354765102602778,fanduel
SOG,Neal Pionk,,1.5,-116,-111.0,2.8,0.7689217620241717,0.4317853499760439,betonlineag
POINTS,Evan Rodrigues,,0.5,141,-185.0,0.9,0.5934303402594008,0.430167120025156,betonlineag
SOG,Neal Pionk,,1.5,-117,-115.0,2.8,0.7689217620241717,0.42611984922431856,williamhill_us
SOG,Bo Horvat,,2.5,-143,110.0,4.6,0.8373612976518287,0.4229286386670933,betrivers
POINTS,Brendan Gallagher,,0.5,158,-208.0,0.8,0.5506710358827782,0.4207312725775678,betonlineag
SOG,Neal Pionk,,1.5,-118,-110.0,2.8,0.7689217620241717,0.420550373909063,fanduel
ASSISTS,Jordan Eberle,,0.5,180,-240.0,0.7,0.5034146962085905,0.4095611493840532,draftkings
ASSISTS,Anton Lundell,,0.5,180,-240.0,0.7,0.5034146962085905,0.4095611493840532,draftkings
SOG,Lane Hutson,,1.5,118,-154.0,2.2,0.6454298932405317,0.4070371672643589,betonlineag
SOG,Luke Hughes,,1.5,-127,-102.0,2.9,0.7854094417800117,0.40384207310285547,betonlineag
GOALS,Cole Caufield,,1.5,800,,0.7,0.1558049835546038,0.4022448519914341,betrivers
POINTS,Brendan Gallagher,,0.5,154,-205.0,0.8,0.5506710358827782,0.39870443114225673,fanduel
ASSISTS,Valeri Nichushkin,,0.5,210,-300.0,0.6,0.45118836390597344,0.3986839281085178,betmgm
POINTS,Evan Rodrigues,,0.5,135,-185.0,0.9,0.5934303402594008,0.39456129960959185,betmgm
POINTS,Evan Rodrigues,,0.5,135,-175.0,0.9,0.5934303402594008,0.39456129960959185,draftkings
SOG,Sam Reinhart,,2.5,105,-135.0,3.5,0.6791528011378658,0.3922632423326248,draftkings
SOG,Matvei Michkov,,2.5,117,-152.0,3.3,0.6405735336749161,0.3900445680745679,betonlineag
SOG,Luke Hughes,,1.5,-130,100.0,2.9,0.7854094417800117,0.3895705508415591,bovada
SOG,Luke Hughes,,1.5,-130,100.0,2.9,0.7854094417800117,0.3895705508415591,draftkings
SOG,Sam Reinhart,,2.5,104,-135.0,3.5,0.6791528011378658,0.3854717143212463,betonlineag
ASSISTS,Jordan Eberle,,0.5,175,-235.0,0.7,0.5034146962085905,0.3843904145736238,betmgm
GOALS,Cole Caufield,,0.5,175,-240.0,0.7,0.5034146962085905,0.3843904145736238,fanduel
ASSISTS,Anton Lundell,,0.5,175,-235.0,0.7,0.5034146962085905,0.3843904145736238,betmgm
SOG,Luke Hughes,,1.5,-132,-103.0,2.9,0.7854094417800117,0.38041659464365696,williamhill_us
SOG,Matvei Michkov,,2.5,115,-150.0,3.3,0.6405735336749161,0.3772330974010696,betrivers
SOG,Matvei Michkov,,2.5,115,-150.0,3.3,0.6405735336749161,0.3772330974010696,bovada
