date,player,team,opp,market,line,proj_lambda,lam_scale_mean,p_over,side,chosen_prob
2026-02-02,Liam O'Brien,UTA,VAN,BLOCKS,3.5,0.0508,1.0006,4e-06,Under,0.999996
2026-02-02,Drew O'Connor,VAN,UTA,BLOCKS,3.5,0.0519,1.0,5e-06,Under,0.999995
2026-02-02,Ryan Donato,CHI,SJS,BLOCKS,3.5,0.0567,1.0001,6e-06,Under,0.999994
2026-02-02,Nazem Kadri,CGY,TOR,BLOCKS,3.5,0.0577,0.9924,6e-06,Under,0.999994
2026-02-02,Jordan Kyrou,STL,NSH,BLOCKS,3.5,0.0877,1.0071,3.4e-05,Under,0.999966
2026-02-02,Alex Ovechkin,WSH,NYI,BLOCKS,3.5,0.0921,0.9931,3.6e-05,Under,0.999964
2026-02-02,Cole Schwindt,FLA,BUF,BLOCKS,3.5,0.0967,0.9899,4.3e-05,Under,0.999957
2026-02-02,Donovan Sebrango,FLA,BUF,BLOCKS,3.5,0.0967,0.9899,4.3e-05,Under,0.999957
2026-02-02,Zayne Parekh,CGY,TOR,BLOCKS,3.5,0.0971,0.9924,4.4e-05,Under,0.999956
2026-02-02,Jack Quinn,BUF,FLA,BLOCKS,3.5,0.1051,1.0087,6.3e-05,Under,0.999937
2026-02-02,Emmitt Finnie,DET,COL,BLOCKS,3.5,0.1123,1.0024,7.9e-05,Under,0.999921
2026-02-02,Jonathan Marchessault,NSH,STL,BLOCKS,3.5,0.1134,0.9937,8.4e-05,Under,0.999916
2026-02-02,Steven Stamkos,NSH,STL,BLOCKS,3.5,0.1134,0.9937,8.4e-05,Under,0.999916
2026-02-02,Luke Evangelista,NSH,STL,BLOCKS,3.5,0.1134,0.9937,8.4e-05,Under,0.999916
2026-02-02,Dylan Larkin,DET,COL,BLOCKS,3.5,0.1149,1.0024,8.6e-05,Under,0.999914
2026-02-02,Artturi Lehkonen,COL,DET,BLOCKS,3.5,0.117,0.9977,9e-05,Under,0.99991
2026-02-02,Gavin Brindley,COL,DET,BLOCKS,3.5,0.1189,0.9977,9.5e-05,Under,0.999905
2026-02-02,Liam O'Brien,UTA,VAN,BLOCKS,2.5,0.0508,1.0006,9.6e-05,Under,0.999904
2026-02-02,Drew O'Connor,VAN,UTA,BLOCKS,2.5,0.0519,1.0,0.000102,Under,0.999898
2026-02-02,Teuvo Teravainen,CHI,SJS,BLOCKS,3.5,0.1227,1.0001,0.000107,Under,0.999893
2026-02-02,Ryan Donato,CHI,SJS,BLOCKS,2.5,0.0567,1.0001,0.000127,Under,0.999873
2026-02-02,Dylan Cozens,OTT,PIT,BLOCKS,3.5,0.1285,0.9935,0.000129,Under,0.999871
2026-02-02,Drake Batherson,OTT,PIT,BLOCKS,3.5,0.1285,0.9935,0.000129,Under,0.999871
2026-02-02,Nazem Kadri,CGY,TOR,BLOCKS,2.5,0.0577,0.9924,0.000132,Under,0.999868
2026-02-02,Calle Jarnkrok,TOR,CGY,BLOCKS,3.5,0.1415,1.0027,0.00018,Under,0.99982
2026-02-02,Yan Kuznetsov,CGY,TOR,BLOCKS,3.5,0.1444,0.9924,0.000187,Under,0.999813
2026-02-02,Anthony Mantha,PIT,OTT,BLOCKS,3.5,0.1433,1.0072,0.0002,Under,0.9998
2026-02-02,Jonathan Lekkerimäki,VAN,UTA,BLOCKS,3.5,0.1558,1.0,0.000262,Under,0.999738
2026-02-02,Nicholas Robertson,TOR,CGY,BLOCKS,3.5,0.1636,1.0027,0.000301,Under,0.999699
2026-02-02,Matt Duchene,DAL,WPG,BLOCKS,3.5,0.1636,0.9966,0.000306,Under,0.999694
2026-02-02,Jason Robertson,DAL,WPG,BLOCKS,3.5,0.1636,0.9966,0.000306,Under,0.999694
2026-02-02,Matt Coronato,CGY,TOR,BLOCKS,3.5,0.1707,0.9924,0.000337,Under,0.999663
2026-02-02,Mason Appleton,DET,COL,BLOCKS,3.5,0.1731,1.0024,0.000365,Under,0.999635
2026-02-02,Ryan McLeod,BUF,FLA,BLOCKS,3.5,0.1721,1.0087,0.000366,Under,0.999634
2026-02-02,Carter Verhaeghe,FLA,BUF,BLOCKS,3.5,0.177,0.9899,0.000378,Under,0.999622
2026-02-02,Albert Johansson,DET,COL,BLOCKS,3.5,0.1774,1.0024,0.000398,Under,0.999602
2026-02-02,Marcus Johansson,MIN,MTL,BLOCKS,3.5,0.1774,1.005,0.000398,Under,0.999602
2026-02-02,Matt Boldy,MIN,MTL,BLOCKS,3.5,0.1774,1.005,0.000398,Under,0.999602
2026-02-02,Joel Eriksson Ek,MIN,MTL,BLOCKS,3.5,0.1774,1.005,0.000398,Under,0.999602
2026-02-02,Kirill Kaprizov,MIN,MTL,BLOCKS,3.5,0.1774,1.005,0.000398,Under,0.999602
2026-02-02,J.T. Compher,DET,COL,BLOCKS,3.5,0.1815,1.0024,0.000431,Under,0.999569
2026-02-02,Jordan Kyrou,STL,NSH,BLOCKS,2.5,0.0877,1.0071,0.000463,Under,0.999537
2026-02-02,Zakhar Bardakov,COL,DET,BLOCKS,3.5,0.1892,0.9977,0.000489,Under,0.999511
2026-02-02,Ross Colton,COL,DET,BLOCKS,3.5,0.1892,0.9977,0.000489,Under,0.999511
2026-02-02,Alex Ovechkin,WSH,NYI,BLOCKS,2.5,0.0921,0.9931,0.000494,Under,0.999506
2026-02-02,Nils Hoglander,VAN,UTA,BLOCKS,3.5,0.1899,1.0,0.000521,Under,0.999479
2026-02-02,Nils Aman,VAN,UTA,BLOCKS,3.5,0.1899,1.0,0.000521,Under,0.999479
2026-02-02,Cole Schwindt,FLA,BUF,BLOCKS,2.5,0.0967,0.9899,0.000557,Under,0.999443
2026-02-02,Donovan Sebrango,FLA,BUF,BLOCKS,2.5,0.0967,0.9899,0.000557,Under,0.999443
2026-02-02,Zayne Parekh,CGY,TOR,BLOCKS,2.5,0.0971,0.9924,0.000572,Under,0.999428
2026-02-02,Aatu Raty,VAN,UTA,BLOCKS,3.5,0.1992,1.0,0.000614,Under,0.999386
2026-02-02,Jake DeBrusk,VAN,UTA,BLOCKS,3.5,0.1992,1.0,0.000614,Under,0.999386
