date,player,team,market,line,over_price,under_price,book,actual
2025-10-17,Alex Ovechkin,,ASSISTS,0.5,155,-204,draftkings,
2025-10-17,Alex Ovechkin,,ASSISTS,0.5,158,-215,pinnacle,
2025-10-17,Alex Ovechkin,,GOALS,0.5,140,-190,fanduel,
2025-10-17,Alex Ovechkin,,POINTS,0.5,-182,140,draftkings,
2025-10-17,Alex Ovechkin,,POINTS,0.5,-188,146,fanduel,
2025-10-17,Alex Ovechkin,,POINTS,0.5,-190,140,pinnacle,
2025-10-17,Alex Ovechkin,,SOG,3.5,-105,-125,draftkings,
2025-10-17,Alex Ovechkin,,SOG,3.5,100,-130,fanduel,
2025-10-17,Alex Ovechkin,,SOG,3.5,-101,-132,pinnacle,
2025-10-17,James van Riemsdyk,,ASSISTS,0.5,300,-440,draftkings,
2025-10-17,James van Riemsdyk,,POINTS,0.5,165,-218,draftkings,
2025-10-17,James van Riemsdyk,,SOG,1.5,105,-135,draftkings,
2025-10-17,James van Riemsdyk,,SOG,1.5,114,-155,pinnacle,
2025-10-17,Patrick Kane,,ASSISTS,0.5,150,-198,draftkings,
2025-10-17,Patrick Kane,,ASSISTS,0.5,153,-207,pinnacle,
2025-10-17,Patrick Kane,,GOALS,0.5,290,-440,fanduel,
2025-10-17,Patrick Kane,,POINTS,0.5,-130,100,draftkings,
2025-10-17,Patrick Kane,,POINTS,0.5,-120,-108,fanduel,
2025-10-17,Patrick Kane,,POINTS,0.5,-137,102,pinnacle,
2025-10-17,Patrick Kane,,SOG,2.5,126,-162,draftkings,
2025-10-17,Patrick Kane,,SOG,2.5,118,-154,fanduel,
2025-10-17,Patrick Kane,,SOG,2.5,120,-160,pinnacle,
2025-10-17,John Carlson,,ASSISTS,0.5,130,-168,draftkings,
2025-10-17,John Carlson,,ASSISTS,0.5,131,-175,pinnacle,
2025-10-17,John Carlson,,POINTS,0.5,100,-130,draftkings,
2025-10-17,John Carlson,,POINTS,0.5,102,-130,fanduel,
2025-10-17,John Carlson,,POINTS,0.5,-101,-131,pinnacle,
2025-10-17,John Carlson,,SOG,1.5,-175,135,draftkings,
2025-10-17,John Carlson,,SOG,1.5,-185,136,pinnacle,
2025-10-17,Victor Hedman,,ASSISTS,0.5,100,-130,draftkings,
2025-10-17,Victor Hedman,,ASSISTS,0.5,100,-133,pinnacle,
2025-10-17,Victor Hedman,,POINTS,0.5,-130,100,draftkings,
2025-10-17,Victor Hedman,,POINTS,0.5,-130,102,fanduel,
2025-10-17,Victor Hedman,,POINTS,0.5,-134,100,pinnacle,
2025-10-17,Victor Hedman,,SOG,1.5,-188,145,draftkings,
2025-10-17,Victor Hedman,,SOG,1.5,-210,148,pinnacle,
2025-10-17,Victor Hedman,,SOG,2.5,140,-184,fanduel,
2025-10-17,Evander Kane,,ASSISTS,0.5,210,-285,draftkings,
2025-10-17,Evander Kane,,ASSISTS,0.5,215,-304,pinnacle,
2025-10-17,Evander Kane,,GOALS,0.5,300,-450,fanduel,
2025-10-17,Evander Kane,,POINTS,0.5,110,-142,draftkings,
2025-10-17,Evander Kane,,POINTS,0.5,116,-148,fanduel,
2025-10-17,Evander Kane,,POINTS,0.5,112,-149,pinnacle,
2025-10-17,Evander Kane,,SOG,2.5,105,-135,draftkings,
2025-10-17,Evander Kane,,SOG,2.5,108,-140,fanduel,
2025-10-17,Evander Kane,,SOG,2.5,109,-145,pinnacle,
2025-10-17,Tyler Toffoli,,ASSISTS,0.5,210,-285,draftkings,
2025-10-17,Tyler Toffoli,,ASSISTS,0.5,210,-310,pinnacle,
2025-10-17,Tyler Toffoli,,GOALS,0.5,240,-340,fanduel,
2025-10-17,Tyler Toffoli,,POINTS,0.5,-110,-120,draftkings,
2025-10-17,Tyler Toffoli,,POINTS,0.5,-108,-118,fanduel,
2025-10-17,Tyler Toffoli,,POINTS,0.5,-111,-120,pinnacle,
2025-10-17,Tyler Toffoli,,SOG,2.5,-105,-125,draftkings,
2025-10-17,Tyler Toffoli,,SOG,2.5,-114,-115,fanduel,
2025-10-17,Tyler Toffoli,,SOG,2.5,-108,-123,pinnacle,
2025-10-17,Vladimir Tarasenko,,ASSISTS,0.5,190,-255,draftkings,
2025-10-17,Vladimir Tarasenko,,ASSISTS,0.5,195,-271,pinnacle,
2025-10-17,Vladimir Tarasenko,,GOALS,0.5,350,-550,fanduel,
2025-10-17,Vladimir Tarasenko,,POINTS,0.5,100,-130,draftkings,
2025-10-17,Vladimir Tarasenko,,POINTS,0.5,100,-128,fanduel,
2025-10-17,Vladimir Tarasenko,,POINTS,0.5,-110,-121,pinnacle,
2025-10-17,Vladimir Tarasenko,,SOG,1.5,-120,-110,draftkings,
2025-10-17,Vladimir Tarasenko,,SOG,1.5,-130,100,fanduel,
2025-10-17,Vladimir Tarasenko,,SOG,1.5,-125,-107,pinnacle,
2025-10-17,Jeff Skinner,,ASSISTS,0.5,340,-500,draftkings,
2025-10-17,Jeff Skinner,,ASSISTS,0.5,320,-525,pinnacle,
2025-10-17,Jeff Skinner,,POINTS,0.5,165,-218,draftkings,
2025-10-17,Jeff Skinner,,POINTS,0.5,162,-210,fanduel,
2025-10-17,Jeff Skinner,,POINTS,0.5,149,-210,pinnacle,
2025-10-17,Jeff Skinner,,SOG,1.5,-154,120,draftkings,
2025-10-17,Jeff Skinner,,SOG,1.5,-168,128,fanduel,
2025-10-17,Jeff Skinner,,SOG,1.5,-160,119,pinnacle,
2025-10-17,Nikita Kucherov,,ASSISTS,0.5,-154,120,draftkings,
2025-10-17,Nikita Kucherov,,ASSISTS,0.5,-180,134,pinnacle,
2025-10-17,Nikita Kucherov,,GOALS,0.5,160,-220,fanduel,
2025-10-17,Nikita Kucherov,,POINTS,1.5,145,-188,draftkings,
2025-10-17,Nikita Kucherov,,POINTS,1.5,146,-188,fanduel,
2025-10-17,Nikita Kucherov,,POINTS,1.5,129,-175,pinnacle,
2025-10-17,Nikita Kucherov,,SOG,2.5,-168,130,draftkings,
2025-10-17,Nikita Kucherov,,SOG,2.5,-180,131,pinnacle,
2025-10-17,Nikita Kucherov,,SOG,3.5,125,-164,fanduel,
2025-10-17,Tom Wilson,,ASSISTS,0.5,140,-182,draftkings,
2025-10-17,Tom Wilson,,ASSISTS,0.5,161,-218,pinnacle,
2025-10-17,Tom Wilson,,GOALS,0.5,230,-320,fanduel,
2025-10-17,Tom Wilson,,POINTS,0.5,-154,120,draftkings,
2025-10-17,Tom Wilson,,POINTS,0.5,-166,130,fanduel,
2025-10-17,Tom Wilson,,POINTS,0.5,-144,108,pinnacle,
2025-10-17,Tom Wilson,,SOG,1.5,-188,145,draftkings,
2025-10-17,Tom Wilson,,SOG,1.5,-184,140,fanduel,
2025-10-17,Tom Wilson,,SOG,1.5,-195,141,pinnacle,
2025-10-17,Teuvo Teravainen,,ASSISTS,0.5,145,-188,draftkings,
2025-10-17,Teuvo Teravainen,,ASSISTS,0.5,139,-190,pinnacle,
2025-10-17,Teuvo Teravainen,,GOALS,0.5,340,-550,fanduel,
2025-10-17,Teuvo Teravainen,,POINTS,0.5,-110,-120,draftkings,
2025-10-17,Teuvo Teravainen,,POINTS,0.5,-115,-111,fanduel,
2025-10-17,Teuvo Teravainen,,POINTS,0.5,-111,-121,pinnacle,
2025-10-17,Teuvo Teravainen,,SOG,1.5,118,-154,fanduel,
2025-10-17,Jake Guentzel,,ASSISTS,0.5,135,-175,draftkings,
2025-10-17,Jake Guentzel,,ASSISTS,0.5,136,-183,pinnacle,
2025-10-17,Jake Guentzel,,GOALS,0.5,190,-260,fanduel,
2025-10-17,Jake Guentzel,,POINTS,0.5,-175,135,draftkings,
2025-10-17,Jake Guentzel,,POINTS,0.5,-162,126,fanduel,
2025-10-17,Jake Guentzel,,POINTS,0.5,-185,138,pinnacle,
2025-10-17,Jake Guentzel,,SOG,2.5,105,-135,draftkings,
2025-10-17,Jake Guentzel,,SOG,2.5,-106,-122,fanduel,
2025-10-17,Jake Guentzel,,SOG,2.5,104,-140,pinnacle,
2025-10-17,Oliver Bjorkstrand,,ASSISTS,0.5,210,-285,draftkings,
2025-10-17,Oliver Bjorkstrand,,ASSISTS,0.5,200,-300,pinnacle,
2025-10-17,Oliver Bjorkstrand,,POINTS,0.5,115,-148,draftkings,
2025-10-17,Oliver Bjorkstrand,,POINTS,0.5,114,-146,fanduel,
2025-10-17,Oliver Bjorkstrand,,POINTS,0.5,113,-151,pinnacle,
2025-10-17,Oliver Bjorkstrand,,SOG,1.5,-120,-110,draftkings,
2025-10-17,Oliver Bjorkstrand,,SOG,1.5,-144,110,fanduel,
2025-10-17,Oliver Bjorkstrand,,SOG,1.5,-125,-107,pinnacle,
2025-10-17,Andre Burakovsky,,ASSISTS,0.5,220,-300,draftkings,
2025-10-17,Andre Burakovsky,,ASSISTS,0.5,233,-333,pinnacle,
2025-10-17,Andre Burakovsky,,GOALS,0.5,370,-600,fanduel,
2025-10-17,Andre Burakovsky,,POINTS,0.5,126,-162,draftkings,
2025-10-17,Andre Burakovsky,,POINTS,0.5,114,-146,fanduel,
2025-10-17,Andre Burakovsky,,POINTS,0.5,123,-165,pinnacle,
2025-10-17,Andre Burakovsky,,SOG,1.5,-120,-110,draftkings,
2025-10-17,Andre Burakovsky,,SOG,1.5,-116,-115,pinnacle,
2025-10-17,Ryan Hartman,,ASSISTS,0.5,340,-500,draftkings,
2025-10-17,Ryan Hartman,,ASSISTS,0.5,369,-597,pinnacle,
2025-10-17,Ryan Hartman,,POINTS,0.5,165,-218,draftkings,
2025-10-17,Ryan Hartman,,POINTS,0.5,186,-245,fanduel,
2025-10-17,Ryan Hartman,,POINTS,0.5,169,-232,pinnacle,
2025-10-17,Ryan Hartman,,SOG,1.5,-188,145,draftkings,
2025-10-17,Ryan Hartman,,SOG,1.5,-200,144,pinnacle,
2025-10-17,Ryan Hartman,,SOG,2.5,144,-190,fanduel,
2025-10-17,Tyler Bertuzzi,,ASSISTS,0.5,210,-285,draftkings,
2025-10-17,Tyler Bertuzzi,,ASSISTS,0.5,223,-317,pinnacle,
2025-10-17,Tyler Bertuzzi,,GOALS,0.5,280,-420,fanduel,
2025-10-17,Tyler Bertuzzi,,POINTS,0.5,110,-142,draftkings,
2025-10-17,Tyler Bertuzzi,,POINTS,0.5,106,-136,fanduel,
2025-10-17,Tyler Bertuzzi,,POINTS,0.5,109,-145,pinnacle,
2025-10-17,Tyler Bertuzzi,,SOG,1.5,-125,-105,draftkings,
2025-10-17,Tyler Bertuzzi,,SOG,1.5,-128,-102,fanduel,
2025-10-17,Tyler Bertuzzi,,SOG,1.5,-126,-106,pinnacle,
2025-10-17,Alex Wennberg,,ASSISTS,0.5,260,-370,draftkings,
2025-10-17,Alexander Wennberg,,ASSISTS,0.5,278,-414,pinnacle,
2025-10-17,Alex Wennberg,,POINTS,0.5,160,-212,draftkings,
2025-10-17,Alex Wennberg,,POINTS,0.5,162,-210,fanduel,
2025-10-17,Alexander Wennberg,,POINTS,0.5,160,-230,pinnacle,
2025-10-17,Dylan Larkin,,ASSISTS,0.5,135,-175,draftkings,
2025-10-17,Dylan Larkin,,ASSISTS,0.5,134,-179,pinnacle,
2025-10-17,Dylan Larkin,,GOALS,0.5,195,-270,fanduel,
2025-10-17,Dylan Larkin,,POINTS,0.5,-168,130,draftkings,
2025-10-17,Dylan Larkin,,POINTS,0.5,-162,126,fanduel,
2025-10-17,Dylan Larkin,,POINTS,0.5,-185,136,pinnacle,
2025-10-17,Dylan Larkin,,SOG,2.5,-130,100,draftkings,
2025-10-17,Dylan Larkin,,SOG,2.5,-122,-106,fanduel,
2025-10-17,Dylan Larkin,,SOG,2.5,-131,-102,pinnacle,
2025-10-17,Nick Schmaltz,,ASSISTS,0.5,115,-148,draftkings,
2025-10-17,Nick Schmaltz,,ASSISTS,0.5,107,-143,pinnacle,
2025-10-17,Nick Schmaltz,,GOALS,0.5,240,-340,fanduel,
2025-10-17,Nick Schmaltz,,POINTS,0.5,-182,140,draftkings,
2025-10-17,Nick Schmaltz,,POINTS,0.5,-162,126,fanduel,
2025-10-17,Nick Schmaltz,,POINTS,0.5,-186,139,pinnacle,
2025-10-17,Nick Schmaltz,,SOG,2.5,-120,-110,draftkings,
2025-10-17,Nick Schmaltz,,SOG,2.5,-128,-102,fanduel,
2025-10-17,Nick Schmaltz,,SOG,2.5,-120,-111,pinnacle,
2025-10-17,Ryan Donato,,ASSISTS,0.5,220,-300,draftkings,
2025-10-17,Ryan Donato,,ASSISTS,0.5,227,-323,pinnacle,
2025-10-17,Ryan Donato,,GOALS,0.5,340,-550,fanduel,
2025-10-17,Ryan Donato,,POINTS,0.5,110,-142,draftkings,
2025-10-17,Ryan Donato,,POINTS,0.5,108,-138,fanduel,
2025-10-17,Ryan Donato,,POINTS,0.5,110,-146,pinnacle,
2025-10-17,Ryan Donato,,SOG,1.5,-168,130,draftkings,
2025-10-17,Ryan Donato,,SOG,1.5,-168,128,fanduel,
2025-10-17,Ryan Donato,,SOG,1.5,-175,128,pinnacle,
2025-10-17,Brayden Point,,ASSISTS,0.5,126,-162,draftkings,
2025-10-17,Brayden Point,,ASSISTS,0.5,129,-172,pinnacle,
2025-10-17,Brayden Point,,GOALS,0.5,170,-230,fanduel,
2025-10-17,Brayden Point,,POINTS,0.5,-188,145,draftkings,
2025-10-17,Brayden Point,,POINTS,0.5,-192,148,fanduel,
2025-10-17,Brayden Point,,POINTS,0.5,-200,144,pinnacle,
2025-10-17,Brayden Point,,SOG,2.5,126,-162,draftkings,
2025-10-17,Brayden Point,,SOG,2.5,120,-156,fanduel,
2025-10-17,Brayden Point,,SOG,2.5,120,-165,pinnacle,
2025-10-17,Dylan Strome,,ASSISTS,0.5,-115,-115,draftkings,
2025-10-17,Dylan Strome,,ASSISTS,0.5,-115,-116,pinnacle,
2025-10-17,Dylan Strome,,GOALS,0.5,270,-400,fanduel,
2025-10-17,Dylan Strome,,POINTS,0.5,-204,155,draftkings,
2025-10-17,Dylan Strome,,POINTS,0.5,-196,152,fanduel,
2025-10-17,Dylan Strome,,POINTS,0.5,-230,160,pinnacle,
2025-10-17,Dylan Strome,,SOG,1.5,-154,120,draftkings,
2025-10-17,Dylan Strome,,SOG,1.5,-156,120,fanduel,
2025-10-17,Dylan Strome,,SOG,1.5,-162,122,pinnacle,
2025-10-17,Brock Boeser,,ASSISTS,0.5,160,-212,draftkings,
2025-10-17,Brock Boeser,,ASSISTS,0.5,162,-220,pinnacle,
2025-10-17,Brock Boeser,,GOALS,0.5,190,-260,fanduel,
2025-10-17,Brock Boeser,,POINTS,0.5,-142,110,draftkings,
2025-10-17,Brock Boeser,,POINTS,0.5,-142,112,fanduel,
2025-10-17,Brock Boeser,,POINTS,0.5,-148,110,pinnacle,
2025-10-17,Brock Boeser,,SOG,1.5,-190,144,fanduel,
2025-10-17,Brock Boeser,,SOG,2.5,150,-198,draftkings,
2025-10-17,Brock Boeser,,SOG,2.5,150,-210,pinnacle,
2025-10-17,Anthony Beauvillier,,SOG,1.5,-135,105,draftkings,
2025-10-17,Anthony Beauvillier,,SOG,1.5,-137,103,pinnacle,
2025-10-17,Joel Eriksson Ek,,ASSISTS,0.5,180,-240,draftkings,
2025-10-17,Joel Eriksson Ek,,ASSISTS,0.5,185,-270,pinnacle,
2025-10-17,Joel Eriksson Ek,,GOALS,0.5,250,-380,fanduel,
2025-10-17,Joel Eriksson Ek,,POINTS,0.5,-125,-105,draftkings,
2025-10-17,Joel Eriksson Ek,,POINTS,0.5,-115,-111,fanduel,
2025-10-17,Joel Eriksson Ek,,POINTS,0.5,-126,-106,pinnacle,
2025-10-17,Joel Eriksson Ek,,SOG,2.5,-148,115,draftkings,
2025-10-17,Joel Eriksson Ek,,SOG,2.5,-140,108,fanduel,
2025-10-17,Joel Eriksson Ek,,SOG,2.5,-137,103,pinnacle,
2025-10-17,Jake DeBrusk,,ASSISTS,0.5,195,-265,draftkings,
2025-10-17,Jake DeBrusk,,ASSISTS,0.5,200,-290,pinnacle,
2025-10-17,Jake DeBrusk,,GOALS,0.5,230,-320,fanduel,
2025-10-17,Jake DeBrusk,,POINTS,0.5,-115,-115,draftkings,
2025-10-17,Jake DeBrusk,,POINTS,0.5,-111,-115,fanduel,
2025-10-17,Jake DeBrusk,,POINTS,0.5,-125,-107,pinnacle,
2025-10-17,Jake DeBrusk,,SOG,1.5,-188,145,draftkings,
2025-10-17,Jake DeBrusk,,SOG,1.5,-196,148,fanduel,
2025-10-17,Jake DeBrusk,,SOG,1.5,-210,148,pinnacle,
2025-10-17,Anthony Cirelli,,ASSISTS,0.5,220,-300,draftkings,
2025-10-17,Anthony Cirelli,,ASSISTS,0.5,220,-330,pinnacle,
2025-10-17,Anthony Cirelli,,GOALS,0.5,300,-470,fanduel,
2025-10-17,Anthony Cirelli,,POINTS,0.5,110,-142,draftkings,
2025-10-17,Anthony Cirelli,,POINTS,0.5,104,-132,fanduel,
2025-10-17,Anthony Cirelli,,POINTS,0.5,102,-136,pinnacle,
2025-10-17,Anthony Cirelli,,SOG,1.5,-148,115,draftkings,
2025-10-17,Anthony Cirelli,,SOG,1.5,-160,122,fanduel,
2025-10-17,Anthony Cirelli,,SOG,1.5,-139,104,pinnacle,
2025-10-17,Conor Garland,,ASSISTS,0.5,190,-255,draftkings,
2025-10-17,Conor Garland,,ASSISTS,0.5,155,-220,pinnacle,
2025-10-17,Conor Garland,,GOALS,0.5,270,-400,fanduel,
2025-10-17,Conor Garland,,POINTS,0.5,-105,-125,draftkings,
2025-10-17,Conor Garland,,POINTS,0.5,100,-128,fanduel,
2025-10-17,Conor Garland,,POINTS,0.5,-134,100,pinnacle,
2025-10-17,Conor Garland,,SOG,2.5,120,-154,draftkings,
2025-10-17,Conor Garland,,SOG,2.5,120,-154,fanduel,
2025-10-17,Conor Garland,,SOG,2.5,123,-170,pinnacle,
