gamePk,date,home,away,home_goals_sim,away_goals_sim
2025020694,2026-01-09,Chicago Blackhawks,Washington Capitals,3,5
2025020695,2026-01-09,Winnipeg Jets,Los Angeles Kings,3,4
2025020696,2026-01-09,Utah Mammoth,St. Louis Blues,4,6
