date,player,team,opp,market,line,proj_lambda,p_over,over_price,under_price,book,side,price,ev,prob,edge_score,edge_reasons,chosen_prob
2026-03-01,Sam Bennett,FLA,NYI,ASSISTS,0.5,0.2074,0.17,155,-204,draftkings,Under,-204,0.22922549019607852,0.824875,0.6026305587844297,p 82%; opp allow 4.50; line 0.5,0.824875
2026-03-01,Chris Kreider,ANA,CGY,ASSISTS,0.5,0.1552,0.135,180,-250,betmgm,Under,-250,0.2109999999999999,0.865,0.5972047740849691,p 86%; opp allow 5.30; line 0.5,0.865
2026-03-01,Matthew Tkachuk,FLA,NYI,GOALS,0.5,0.235,0.190062,180,-250,fanduel,Under,-250,0.1339132,0.809938,0.5880481439782864,p 81%; opp allow 2.70; line 0.5,0.809938
2026-03-01,Connor Bedard,CHI,UTA,ASSISTS,0.5,0.2149,0.179063,125,-165,betmgm,Under,-165,0.3184745757575757,0.820937,0.5863293558687902,p 82%; opp allow 4.80; line 0.5,0.820937
2026-03-01,Brad Marchand,FLA,NYI,GOALS,0.5,0.2479,0.1965,220,-310,fanduel,Under,-310,0.06269354838709673,0.8035,0.5828977439782864,p 80%; opp allow 2.70; line 0.5,0.8035
2026-03-01,Frank Nazar,CHI,UTA,ASSISTS,0.5,0.2331,0.194312,220,-300,betmgm,Under,-300,0.07425066666666658,0.805688,0.5741301558687901,p 81%; opp allow 4.80; line 0.5,0.805688
2026-03-01,Leo Carlsson,ANA,CGY,GOALS,0.5,0.228,0.189062,170,-230,fanduel,Under,-230,0.16351973913043466,0.8109379999999999,0.5723334821686114,p 81%; opp allow 2.90; line 0.5,0.8109379999999999
2026-03-01,Gustav Forsling,FLA,NYI,POINTS,0.5,0.2757,0.213062,170,-225,betmgm,Under,-225,0.13668822222222227,0.786938,0.5718385913143542,p 79%; opp allow 7.20; line 0.5,0.786938
2026-03-01,Nazem Kadri,CGY,ANA,GOALS,0.5,0.1927,0.1625,235,-330,fanduel,Under,-330,0.08583209090909083,0.833313,0.5630187280133783,p 83%; opp allow 3.20; line 0.5,0.833313
2026-03-01,Will Smith,SJS,WPG,ASSISTS,0.5,0.2278,0.184375,140,-182,draftkings,Under,-182,0.25844514285714293,0.812188,0.5499036199269557,p 81%; opp allow 5.40; line 0.5,0.812188
2026-03-01,Clayton Keller,UTA,CHI,GOALS,0.5,0.1606,0.139813,160,-220,fanduel,Under,-220,0.251181090909091,0.860187,0.5497064488418979,p 86%; opp allow 3.60; line 0.5,0.860187
2026-03-01,Clayton Keller,UTA,CHI,POINTS,1.5,0.681,0.162875,185,-248,draftkings,Under,-248,0.17590322580645162,0.838,0.5496499178315178,p 84%; opp allow 9.20; line 1.5,0.838
2026-03-01,Matt Coronato,CGY,ANA,ASSISTS,0.5,0.2211,0.186,210,-295,betmgm,Under,-295,0.08993220338983055,0.8140000000000001,0.5463008836667069,p 81%; opp allow 5.50; line 0.5,0.8140000000000001
2026-03-01,Mikael Backlund,CGY,ANA,ASSISTS,0.5,0.2211,0.186125,200,-285,betmgm,Under,-285,0.09944517543859649,0.813875,0.5462008836667069,p 81%; opp allow 5.50; line 0.5,0.813875
2026-03-01,Alexander Wennberg,SJS,WPG,ASSISTS,0.5,0.2377,0.193062,155,-210,pinnacle,Under,-210,0.19119419047619046,0.8069379999999999,0.5457036199269556,p 81%; opp allow 5.40; line 0.5,0.8069379999999999
2026-03-01,Leo Carlsson,ANA,CGY,ASSISTS,0.5,0.2411,0.196125,110,-142,draftkings,Under,-142,0.3576285211267606,0.796625,0.5425047740849691,p 80%; opp allow 5.30; line 0.5,0.796625
2026-03-01,Alex Wennberg,SJS,WPG,ASSISTS,0.5,0.2377,0.19775,150,-200,betmgm,Under,-200,0.20337500000000003,0.80225,0.5419532199269557,p 80%; opp allow 5.40; line 0.5,0.80225
2026-03-01,Kiefer Sherwood,SJS,WPG,ASSISTS,0.5,0.2377,0.190312,230,-320,draftkings,Under,-320,0.052214187500000064,0.801687,0.5415028199269557,p 80%; opp allow 5.40; line 0.5,0.801687
2026-03-01,Teuvo Teravainen,CHI,UTA,ASSISTS,0.5,0.2973,0.236125,220,-300,betmgm,Under,-300,0.018499999999999905,0.763875,0.5406797558687901,p 76%; opp allow 4.80; line 0.5,0.763875
2026-03-01,Matthew Schaefer,NYI,FLA,ASSISTS,0.5,0.2245,0.187188,145,-188,draftkings,Under,-188,0.24515880851063826,0.812812,0.5403230948522615,p 81%; opp allow 5.60; line 0.5,0.812812
2026-03-01,Matthew Tkachuk,FLA,NYI,ASSISTS,0.5,0.3381,0.25125,120,-154,draftkings,Under,-154,0.23124025974025963,0.7464999999999999,0.5399305587844296,p 75%; opp allow 4.50; line 0.5,0.7464999999999999
