date,team,opponent,is_home,goals_for,goals_against,rest_days,b2b,goals_for_roll10,goals_against_roll10
2022-11-18 01:00:00,Anaheim Ducks,Winnipeg Jets,0,2.0,3.0,1,1,3.1,4.2
2022-11-20 01:00:00,Anaheim Ducks,St. Louis Blues,0,2.0,6.0,2,0,3.1,4.1
2022-11-22 01:00:00,Anaheim Ducks,St. Louis Blues,0,1.0,3.0,2,0,3.3,4.3
2022-11-24 03:00:00,Anaheim Ducks,New York Rangers,1,3.0,2.0,2,0,3.0,4.3
2022-11-25 20:00:00,Anaheim Ducks,Ottawa Senators,1,1.0,5.0,1,1,2.7,4.0
2022-11-28 01:00:00,Anaheim Ducks,Seattle Kraken,1,4.0,5.0,2,0,2.3,3.7
2022-11-30 01:00:00,Anaheim Ducks,Nashville Predators,0,1.0,2.0,2,0,2.2,3.8
2022-12-02 01:30:00,Anaheim Ducks,Dallas Stars,0,0.0,5.0,2,0,2.0,3.5
2022-12-03 19:00:00,Anaheim Ducks,Minnesota Wild,0,4.0,5.0,1,1,1.9,3.6
2022-12-04 20:00:00,Anaheim Ducks,Winnipeg Jets,0,2.0,5.0,1,1,2.1,3.8
2022-12-07 03:00:00,Anaheim Ducks,Carolina Hurricanes,1,4.0,3.0,2,0,2.0,4.1
2022-12-10 03:00:00,Anaheim Ducks,San Jose Sharks,1,1.0,6.0,3,0,2.2,4.1
2022-12-13 00:30:00,Anaheim Ducks,Ottawa Senators,0,0.0,3.0,2,0,2.1,4.1
2022-12-14 00:00:00,Anaheim Ducks,Toronto Maple Leafs,0,0.0,7.0,0,0,2.0,4.1
2022-12-16 00:00:00,Anaheim Ducks,Montréal Canadiens,0,5.0,2.0,2,0,1.7,4.6
2022-12-17 21:00:00,Anaheim Ducks,Edmonton Oilers,0,4.0,3.0,1,1,2.1,4.3
2022-12-21 03:30:00,Anaheim Ducks,Los Angeles Kings,0,1.0,4.0,3,0,2.1,4.1
2022-12-22 03:00:00,Anaheim Ducks,Minnesota Wild,1,1.0,4.0,0,0,2.1,4.3
2022-12-24 03:30:00,Anaheim Ducks,Calgary Flames,1,2.0,3.0,2,0,2.2,4.2
2022-12-29 03:00:00,Anaheim Ducks,Vegas Golden Knights,1,3.0,2.0,4,0,2.0,4.0
2022-12-30 22:00:00,Anaheim Ducks,Nashville Predators,1,1.0,6.0,1,1,2.1,3.7
2023-01-03 03:00:00,Anaheim Ducks,Philadelphia Flyers,1,1.0,4.0,3,0,1.8,4.0
2023-01-05 03:00:00,Anaheim Ducks,Dallas Stars,1,2.0,0.0,2,0,1.8,3.8
2023-01-07 03:00:00,Anaheim Ducks,San Jose Sharks,1,5.0,4.0,2,0,2.0,3.5
2023-01-09 01:30:00,Anaheim Ducks,Boston Bruins,1,1.0,7.0,1,1,2.5,3.2
2023-01-12 03:00:00,Anaheim Ducks,Edmonton Oilers,1,2.0,6.0,3,0,2.1,3.7
2023-01-14 03:00:00,Anaheim Ducks,New Jersey Devils,1,2.0,6.0,2,0,1.9,4.0
2023-01-17 00:00:00,Anaheim Ducks,Pittsburgh Penguins,0,3.0,4.0,2,0,2.0,4.2
2023-01-18 00:00:00,Anaheim Ducks,Philadelphia Flyers,0,2.0,5.0,1,1,2.2,4.2
2023-01-20 00:00:00,Anaheim Ducks,Columbus Blue Jackets,0,5.0,3.0,2,0,2.2,4.4
2023-01-21 17:30:00,Anaheim Ducks,Buffalo Sabres,0,3.0,6.0,1,1,2.4,4.5
2023-01-25 02:00:00,Anaheim Ducks,Arizona Coyotes,0,5.0,2.0,3,0,2.6,4.5
2023-01-27 02:00:00,Anaheim Ducks,Colorado Avalanche,0,5.0,3.0,2,0,3.0,4.3
2023-01-29 03:30:00,Anaheim Ducks,Arizona Coyotes,1,2.0,1.0,2,0,3.3,4.6
2023-02-07 01:30:00,Anaheim Ducks,Dallas Stars,0,2.0,3.0,8,0,3.0,4.3
2023-02-08 01:30:00,Anaheim Ducks,Chicago Blackhawks,0,3.0,2.0,1,1,3.1,3.9
2023-02-11 03:00:00,Anaheim Ducks,Pittsburgh Penguins,1,3.0,6.0,3,0,3.2,3.5
2023-02-12 20:00:00,Anaheim Ducks,Vegas Golden Knights,0,2.0,7.0,1,1,3.3,3.5
2023-02-16 03:00:00,Anaheim Ducks,Buffalo Sabres,1,3.0,7.0,3,0,3.2,3.8
2023-02-18 02:00:00,Anaheim Ducks,Los Angeles Kings,1,3.0,6.0,1,1,3.3,4.0
2023-02-20 18:00:00,Anaheim Ducks,Florida Panthers,0,3.0,4.0,2,0,3.1,4.3
2023-02-22 00:00:00,Anaheim Ducks,Tampa Bay Lightning,0,1.0,6.0,1,1,3.1,4.1
2023-02-24 00:00:00,Anaheim Ducks,Washington Capitals,0,4.0,2.0,2,0,2.7,4.5
2023-02-26 00:00:00,Anaheim Ducks,Carolina Hurricanes,0,3.0,2.0,2,0,2.6,4.4
2023-02-28 03:00:00,Anaheim Ducks,Chicago Blackhawks,1,4.0,2.0,2,0,2.7,4.5
2023-03-02 03:00:00,Anaheim Ducks,Washington Capitals,1,2.0,3.0,2,0,2.9,4.4
2023-03-04 03:00:00,Anaheim Ducks,Montréal Canadiens,1,3.0,2.0,2,0,2.8,4.5
2023-03-08 03:00:00,Anaheim Ducks,Seattle Kraken,0,2.0,5.0,4,0,2.8,4.1
2023-03-09 03:00:00,Anaheim Ducks,Vancouver Canucks,0,2.0,3.0,1,1,2.8,3.9
2023-03-11 02:00:00,Anaheim Ducks,Calgary Flames,0,3.0,1.0,1,1,2.7,3.5
2023-03-13 01:30:00,Anaheim Ducks,Nashville Predators,1,4.0,5.0,1,1,2.7,3.0
2023-03-16 02:00:00,Anaheim Ducks,New York Islanders,1,3.0,6.0,3,0,2.8,3.1
2023-03-18 02:00:00,Anaheim Ducks,Columbus Blue Jackets,1,7.0,4.0,2,0,3.0,3.1
2023-03-20 00:00:00,Anaheim Ducks,Vancouver Canucks,1,1.0,2.0,1,1,3.3,3.3
2023-03-22 02:00:00,Anaheim Ducks,Calgary Flames,1,1.0,5.0,2,0,3.1,3.3
2023-03-24 02:00:00,Anaheim Ducks,Winnipeg Jets,1,2.0,3.0,2,0,2.8,3.6
2023-03-26 02:30:00,Anaheim Ducks,St. Louis Blues,1,3.0,6.0,2,0,2.8,3.6
2023-03-28 02:00:00,Anaheim Ducks,Colorado Avalanche,1,1.0,5.0,1,1,2.8,4.0
2023-03-31 02:00:00,Anaheim Ducks,Seattle Kraken,0,1.0,4.0,3,0,2.7,4.0
2023-04-02 02:00:00,Anaheim Ducks,Edmonton Oilers,0,0.0,6.0,2,0,2.6,4.1
2023-04-03 00:00:00,Anaheim Ducks,Calgary Flames,0,4.0,5.0,0,0,2.3,4.6
2023-04-06 02:00:00,Anaheim Ducks,Edmonton Oilers,1,1.0,3.0,3,0,2.3,4.6
2023-04-08 21:30:00,Anaheim Ducks,Arizona Coyotes,0,4.0,5.0,2,0,2.1,4.3
