date,home,away,market,ev
2025-09-24T02:00:00Z,Vegas Golden Knights,Los Angeles Kings,ev_away_ml,0.792
2025-09-24T02:00:00Z,Vegas Golden Knights,Los Angeles Kings,ev_away_pl_+1.5,0.5414
2025-09-24T02:00:00Z,Vegas Golden Knights,Los Angeles Kings,ev_under,0.3597
2025-09-24T02:00:00Z,Vegas Golden Knights,Los Angeles Kings,ev_home_ml,-0.5052
2025-09-24T02:00:00Z,Vegas Golden Knights,Los Angeles Kings,ev_over,-0.6405
2025-09-24T02:00:00Z,Vegas Golden Knights,Los Angeles Kings,ev_home_pl_-1.5,-0.8517
