market,side,price,ev,prob,conf,home,away,totals_line
PL,Edmonton Oilers +1.5,-225.0,0.2658148148148147,0.8763333333333333,0.3763333333333333,Vegas Golden Knights,Edmonton Oilers,6.5
PL,Pittsburgh Penguins +1.5,-205.0,0.2671138211382114,0.8516666666666667,0.3516666666666667,Ottawa Senators,Pittsburgh Penguins,5.5
ML,Tampa Bay Lightning,-265.0,0.09247484276729556,0.7931666666666667,0.2931666666666667,Tampa Bay Lightning,Seattle Kraken,6.5
PL,Columbus Blue Jackets +1.5,-258.0,0.09990180878552968,0.7926666666666666,0.29266666666666663,Montréal Canadiens,Columbus Blue Jackets,6.5
PL,New Jersey Devils +1.5,-265.0,0.08444025157232699,0.7873333333333333,0.28733333333333333,Nashville Predators,New Jersey Devils,5.5
PL,Chicago Blackhawks +1.5,-185.0,0.14077027027027017,0.7404999999999999,0.24049999999999994,Philadelphia Flyers,Chicago Blackhawks,5.5
ML,Colorado Avalanche,-185.0,0.12895945945945947,0.7328333333333333,0.23283333333333334,Winnipeg Jets,Colorado Avalanche,6.5
ML,Edmonton Oilers,114.0,0.467683333333333,0.6858333333333333,0.1858333333333333,Vegas Golden Knights,Edmonton Oilers,6.5
ML,Dallas Stars,-130.0,0.21266025641025643,0.6854166666666667,0.18541666666666667,New York Islanders,Dallas Stars,5.5
ML,Pittsburgh Penguins,114.0,0.4202466666666663,0.6636666666666666,0.16366666666666663,Ottawa Senators,Pittsburgh Penguins,5.5
