date,home,away,market,ev
2025-10-12T00:00:00Z,Minnesota Wild,Columbus Blue Jackets,ev_away_ml,0.7367
2025-10-11T23:00:00Z,Pittsburgh Penguins,New York Rangers,ev_home_ml,0.6346
2025-10-11T23:00:00Z,Boston Bruins,Buffalo Sabres,ev_away_ml,0.5796
2025-10-11T23:00:00Z,Tampa Bay Lightning,New Jersey Devils,ev_away_ml,0.5367
2025-10-11T20:00:00Z,Calgary Flames,St. Louis Blues,ev_under,0.5303
2025-10-12T02:00:00Z,San Jose Sharks,Anaheim Ducks,ev_away_ml,0.4914
2025-10-12T02:00:00Z,Edmonton Oilers,Vancouver Canucks,ev_under,0.4376
2025-10-12T00:00:00Z,Nashville Predators,Utah Mammoth,ev_away_ml,0.4358
2025-10-11T23:00:00Z,Chicago Blackhawks,Montréal Canadiens,ev_under,0.4328
2025-10-11T23:00:00Z,Detroit Red Wings,Toronto Maple Leafs,ev_under,0.4154
2025-10-12T01:00:00Z,Colorado Avalanche,Dallas Stars,ev_under,0.4102
2025-10-11T23:00:00Z,Detroit Red Wings,Toronto Maple Leafs,ev_home_ml,0.3865
2025-10-12T02:00:00Z,Seattle Kraken,Vegas Golden Knights,ev_under,0.3739
2025-10-12T02:00:00Z,San Jose Sharks,Anaheim Ducks,ev_under,0.3584
2025-10-11T17:30:00Z,Winnipeg Jets,Los Angeles Kings,ev_under,0.3306
2025-10-11T23:00:00Z,Florida Panthers,Ottawa Senators,ev_under,0.2773
2025-10-12T00:00:00Z,Nashville Predators,Utah Mammoth,ev_under,0.2752
2025-10-11T23:00:00Z,Boston Bruins,Buffalo Sabres,ev_under,0.2293
2025-10-11T17:30:00Z,Winnipeg Jets,Los Angeles Kings,ev_home_ml,0.2262
2025-10-11T23:00:00Z,Chicago Blackhawks,Montréal Canadiens,ev_away_ml,0.2207
2025-10-12T00:00:00Z,Minnesota Wild,Columbus Blue Jackets,ev_under,0.2143
2025-10-12T02:00:00Z,Seattle Kraken,Vegas Golden Knights,ev_away_ml,0.1895
2025-10-11T17:30:00Z,Winnipeg Jets,Los Angeles Kings,ev_home_pl_-1.5,0.1825
2025-10-12T01:00:00Z,Colorado Avalanche,Dallas Stars,ev_home_ml,0.179
2025-10-12T02:00:00Z,Edmonton Oilers,Vancouver Canucks,ev_away_ml,0.1767
2025-10-12T01:00:00Z,Colorado Avalanche,Dallas Stars,ev_home_pl_-1.5,0.1585
2025-10-11T23:00:00Z,New York Islanders,Washington Capitals,ev_away_ml,0.148
2025-10-11T23:00:00Z,Tampa Bay Lightning,New Jersey Devils,ev_under,0.135
2025-10-11T23:00:00Z,Tampa Bay Lightning,New Jersey Devils,ev_home_pl_-1.5,0.0849
2025-10-11T23:00:00Z,Florida Panthers,Ottawa Senators,ev_home_ml,0.0754
2025-10-11T23:00:00Z,Boston Bruins,Buffalo Sabres,ev_home_pl_-1.5,0.0695
2025-10-11T20:00:00Z,Calgary Flames,St. Louis Blues,ev_away_ml,0.0644
2025-10-11T23:00:00Z,Carolina Hurricanes,Philadelphia Flyers,ev_away_pl_+1.5,0.062
2025-10-11T23:00:00Z,Carolina Hurricanes,Philadelphia Flyers,ev_home_ml,0.0591
2025-10-12T00:00:00Z,Minnesota Wild,Columbus Blue Jackets,ev_away_pl_+1.5,0.0239
2025-10-11T23:00:00Z,Florida Panthers,Ottawa Senators,ev_home_pl_-1.5,0.0216
2025-10-11T23:00:00Z,New York Islanders,Washington Capitals,ev_over,0.0211
2025-10-12T02:00:00Z,Edmonton Oilers,Vancouver Canucks,ev_away_pl_+1.5,0.0157
2025-10-11T23:00:00Z,Carolina Hurricanes,Philadelphia Flyers,ev_under,-0.0272
2025-10-11T23:00:00Z,Pittsburgh Penguins,New York Rangers,ev_over,-0.0439
2025-10-11T23:00:00Z,Pittsburgh Penguins,New York Rangers,ev_under,-0.0469
2025-10-11T23:00:00Z,Carolina Hurricanes,Philadelphia Flyers,ev_over,-0.0629
2025-10-11T23:00:00Z,Florida Panthers,Ottawa Senators,ev_away_pl_+1.5,-0.0722
2025-10-11T23:00:00Z,Boston Bruins,Buffalo Sabres,ev_away_pl_+1.5,-0.0876
2025-10-11T23:00:00Z,Tampa Bay Lightning,New Jersey Devils,ev_away_pl_+1.5,-0.1066
2025-10-11T23:00:00Z,New York Islanders,Washington Capitals,ev_under,-0.113
2025-10-12T02:00:00Z,Edmonton Oilers,Vancouver Canucks,ev_home_pl_-1.5,-0.1145
2025-10-11T17:30:00Z,Winnipeg Jets,Los Angeles Kings,ev_away_pl_+1.5,-0.134
2025-10-12T01:00:00Z,Colorado Avalanche,Dallas Stars,ev_away_pl_+1.5,-0.1427
2025-10-12T00:00:00Z,Minnesota Wild,Columbus Blue Jackets,ev_home_pl_-1.5,-0.1432
2025-10-11T23:00:00Z,Carolina Hurricanes,Philadelphia Flyers,ev_home_pl_-1.5,-0.1589
2025-10-11T20:00:00Z,Calgary Flames,St. Louis Blues,ev_home_ml,-0.1615
2025-10-11T23:00:00Z,Florida Panthers,Ottawa Senators,ev_away_ml,-0.1821
2025-10-12T02:00:00Z,Edmonton Oilers,Vancouver Canucks,ev_home_ml,-0.1876
2025-10-11T23:00:00Z,Tampa Bay Lightning,New Jersey Devils,ev_over,-0.2173
2025-10-11T23:00:00Z,New York Islanders,Washington Capitals,ev_home_ml,-0.249
2025-10-11T23:00:00Z,Carolina Hurricanes,Philadelphia Flyers,ev_away_ml,-0.2594
2025-10-12T00:00:00Z,Minnesota Wild,Columbus Blue Jackets,ev_over,-0.2798
2025-10-12T01:00:00Z,Colorado Avalanche,Dallas Stars,ev_away_ml,-0.3135
2025-10-11T23:00:00Z,Boston Bruins,Buffalo Sabres,ev_over,-0.3153
2025-10-11T23:00:00Z,Detroit Red Wings,Toronto Maple Leafs,ev_away_ml,-0.346
2025-10-11T17:30:00Z,Winnipeg Jets,Los Angeles Kings,ev_away_ml,-0.3465
2025-10-11T23:00:00Z,Florida Panthers,Ottawa Senators,ev_over,-0.3474
2025-10-11T23:00:00Z,Chicago Blackhawks,Montréal Canadiens,ev_home_ml,-0.3701
2025-10-12T02:00:00Z,Seattle Kraken,Vegas Golden Knights,ev_home_ml,-0.3775
2025-10-12T00:00:00Z,Nashville Predators,Utah Mammoth,ev_over,-0.3911
2025-10-12T02:00:00Z,San Jose Sharks,Anaheim Ducks,ev_over,-0.4119
